NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;2.0;106.0;112.0;785.0;12.6;36.1;22.7;1.3324;1766.0;1054.0;1069.0;817.0
-200.0;1.0;62.0;139.0;936.0;4.8;16.8;66.8;1.2721;1351.0;901.0;754.0;854.0
-200.0;1.9;156.0;266.0;614.0;7.6;18.2;45.9;0.9488;1289.0;1223.0;883.0;968.0
-200.0;1.7;139.0;222.0;696.0;5.8;20.5;38.4;0.9161;1191.0;1177.0;800.0;748.0
-200.0;1.0;99.0;178.0;823.0;3.6;7.6;69.2;0.7238;1054.0;1011.0;685.0;902.0
-200.0;0.8;99.0;179.0;830.0;3.3;7.5;70.9;0.7358;1060.0;977.0;673.0;902.0
-200.0;1.1;123.0;183.0;768.0;4.0;11.4;58.0;0.7818;1087.0;1038.0;709.0;1069.0
-200.0;1.4;134.0;221.0;694.0;5.7;11.8;56.9;0.7836;1144.0;1108.0;798.0;1199.0
-200.0;1.5;140.0;233.0;721.0;5.2;12.2;65.0;0.9193;1175.0;1095.0;772.0;1023.0
-200.0;1.6;149.0;248.0;631.0;7.5;12.7;62.8;0.9198;1280.0;1166.0;880.0;1238.0
-200.0;0.9;157.0;314.0;699.0;5.8;11.6;54.7;0.7454;1130.0;1087.0;803.0;907.0
-200.0;0.8;152.0;289.0;641.0;7.5;14.0;47.8;0.7582;1224.0;1177.0;878.0;844.0
-200.0;0.9;156.0;285.0;622.0;8.3;15.6;40.0;0.7018;1208.0;1153.0;910.0;827.0
-200.0;0.6;145.0;252.0;678.0;5.6;15.1;48.6;0.8266;1177.0;1131.0;792.0;749.0
-200.0;0.7;137.0;246.0;646.0;6.7;14.2;51.5;0.8313;1206.0;1180.0;846.0;791.0
-200.0;0.6;130.0;218.0;653.0;6.2;15.0;48.6;0.8253;1184.0;1136.0;822.0;744.0
-200.0;0.2;109.0;178.0;679.0;5.8;12.6;58.5;0.8517;1209.0;1140.0;800.0;782.0
-200.0;0.8;165.0;287.0;690.0;6.8;12.2;50.9;0.7202;1146.0;1096.0;850.0;943.0
-200.0;1.1;98.0;131.0;801.0;4.1;6.1;72.1;0.6847;1067.0;1034.0;715.0;1051.0
-200.0;3.0;163.0;246.0;609.0;13.3;13.3;25.7;0.3914;1210.0;1104.0;1095.0;930.0
-200.0;1.9;152.0;258.0;707.0;7.0;6.5;73.9;0.7224;1171.0;1140.0;856.0;1147.0
-200.0;2.2;166.0;304.0;697.0;7.8;6.5;74.7;0.7248;1197.0;1154.0;891.0;1079.0
-200.0;2.5;177.0;344.0;654.0;9.1;8.5;57.9;0.6435;1205.0;1161.0;945.0;1077.0
-200.0;1.9;156.0;258.0;695.0;7.7;8.6;56.3;0.6312;1176.0;1116.0;888.0;980.0
-200.0;2.0;159.0;251.0;721.0;8.4;11.6;38.7;0.5271;1125.0;1101.0;916.0;861.0
-200.0;1.3;156.0;254.0;842.0;6.1;5.0;54.5;0.4788;1034.0;1017.0;818.0;933.0
-200.0;1.6;153.0;221.0;820.0;5.0;6.9;60.0;0.5977;1049.0;1029.0;762.0;1065.0
-200.0;1.7;144.0;270.0;739.0;6.4;7.8;49.9;0.5307;1053.0;1064.0;830.0;1059.0
-200.0;3.5;161.0;272.0;713.0;8.1;7.2;56.7;0.579;1106.0;1087.0;903.0;1026.0
-200.0;3.7;157.0;275.0;663.0;10.2;7.3;56.7;0.5806;1188.0;1138.0;986.0;1030.0
-200.0;1.9;136.0;320.0;771.0;6.4;3.4;71.3;0.5626;1063.0;1028.0;831.0;1054.0
-200.0;2.3;152.0;293.0;710.0;8.4;12.3;38.4;0.5488;1124.0;1089.0;916.0;903.0
-200.0;1.4;196.0;314.0;770.0;5.4;5.5;79.5;0.7238;1117.0;1060.0;784.0;941.0
-200.0;1.5;170.0;290.0;755.0;5.5;3.8;83.8;0.6771;1146.0;1071.0;787.0;947.0
-200.0;1.6;172.0;248.0;831.0;4.7;3.2;83.0;0.645;1051.0;1018.0;750.0;916.0
-200.0;1.5;167.0;231.0;825.0;4.6;4.2;77.9;0.6479;1053.0;1016.0;744.0;1020.0
-200.0;2.3;224.0;377.0;653.0;9.2;5.4;75.9;0.6875;1231.0;1140.0;946.0;1076.0
