NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;2.3;98.0;258.0;763.0;6.9;17.3;53.3;1.0407;1279.0;1102.0;855.0;1039.0
-200.0;1.7;108.0;120.0;817.0;10.1;28.2;28.7;1.0806;1631.0;1027.0;981.0;1023.0
-200.0;1.4;89.0;108.0;840.0;8.8;23.6;33.8;0.9685;1522.0;927.0;930.0;1026.0
-200.0;1.4;101.0;96.0;849.0;9.0;25.3;30.0;0.9508;1488.0;951.0;939.0;868.0
-200.0;1.2;80.0;64.0;802.0;8.9;23.4;38.6;1.0968;1566.0;950.0;937.0;989.0
-200.0;2.0;138.0;196.0;802.0;9.3;28.8;33.0;1.2825;1593.0;1051.0;950.0;1040.0
-200.0;2.1;125.0;156.0;795.0;10.9;34.4;19.9;1.0647;1548.0;1014.0;1012.0;851.0
-200.0;1.6;120.0;114.0;833.0;8.9;38.0;15.5;1.0119;1473.0;986.0;937.0;806.0
-200.0;0.9;82.0;78.0;837.0;7.5;21.6;44.0;1.1244;1550.0;954.0;879.0;834.0
-200.0;1.2;77.0;71.0;816.0;8.3;22.2;43.0;1.1363;1552.0;949.0;910.0;1015.0
-200.0;1.3;75.0;83.0;793.0;8.2;21.1;46.9;1.1585;1546.0;974.0;908.0;1057.0
-200.0;1.5;108.0;134.0;805.0;8.7;22.7;43.9;1.1962;1615.0;1020.0;929.0;929.0
-200.0;2.1;112.0;95.0;787.0;10.7;34.0;19.2;1.0073;1524.0;1083.0;1003.0;842.0
-200.0;2.0;120.0;107.0;810.0;9.6;31.7;21.6;0.9959;1496.0;1050.0;962.0;879.0
-200.0;1.9;106.0;88.0;830.0;8.7;29.7;24.2;0.9926;1475.0;1050.0;927.0;836.0
-200.0;1.5;113.0;108.0;749.0;11.1;42.8;14.3;1.2003;1559.0;1079.0;1019.0;929.0
-200.0;1.4;79.0;95.0;784.0;8.6;30.1;33.9;1.4257;1634.0;1055.0;922.0;990.0
-200.0;2.0;81.0;118.0;944.0;9.7;18.4;24.0;0.5046;1379.0;970.0;966.0;907.0
-200.0;0.7;68.0;44.0;1012.0;4.2;19.2;43.6;0.9591;1407.0;940.0;724.0;867.0
-200.0;1.2;93.0;78.0;889.0;6.8;20.5;42.0;1.0004;1506.0;1045.0;850.0;1102.0
-200.0;0.9;68.0;83.0;885.0;6.6;15.8;59.0;1.0495;1553.0;1086.0;837.0;906.0
-200.0;1.4;97.0;100.0;846.0;8.0;23.4;43.2;1.229;1588.0;1022.0;899.0;820.0
117.0;1.5;89.0;88.0;838.0;7.8;17.4;55.6;1.0963;1574.0;1128.0;891.0;1125.0
128.0;1.8;84.0;128.0;922.0;8.5;11.1;50.5;0.6654;1530.0;1163.0;919.0;1076.0
-200.0;-200.0;-200.0;-200.0;900.0;8.2;16.5;52.8;0.986;1566.0;1105.0;908.0;923.0
93.0;1.2;77.0;97.0;941.0;5.4;11.6;76.4;1.0415;1505.0;1075.0;782.0;988.0
-200.0;0.9;74.0;92.0;886.0;5.9;22.0;51.0;1.3296;1551.0;958.0;805.0;835.0
-200.0;1.3;80.0;79.0;988.0;7.4;20.2;31.2;0.7304;1439.0;1003.0;872.0;851.0
155.0;1.9;99.0;141.0;968.0;8.2;22.8;29.1;0.796;1455.0;1061.0;908.0;890.0
-200.0;1.7;94.0;141.0;1007.0;8.5;22.3;24.1;0.6394;1393.0;988.0;918.0;850.0
-200.0;1.8;90.0;140.0;974.0;8.6;19.8;28.5;0.652;1404.0;990.0;924.0;861.0
-200.0;2.0;142.0;180.0;945.0;8.9;18.5;31.2;0.6611;1444.0;1010.0;937.0;949.0
-200.0;1.3;102.0;132.0;944.0;7.0;16.0;38.1;0.6879;1420.0;1009.0;859.0;1016.0
143.0;1.9;87.0;112.0;976.0;8.8;13.4;41.0;0.6292;1454.0;1093.0;933.0;777.0
51.0;1.4;80.0;138.0;1030.0;6.4;11.4;70.5;0.9475;1584.0;1157.0;830.0;1083.0
-200.0;1.0;71.0;55.0;964.0;5.4;17.4;43.4;0.8553;1389.0;935.0;786.0;954.0
-200.0;1.2;81.0;67.0;964.0;5.7;18.0;40.5;0.8271;1395.0;947.0;798.0;930.0
-200.0;1.6;101.0;112.0;959.0;6.9;16.8;45.6;0.8636;1452.0;984.0;851.0;817.0
-200.0;2.2;112.0;136.0;846.0;9.4;16.7;47.2;0.892;1570.0;1074.0;954.0;956.0
-200.0;0.9;78.0;77.0;961.0;6.0;14.2;64.1;1.0346;1518.0;959.0;812.0;910.0
-200.0;1.7;95.0;106.0;842.0;9.6;15.8;56.2;1.0033;1621.0;1025.0;963.0;917.0
-200.0;1.0;74.0;65.0;823.0;6.2;27.9;41.6;1.5425;1585.0;1023.0;822.0;1050.0
-200.0;1.3;109.0;111.0;819.0;9.9;41.8;15.0;1.1989;1525.0;1076.0;972.0;923.0
-200.0;1.4;115.0;147.0;801.0;10.6;40.3;15.8;1.1604;1538.0;1070.0;1000.0;1039.0
-200.0;-200.0;69.0;52.0;856.0;4.7;25.1;44.0;1.3794;1493.0;981.0;747.0;1090.0
-200.0;1.3;62.0;92.0;767.0;8.5;22.2;45.0;1.1867;1534.0;924.0;920.0;946.0
-200.0;2.0;91.0;106.0;896.0;7.5;13.5;67.8;1.042;1568.0;1023.0;878.0;969.0
-200.0;2.3;102.0;145.0;879.0;8.2;13.8;64.7;1.0168;1579.0;1059.0;907.0;970.0
-200.0;2.0;110.0;148.0;796.0;10.6;33.4;20.1;1.0142;1515.0;979.0;999.0;1027.0
-200.0;1.7;92.0;72.0;758.0;8.6;28.9;28.3;1.1078;1480.0;957.0;926.0;830.0
-200.0;1.4;80.0;62.0;808.0;6.5;27.0;30.7;1.079;1410.0;928.0;837.0;871.0
118.0;1.7;88.0;136.0;950.0;8.0;15.1;44.3;0.7535;1505.0;1138.0;898.0;966.0
193.0;2.3;94.0;128.0;918.0;9.0;16.8;36.9;0.7018;1501.0;1218.0;938.0;1088.0
-200.0;1.1;53.0;44.0;852.0;5.8;24.1;37.9;1.1204;1400.0;904.0;801.0;862.0
-200.0;1.4;77.0;94.0;920.0;6.9;17.7;56.4;1.1342;1595.0;1046.0;851.0;908.0
-200.0;1.2;68.0;87.0;951.0;5.9;16.0;61.6;1.1083;1568.0;988.0;806.0;940.0
-200.0;-200.0;-200.0;-200.0;847.0;5.4;24.4;42.5;1.2854;1428.0;935.0;782.0;867.0
-200.0;1.6;94.0;149.0;725.0;10.0;20.6;45.5;1.0925;1515.0;965.0;977.0;1014.0
-200.0;2.0;129.0;133.0;723.0;10.4;38.3;17.9;1.181;1549.0;1076.0;994.0;938.0
-200.0;1.8;123.0;139.0;813.0;10.4;39.5;15.6;1.102;1580.0;1049.0;994.0;881.0
-200.0;1.7;121.0;201.0;700.0;9.5;26.6;39.9;1.3657;1560.0;1031.0;958.0;1074.0
-200.0;1.5;96.0;167.0;726.0;7.5;24.4;45.6;1.3779;1484.0;962.0;880.0;1050.0
-200.0;0.8;73.0;99.0;846.0;5.3;23.1;49.9;1.3891;1416.0;874.0;776.0;873.0
-200.0;0.8;58.0;87.0;819.0;5.8;21.8;55.5;1.4323;1471.0;903.0;803.0;853.0
-200.0;1.3;87.0;89.0;853.0;7.4;26.0;35.7;1.1842;1580.0;1012.0;876.0;967.0
-200.0;1.5;114.0;186.0;876.0;9.3;26.2;35.7;1.1929;1434.0;1081.0;950.0;1138.0
92.0;1.4;99.0;95.0;993.0;6.3;14.1;46.0;0.7363;1411.0;1058.0;824.0;971.0
-200.0;1.0;39.0;98.0;843.0;6.9;26.0;46.4;1.5375;1499.0;1014.0;853.0;1084.0
-200.0;0.8;68.0;144.0;896.0;5.6;24.7;49.2;1.5116;1456.0;956.0;794.0;1007.0
-200.0;1.3;79.0;217.0;888.0;6.8;18.7;73.1;1.5608;1505.0;982.0;850.0;873.0
-200.0;1.7;95.0;248.0;798.0;10.0;21.1;58.3;1.4444;1580.0;1021.0;979.0;958.0
-200.0;1.7;102.0;279.0;834.0;9.8;22.9;47.9;1.3208;1514.0;1005.0;972.0;952.0
-200.0;2.0;94.0;214.0;845.0;9.4;21.2;55.2;1.3699;1528.0;997.0;955.0;926.0
-200.0;2.0;122.0;266.0;832.0;9.2;26.6;32.1;1.102;1447.0;1050.0;947.0;912.0
-200.0;2.0;116.0;234.0;827.0;9.2;24.7;37.1;1.1397;1424.0;1040.0;946.0;952.0
-200.0;1.5;109.0;181.0;885.0;7.5;23.5;40.6;1.1588;1404.0;997.0;879.0;887.0
-200.0;1.7;109.0;210.0;816.0;9.0;22.8;43.4;1.1915;1456.0;1042.0;938.0;1004.0
-200.0;1.4;81.0;149.0;850.0;7.1;20.6;53.2;1.2742;1436.0;973.0;862.0;957.0
-200.0;1.2;64.0;112.0;891.0;6.2;19.6;56.6;1.2797;1415.0;940.0;823.0;853.0
-200.0;1.3;68.0;179.0;863.0;7.7;18.6;60.0;1.2757;1451.0;969.0;886.0;953.0
-200.0;1.7;85.0;224.0;806.0;8.8;22.2;48.0;1.2678;1465.0;1027.0;933.0;1050.0
-200.0;2.1;115.0;251.0;784.0;10.2;30.0;28.5;1.1883;1485.0;1083.0;984.0;1049.0
-200.0;2.2;129.0;250.0;754.0;11.0;32.2;24.7;1.1696;1508.0;1098.0;1015.0;996.0
-200.0;1.4;94.0;146.0;835.0;7.7;23.0;43.0;1.1897;1407.0;986.0;885.0;931.0
-200.0;1.4;79.0;231.0;804.0;8.1;18.3;65.5;1.3686;1499.0;1013.0;905.0;974.0
-200.0;1.8;93.0;163.0;749.0;9.6;22.9;62.0;1.7127;1571.0;1077.0;964.0;923.0
-200.0;1.6;87.0;152.0;793.0;8.0;22.2;64.9;1.719;1539.0;1037.0;898.0;836.0
