NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;1.3;81.0;142.0;891.0;5.8;15.9;55.2;0.9881;1265.0;919.0;802.0;940.0
-200.0;3.3;196.0;608.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0
-200.0;-200.0;-200.0;-200.0;979.0;3.3;10.5;46.9;0.5956;978.0;881.0;670.0;697.0
-200.0;1.3;69.0;132.0;764.0;6.9;19.0;70.8;1.5417;1465.0;1035.0;851.0;1002.0
-200.0;1.8;93.0;163.0;749.0;9.6;22.9;62.0;1.7127;1571.0;1077.0;964.0;923.0
-200.0;1.4;79.0;231.0;804.0;8.1;18.3;65.5;1.3686;1499.0;1013.0;905.0;974.0
-200.0;1.4;94.0;146.0;835.0;7.7;23.0;43.0;1.1897;1407.0;986.0;885.0;931.0
-200.0;2.3;114.0;303.0;768.0;10.0;17.1;47.6;0.9208;1398.0;1054.0;978.0;1109.0
-200.0;1.4;81.0;149.0;850.0;7.1;20.6;53.2;1.2742;1436.0;973.0;862.0;957.0
-200.0;0.8;50.0;48.0;867.0;4.1;24.9;50.6;1.5755;1527.0;954.0;715.0;1010.0
-200.0;1.7;109.0;210.0;816.0;9.0;22.8;43.4;1.1915;1456.0;1042.0;938.0;1004.0
-200.0;1.9;115.0;294.0;829.0;8.6;18.0;42.7;0.8745;1351.0;1010.0;925.0;996.0
81.0;1.3;89.0;80.0;1168.0;4.5;10.3;59.9;0.7516;1341.0;997.0;737.0;631.0
-200.0;2.1;125.0;156.0;795.0;10.9;34.4;19.9;1.0647;1548.0;1014.0;1012.0;851.0
-200.0;1.1;53.0;164.0;757.0;7.2;18.6;74.9;1.5918;1486.0;1041.0;865.0;902.0
-200.0;1.0;69.0;126.0;973.0;3.1;6.4;76.3;0.7389;1059.0;965.0;659.0;739.0
-200.0;1.3;-200.0;-200.0;836.0;4.6;5.9;62.1;0.5806;1000.0;1019.0;744.0;1049.0
-200.0;1.0;104.0;166.0;1009.0;3.0;6.6;40.2;0.3944;854.0;887.0;649.0;588.0
-200.0;1.3;63.0;126.0;714.0;7.9;21.2;68.6;1.7046;1474.0;1038.0;895.0;999.0
-200.0;1.0;51.0;146.0;800.0;6.0;19.1;70.0;1.5331;1418.0;989.0;814.0;915.0
-200.0;0.7;43.0;127.0;876.0;4.6;18.1;72.1;1.4834;1381.0;925.0;742.0;842.0
-200.0;1.6;111.0;239.0;872.0;5.4;12.9;70.5;1.0442;1209.0;968.0;785.0;826.0
-200.0;1.4;70.0;151.0;756.0;7.4;24.8;47.9;1.4819;1421.0;1058.0;875.0;877.0
655.0;4.9;161.0;269.0;666.0;20.2;18.3;40.9;0.8493;1922.0;1536.0;1302.0;1599.0
-200.0;-200.0;-200.0;-200.0;900.0;8.2;16.5;52.8;0.986;1566.0;1105.0;908.0;923.0
-200.0;1.0;50.0;93.0;915.0;4.6;18.1;65.2;1.343;1345.0;898.0;742.0;796.0
