NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;1.3;62.0;101.0;871.0;7.3;16.2;57.4;1.0515;1528.0;873.0;871.0;887.0
-200.0;1.6;115.0;96.0;787.0;9.5;35.0;17.9;0.99;1438.0;964.0;959.0;731.0
-200.0;1.9;156.0;266.0;614.0;7.6;18.2;45.9;0.9488;1289.0;1223.0;883.0;968.0
-200.0;1.6;87.0;87.0;802.0;10.4;24.4;47.4;1.4301;1731.0;1038.0;992.0;1007.0
-200.0;1.0;80.0;58.0;909.0;6.5;23.3;49.9;1.4135;1604.0;935.0;836.0;855.0
-200.0;1.6;99.0;104.0;801.0;9.7;27.0;39.9;1.402;1774.0;1092.0;967.0;910.0
-200.0;0.8;59.0;65.0;947.0;6.5;20.4;54.1;1.28;1598.0;872.0;833.0;760.0
-200.0;1.6;98.0;109.0;843.0;8.6;29.3;35.9;1.4411;1736.0;1095.0;923.0;999.0
-200.0;1.5;140.0;233.0;721.0;5.2;12.2;65.0;0.9193;1175.0;1095.0;772.0;1023.0
-200.0;1.7;102.0;103.0;822.0;9.6;31.2;32.4;1.4517;1743.0;1097.0;964.0;853.0
-200.0;1.7;84.0;75.0;819.0;9.8;34.4;26.6;1.423;1714.0;1101.0;972.0;752.0
-200.0;0.8;152.0;289.0;641.0;7.5;14.0;47.8;0.7582;1224.0;1177.0;878.0;844.0
-200.0;1.5;83.0;72.0;833.0;10.3;36.1;22.1;1.3004;1718.0;1060.0;991.0;778.0
-200.0;1.0;81.0;63.0;936.0;6.0;23.5;48.3;1.3777;1592.0;886.0;813.0;918.0
-200.0;1.8;105.0;120.0;791.0;10.6;24.0;47.3;1.3914;1751.0;1013.0;999.0;1119.0
-200.0;1.3;64.0;85.0;857.0;8.3;18.6;56.0;1.1865;1639.0;934.0;911.0;863.0
-200.0;0.4;114.0;191.0;699.0;5.5;17.6;35.5;0.7065;1115.0;1096.0;788.0;583.0
-200.0;0.8;165.0;287.0;690.0;6.8;12.2;50.9;0.7202;1146.0;1096.0;850.0;943.0
-200.0;1.7;94.0;87.0;868.0;8.7;25.2;43.0;1.358;1724.0;1016.0;929.0;853.0
-200.0;1.7;97.0;103.0;878.0;8.2;25.8;40.9;1.3389;1675.0;976.0;909.0;830.0
-200.0;1.9;182.0;336.0;707.0;8.3;6.3;40.1;0.3842;999.0;1134.0;912.0;1376.0
-200.0;2.2;166.0;304.0;697.0;7.8;6.5;74.7;0.7248;1197.0;1154.0;891.0;1079.0
-200.0;1.1;79.0;74.0;956.0;6.4;20.5;49.9;1.1903;1570.0;889.0;831.0;760.0
-200.0;1.9;156.0;258.0;695.0;7.7;8.6;56.3;0.6312;1176.0;1116.0;888.0;980.0
-200.0;2.3;162.0;228.0;735.0;8.6;10.1;33.2;0.4115;1036.0;1069.0;923.0;875.0
-200.0;0.9;67.0;93.0;922.0;6.4;17.8;56.5;1.1375;1594.0;890.0;831.0;826.0
-200.0;1.5;78.0;148.0;808.0;12.4;24.6;47.5;1.4487;1886.0;1167.0;1065.0;1139.0
-200.0;1.8;103.0;118.0;865.0;9.4;29.4;32.9;1.3244;1697.0;1014.0;954.0;818.0
-200.0;2.4;204.0;335.0;739.0;8.4;4.8;41.9;0.3634;1038.0;1040.0;917.0;1021.0
-200.0;3.7;157.0;275.0;663.0;10.2;7.3;56.7;0.5806;1188.0;1138.0;986.0;1030.0
-200.0;1.9;105.0;127.0;841.0;9.8;27.4;37.0;1.3319;1728.0;1037.0;969.0;865.0
-200.0;2.3;152.0;293.0;710.0;8.4;12.3;38.4;0.5488;1124.0;1089.0;916.0;903.0
-200.0;1.7;117.0;152.0;867.0;8.9;27.1;38.3;1.3548;1696.0;1027.0;936.0;931.0
-200.0;1.5;170.0;290.0;755.0;5.5;3.8;83.8;0.6771;1146.0;1071.0;787.0;947.0
-200.0;1.9;125.0;169.0;837.0;10.0;28.0;36.6;1.3603;1705.0;1041.0;979.0;1053.0
