NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;2.3;86.0;289.0;738.0;7.6;10.8;77.5;1.0027;1260.0;1143.0;882.0;1069.0
-200.0;1.7;108.0;120.0;817.0;10.1;28.2;28.7;1.0806;1631.0;1027.0;981.0;1023.0
-200.0;1.4;89.0;108.0;840.0;8.8;23.6;33.8;0.9685;1522.0;927.0;930.0;1026.0
-200.0;-200.0;101.0;90.0;835.0;8.7;24.5;28.0;0.8489;1482.0;902.0;929.0;824.0
-200.0;1.2;80.0;64.0;802.0;8.9;23.4;38.6;1.0968;1566.0;950.0;937.0;989.0
-200.0;2.0;138.0;196.0;802.0;9.3;28.8;33.0;1.2825;1593.0;1051.0;950.0;1040.0
-200.0;2.0;87.0;137.0;771.0;10.8;29.8;28.5;1.1809;1545.0;1021.0;1009.0;769.0
-200.0;-200.0;113.0;109.0;830.0;10.7;35.3;15.0;0.8463;1473.0;949.0;1003.0;730.0
-200.0;0.9;82.0;78.0;837.0;7.5;21.6;44.0;1.1244;1550.0;954.0;879.0;834.0
-200.0;1.2;77.0;71.0;816.0;8.3;22.2;43.0;1.1363;1552.0;949.0;910.0;1015.0
-200.0;1.3;75.0;83.0;793.0;8.2;21.1;46.9;1.1585;1546.0;974.0;908.0;1057.0
-200.0;1.5;108.0;134.0;805.0;8.7;22.7;43.9;1.1962;1615.0;1020.0;929.0;929.0
-200.0;2.1;112.0;95.0;787.0;10.7;34.0;19.2;1.0073;1524.0;1083.0;1003.0;842.0
-200.0;2.0;120.0;107.0;810.0;9.6;31.7;21.6;0.9959;1496.0;1050.0;962.0;879.0
-200.0;1.9;106.0;88.0;830.0;8.7;29.7;24.2;0.9926;1475.0;1050.0;927.0;836.0
-200.0;1.5;113.0;108.0;749.0;11.1;42.8;14.3;1.2003;1559.0;1079.0;1019.0;929.0
-200.0;1.5;60.0;65.0;697.0;8.8;28.2;55.0;2.0697;1748.0;1118.0;930.0;1027.0
-200.0;2.0;81.0;118.0;944.0;9.7;18.4;24.0;0.5046;1379.0;970.0;966.0;907.0
52.0;0.8;73.0;72.0;1210.0;3.0;7.7;72.4;0.7655;1312.0;952.0;654.0;832.0
-200.0;2.1;90.0;133.0;941.0;7.4;15.1;60.9;1.0398;1577.0;1300.0;872.0;1054.0
-200.0;-200.0;-200.0;-200.0;919.0;7.9;17.0;50.8;0.9751;1623.0;1136.0;896.0;961.0
-200.0;1.0;83.0;92.0;847.0;7.2;26.9;40.3;1.4041;1636.0;1020.0;866.0;744.0
212.0;2.6;108.0;172.0;781.0;11.0;17.6;46.7;0.9324;1666.0;1223.0;1014.0;1219.0
128.0;1.8;84.0;128.0;922.0;8.5;11.1;50.5;0.6654;1530.0;1163.0;919.0;1076.0
-200.0;-200.0;-200.0;-200.0;900.0;8.2;16.5;52.8;0.986;1566.0;1105.0;908.0;923.0
-200.0;-200.0;-200.0;-200.0;910.0;6.9;14.7;63.1;1.0488;1575.0;1084.0;852.0;959.0
-200.0;0.7;41.0;39.0;893.0;4.5;26.5;60.6;2.063;1623.0;921.0;738.0;818.0
94.0;1.6;77.0;87.0;1040.0;6.2;17.4;35.4;0.699;1386.0;1053.0;823.0;810.0
155.0;1.9;99.0;141.0;968.0;8.2;22.8;29.1;0.796;1455.0;1061.0;908.0;890.0
-200.0;1.7;95.0;138.0;1016.0;9.0;25.7;19.4;0.6304;1425.0;1020.0;941.0;756.0
-200.0;1.8;90.0;140.0;974.0;8.6;19.8;28.5;0.652;1404.0;990.0;924.0;861.0
-200.0;2.0;142.0;180.0;945.0;8.9;18.5;31.2;0.6611;1444.0;1010.0;937.0;949.0
44.0;-200.0;71.0;66.0;1150.0;4.0;12.3;65.4;0.9351;1468.0;1078.0;711.0;1013.0
176.0;1.9;93.0;111.0;994.0;9.0;17.6;30.1;0.6013;1449.0;1071.0;940.0;756.0
57.0;1.6;83.0;118.0;1055.0;6.4;12.4;60.0;0.8627;1527.0;1235.0;828.0;1093.0
-200.0;1.0;71.0;55.0;964.0;5.4;17.4;43.4;0.8553;1389.0;935.0;786.0;954.0
-200.0;1.2;81.0;67.0;964.0;5.7;18.0;40.5;0.8271;1395.0;947.0;798.0;930.0
-200.0;1.6;101.0;112.0;959.0;6.9;16.8;45.6;0.8636;1452.0;984.0;851.0;817.0
-200.0;2.2;112.0;136.0;846.0;9.4;16.7;47.2;0.892;1570.0;1074.0;954.0;956.0
-200.0;0.9;78.0;77.0;961.0;6.0;14.2;64.1;1.0346;1518.0;959.0;812.0;910.0
-200.0;1.7;97.0;103.0;878.0;8.2;25.8;40.9;1.3389;1675.0;976.0;909.0;830.0
-200.0;1.0;74.0;65.0;823.0;6.2;27.9;41.6;1.5425;1585.0;1023.0;822.0;1050.0
-200.0;1.3;109.0;111.0;819.0;9.9;41.8;15.0;1.1989;1525.0;1076.0;972.0;923.0
-200.0;1.4;115.0;147.0;801.0;10.6;40.3;15.8;1.1604;1538.0;1070.0;1000.0;1039.0
-200.0;-200.0;69.0;52.0;856.0;4.7;25.1;44.0;1.3794;1493.0;981.0;747.0;1090.0
-200.0;1.3;62.0;92.0;767.0;8.5;22.2;45.0;1.1867;1534.0;924.0;920.0;946.0
