InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN_ accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
-8;4;-173.0;21;-10;-20.0;661;723;-4;-10;-8;0;-38
137;208;83.0;-13;128;-35.0;557;874;-208;128;137;127;-43
19;-53;20.0;20;-22;-118.0;643;739;53;-22;19;11;-42
-6;-26;10.0;18;-18;-109.0;639;746;26;-18;-6;11;-42
-31;10;12.0;16;-10;-119.0;646;742;-10;-10;-31;11;-42
2;7;4.0;24;-17;-129.0;642;735;-7;-17;2;15;-42
10;31;-17.0;20;-26;-147.0;647;736;-31;-26;10;13;-42
-4;12;19.0;18;-4;-141.0;648;738;-12;-4;-4;10;-42
21;-28;49.0;21;24;-121.0;641;740;28;24;21;7;-42
-1;7;41.0;21;15;-110.0;641;739;-7;15;-1;11;-42
-26;241;95.0;20;-427;-3.0;513;866;-241;-427;-26;145;-42
-85;132;-91.0;8;36;-89.0;682;718;-132;36;-85;78;-40
-66;27;-52.0;34;35;-134.0;641;718;-27;35;-66;81;-40
-99;75;-72.0;15;87;-125.0;688;703;-75;87;-99;70;-40
-120;91;50.0;-49;385;18.0;638;834;-91;385;-120;184;-39
97;271;-144.0;181;-104;-416.0;275;829;-271;-104;97;112;-39
11;4;39.0;16;13;-101.0;655;735;-4;13;11;3;-41
6;-4;32.0;20;-15;-116.0;643;739;4;-15;6;0;-41
-10;-62;264.0;41;11;-203.0;642;712;62;11;-10;-19;-41
-14;22;48.0;20;-13;-90.0;646;737;-22;-13;-14;0;-41
12;22;500.0;18;62;-329.0;682;709;-22;62;12;-21;-43
-177;-144;401.0;12;-245;-205.0;703;695;144;-245;-177;-17;-43
-315;235;-156.0;35;-241;26.0;686;679;-235;-241;-315;30;-39
-61;-69;96.0;30;-293;-137.0;165;959;69;-293;-61;-4;-13
-52;16;73.0;25;-98;-109.0;169;963;-16;-98;-52;-5;-13
-48;21;54.0;57;101;-97.0;186;926;-21;101;-48;-28;-13
-29;-3;17.0;64;86;-137.0;172;919;3;86;-29;-65;-13
7;34;285.0;17;-11;-110.0;662;727;-34;-11;7;-10;-41
1;30;85.0;19;-37;-132.0;662;724;-30;-37;1;-2;-41
22;16;148.0;26;19;-130.0;656;721;-16;19;22;-3;-41
12;19;81.0;25;-4;-155.0;650;726;-19;-4;12;11;-41
15;-15;88.0;22;-1;-166.0;652;728;15;-1;15;9;-41
1;-28;83.0;20;-19;-150.0;657;727;28;-19;1;7;-41
12;-8;91.0;16;0;-154.0;662;729;8;0;12;7;-41
28;11;97.0;13;-11;-141.0;657;737;-11;-11;28;1;-41
-14;27;116.0;16;16;-145.0;654;734;-27;16;-14;3;-41
-17;11;101.0;18;25;-125.0;657;728;-11;25;-17;4;-41
