InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Compass
272.0;-237.0;?;-431.0;138.0;27;74;-227.0;-7
244.0;-192.0;?;-438.0;99.0;27;74;-192.0;-7
224.0;-167.0;?;-439.0;66.0;27;74;-164.0;-7
206.0;-151.0;?;-437.0;50.0;27;74;-149.0;-7
?;-151.0;?;-437.0;53.0;27;74;-148.0;-7
?;-164.0;-2;-440.0;66.0;27;74;-142.0;-7
?;-180.0;1;-441.0;87.0;27;74;-151.0;-7
?;-198.0;-1;-441.0;113.0;27;74;-166.0;-7
268.0;-223.0;-2;-437.0;154.0;27;74;-195.0;-7
452.0;-215.0;-3;-406.0;?;27;74;-678.0;-7
443.0;-229.0;?;-410.0;?;27;74;-677.0;-7
?;-231.0;?;-408.0;?;27;74;-680.0;-7
460.0;-234.0;?;-411.0;?;27;74;-682.0;-7
479.0;-255.0;?;-409.0;?;27;74;?;-7
504.0;-284.0;?;-411.0;?;27;74;?;-7
526.0;-324.0;?;-411.0;609.0;27;74;?;-7
556.0;-364.0;?;-409.0;619.0;27;74;?;-7
586.0;-396.0;?;-406.0;628.0;27;74;?;-7
614.0;-428.0;?;-403.0;633.0;27;74;-707.0;-7
629.0;-458.0;?;-407.0;633.0;27;74;-696.0;-7
635.0;-487.0;?;-409.0;?;27;74;-672.0;-7
630.0;-496.0;?;-411.0;?;27;74;-645.0;-7
610.0;-489.0;?;-415.0;?;27;74;?;-7
583.0;-478.0;?;-419.0;?;27;74;?;-7
547.0;-458.0;?;-426.0;?;27;74;?;-7
497.0;-435.0;0;-430.0;?;27;74;?;-7
447.0;-403.0;1;-433.0;?;27;74;?;-7
400.0;-361.0;-2;-433.0;?;27;74;?;-7
345.0;-314.0;3;-432.0;211.0;27;74;?;-7
303.0;-260.0;5;-431.0;153.0;27;74;?;-7
266.0;-212.0;2;-432.0;95.0;27;74;?;-7
236.0;-175.0;2;-432.0;48.0;27;74;?;-7
222.0;-149.0;-1;-429.0;13.0;27;74;?;-7
215.0;-138.0;0;-430.0;-4.0;27;74;?;-7
214.0;-143.0;0;-435.0;-2.0;27;74;?;-7
218.0;-155.0;-5;-436.0;18.0;27;74;?;-7
226.0;-171.0;-3;-438.0;40.0;27;74;?;-7
237.0;-187.0;1;-440.0;55.0;27;74;-154.0;-7
249.0;-199.0;1;-432.0;70.0;27;?;-168.0;-7
259.0;-209.0;5;-429.0;89.0;27;?;-179.0;-7
271.0;?;5;-424.0;119.0;27;?;-203.0;-7
481.0;?;-2;-401.0;578.0;27;?;-666.0;?
474.0;?;-1;-402.0;597.0;27;?;-669.0;?
474.0;?;-7;-406.0;600.0;27;?;-671.0;?
482.0;?;-3;-407.0;589.0;27;?;-672.0;?
488.0;?;3;-410.0;589.0;27;?;?;?
503.0;?;0;-407.0;593.0;27;?;?;-7
517.0;?;-2;-406.0;606.0;27;?;?;-7
535.0;?;-3;-403.0;615.0;27;?;?;-7
562.0;?;-1;-404.0;617.0;27;?;?;-7
594.0;-400.0;3;-402.0;627.0;27;74;-702.0;-7
616.0;-435.0;-4;-397.0;631.0;27;74;-705.0;-7
639.0;-472.0;-6;-394.0;632.0;27;74;-699.0;-7
651.0;-494.0;2;-395.0;613.0;27;74;-685.0;-7
653.0;-506.0;1;-390.0;582.0;27;74;-669.0;-7
643.0;-509.0;1;-398.0;536.0;27;74;-636.0;-7
614.0;-499.0;5;-403.0;482.0;27;74;-593.0;-7
567.0;-478.0;-3;-409.0;417.0;27;74;-533.0;-7
517.0;-447.0;-3;-413.0;355.0;27;74;-476.0;-7
465.0;-404.0;0;-419.0;295.0;27;74;-428.0;-7
403.0;-355.0;-2;-415.0;235.0;27;74;-371.0;-7
344.0;-300.0;2;-414.0;181.0;27;74;-311.0;-7
282.0;-243.0;5;-411.0;125.0;27;74;-254.0;-7
239.0;-197.0;4;-410.0;79.0;27;74;-209.0;-7
212.0;-163.0;3;-412.0;38.0;27;74;-175.0;-7
192.0;-143.0;2;-415.0;16.0;27;74;-147.0;-7
182.0;-139.0;4;-418.0;7.0;27;74;-131.0;-7
185.0;-143.0;2;-419.0;13.0;27;74;-141.0;-7
195.0;-155.0;-3;-422.0;27.0;27;74;-150.0;-7
204.0;-168.0;0;-423.0;38.0;27;74;-155.0;-7
