Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RWR accY;InertialMeasurementUnit RUA accY
226.0;-936.0;1029.0;929.0;-831.0;754.0;222.0
246.0;-1028.0;994.0;915.0;-852.0;704.0;159.0
216.0;-1057.0;1031.0;916.0;-928.0;693.0;213.0
250.0;-1010.0;1033.0;888.0;-754.0;729.0;220.0
210.0;-980.0;1066.0;839.0;-791.0;738.0;153.0
189.0;-969.0;1073.0;868.0;-764.0;713.0;164.0
144.0;-929.0;1132.0;923.0;-635.0;680.0;16.0
111.0;-940.0;1108.0;907.0;-610.0;672.0;31.0
129.0;-986.0;1102.0;912.0;-633.0;633.0;12.0
385.0;-977.0;1032.0;915.0;-824.0;525.0;197.0
295.0;-925.0;1034.0;943.0;-698.0;662.0;235.0
367.0;-911.0;1093.0;926.0;-704.0;679.0;187.0
289.0;-930.0;1068.0;782.0;-643.0;594.0;51.0
290.0;-985.0;1066.0;828.0;-711.0;575.0;-14.0
284.0;-998.0;1080.0;869.0;-700.0;572.0;-19.0
335.0;-986.0;1070.0;887.0;-660.0;538.0;18.0
285.0;-968.0;1094.0;890.0;-664.0;504.0;-12.0
282.0;-960.0;1116.0;810.0;-708.0;540.0;12.0
226.0;-988.0;1107.0;809.0;-761.0;599.0;106.0
194.0;-928.0;1133.0;810.0;-646.0;645.0;72.0
208.0;-860.0;1059.0;895.0;-542.0;636.0;8.0
98.0;-987.0;988.0;798.0;-792.0;668.0;195.0
152.0;-928.0;966.0;963.0;-780.0;687.0;204.0
66.0;-864.0;1070.0;864.0;-566.0;607.0;161.0
215.0;-947.0;1108.0;957.0;-819.0;760.0;145.0
200.0;-935.0;1089.0;911.0;-686.0;599.0;132.0
252.0;-914.0;953.0;955.0;-705.0;512.0;133.0
306.0;-850.0;1075.0;898.0;-753.0;726.0;118.0
215.0;-901.0;942.0;805.0;-736.0;447.0;124.0
273.0;-925.0;1001.0;909.0;-756.0;702.0;236.0
270.0;-916.0;1035.0;895.0;-765.0;714.0;192.0
223.0;-899.0;1005.0;772.0;-775.0;464.0;120.0
177.0;-959.0;989.0;755.0;-627.0;498.0;24.0
158.0;-990.0;961.0;804.0;-672.0;514.0;89.0
138.0;-1044.0;1010.0;917.0;-584.0;597.0;136.0
120.0;-946.0;1056.0;911.0;-511.0;614.0;128.0
223.0;-960.0;1051.0;987.0;-825.0;751.0;164.0
230.0;-953.0;1073.0;982.0;-816.0;748.0;165.0
217.0;-950.0;1081.0;955.0;-821.0;755.0;147.0
192.0;-940.0;969.0;810.0;-490.0;451.0;223.0
223.0;-962.0;1065.0;999.0;-845.0;712.0;127.0
266.0;-954.0;1046.0;978.0;-829.0;717.0;148.0
287.0;-942.0;1040.0;960.0;-813.0;715.0;186.0
268.0;-937.0;1038.0;948.0;-800.0;716.0;204.0
253.0;-926.0;1057.0;945.0;-791.0;767.0;193.0
237.0;-940.0;1052.0;939.0;-806.0;658.0;181.0
170.0;-961.0;1079.0;980.0;-828.0;716.0;173.0
218.0;-971.0;1079.0;990.0;-851.0;731.0;132.0
214.0;-967.0;1062.0;981.0;-847.0;724.0;141.0
222.0;-961.0;1048.0;988.0;-840.0;710.0;141.0
