InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
56.0;-190.0;155.0;-87.0;-81.0;262.0;-61.0;-108.0
-440.0;-479.0;-107.0;-466.0;274.0;653.0;268.0;-213.0
-250.0;-306.0;126.0;-216.0;-13.0;513.0;-71.0;77.0
-220.0;-300.0;132.0;-197.0;-28.0;515.0;-64.0;82.0
-187.0;-292.0;142.0;-176.0;-46.0;520.0;-59.0;87.0
60.0;-177.0;208.0;-306.0;64.0;220.0;-111.0;-136.0
64.0;-180.0;197.0;-272.0;43.0;216.0;-94.0;-137.0
65.0;-185.0;180.0;-234.0;22.0;214.0;-75.0;-137.0
66.0;-183.0;157.0;-205.0;-5.0;220.0;-51.0;-131.0
64.0;-175.0;136.0;-184.0;-32.0;238.0;-27.0;-119.0
62.0;-170.0;118.0;-169.0;-45.0;262.0;-3.0;-103.0
-301.0;-422.0;-16.0;-342.0;181.0;307.0;126.0;-259.0
-14.0;-170.0;158.0;-192.0;-15.0;399.0;-46.0;23.0
55.0;-170.0;101.0;-172.0;-51.0;286.0;25.0;-93.0
-193.0;-416.0;29.0;-263.0;88.0;210.0;122.0;-287.0
-192.0;-418.0;33.0;-254.0;80.0;207.0;117.0;-288.0
-191.0;-419.0;34.0;-250.0;76.0;203.0;111.0;-292.0
-183.0;-471.0;21.0;-404.0;203.0;197.0;27.0;-277.0
-178.0;-469.0;22.0;-404.0;204.0;204.0;29.0;-274.0
-135.0;-317.0;136.0;-49.0;-88.0;0.0;17.0;-337.0
444.0;553.0;53.0;393.0;-227.0;-773.0;-188.0;63.0
-69.0;-309.0;116.0;-170.0;1.0;119.0;-28.0;-270.0
-65.0;-305.0;120.0;-178.0;8.0;130.0;-29.0;-261.0
-89.0;-327.0;103.0;-260.0;54.0;179.0;-33.0;-225.0
-96.0;-333.0;100.0;-277.0;60.0;172.0;-23.0;-226.0
-99.0;-335.0;97.0;-281.0;67.0;167.0;-18.0;-227.0
-98.0;-335.0;92.0;-283.0;74.0;165.0;-16.0;-228.0
-82.0;-346.0;78.0;-227.0;54.0;105.0;29.0;-275.0
-83.0;-343.0;74.0;-230.0;56.0;105.0;31.0;-277.0
-82.0;-339.0;70.0;-234.0;59.0;105.0;33.0;-278.0
