Accelerometer RKN_ accY;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE Nav_Ay;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Ax
996.0;925.0;-146;241.0;295.0;-506.0;88
992.0;914.0;7;151.0;208.0;-381.0;3
975.0;937.0;5;150.0;207.0;-401.0;-1
1001.0;1013.0;-107;175.0;441.0;-599.0;4
790.0;889.0;61;331.0;365.0;-774.0;-294
989.0;918.0;4;152.0;183.0;-409.0;1
989.0;926.0;2;163.0;181.0;-401.0;0
977.0;924.0;-4;163.0;200.0;-410.0;1
972.0;920.0;-3;171.0;178.0;-407.0;12
982.0;970.0;-5;238.0;72.0;-640.0;6
981.0;909.0;1;161.0;198.0;-423.0;0
979.0;932.0;6;153.0;197.0;-416.0;-14
979.0;970.0;-2;193.0;265.0;-664.0;-1
992.0;982.0;-8;192.0;266.0;-712.0;2
950.0;936.0;48;393.0;194.0;-420.0;250
991.0;982.0;-6;216.0;303.0;-694.0;-1
979.0;1017.0;-18;212.0;297.0;-647.0;-26
970.0;1003.0;-11;191.0;287.0;-658.0;-32
977.0;1011.0;-11;192.0;265.0;-680.0;-48
961.0;1017.0;-10;199.0;247.0;-670.0;-48
969.0;1003.0;-9;265.0;405.0;-678.0;-7
1001.0;1004.0;4;220.0;-47.0;-446.0;1
1029.0;930.0;-10;188.0;-63.0;-581.0;5
994.0;967.0;30;166.0;40.0;-559.0;49
996.0;935.0;203;207.0;9.0;-451.0;-279
970.0;1021.0;0;266.0;642.0;-716.0;4
967.0;983.0;-14;192.0;260.0;-668.0;-47
951.0;963.0;-48;201.0;266.0;-678.0;-60
980.0;962.0;683;209.0;29.0;-711.0;-1603
972.0;1295.0;-897;430.0;367.0;-598.0;-368
1013.0;818.0;-202;300.0;-24.0;-428.0;-265
970.0;1007.0;5;221.0;220.0;-667.0;-1
973.0;996.0;5;236.0;180.0;-662.0;-1
998.0;972.0;-2;272.0;167.0;-684.0;-8
683.0;904.0;-735;329.0;103.0;-591.0;2539
996.0;993.0;-3;257.0;185.0;-690.0;-7
1000.0;986.0;-2;220.0;192.0;-696.0;-7
981.0;985.0;2;225.0;164.0;-694.0;-3
1049.0;1028.0;-14;159.0;151.0;-731.0;5
985.0;1164.0;-22;314.0;151.0;-598.0;22
967.0;916.0;-2;162.0;186.0;-398.0;-2
976.0;904.0;12;151.0;206.0;-408.0;5
576.0;716.0;53;262.0;2.0;-400.0;-2
973.0;932.0;2;149.0;188.0;-409.0;-2
1127.0;816.0;-43;267.0;47.0;-442.0;74
1007.0;922.0;-8;369.0;55.0;-433.0;0
959.0;928.0;24;240.0;112.0;-457.0;46
976.0;919.0;70;201.0;210.0;-458.0;3
1524.0;958.0;6;347.0;270.0;-554.0;-21
970.0;941.0;89;154.0;85.0;-557.0;2
985.0;935.0;16;308.0;99.0;-573.0;-2
971.0;920.0;33;194.0;154.0;-585.0;32
968.0;917.0;66;197.0;256.0;-560.0;47
969.0;937.0;31;194.0;206.0;-562.0;35
974.0;934.0;86;168.0;181.0;-545.0;11
984.0;896.0;40;172.0;232.0;-576.0;20
952.0;913.0;19;188.0;257.0;-563.0;27
980.0;1070.0;1699;307.0;85.0;-514.0;288
902.0;921.0;-1134;419.0;93.0;-818.0;-1213
974.0;935.0;-2;163.0;154.0;-419.0;0
1013.0;753.0;70;75.0;292.0;-760.0;40
989.0;966.0;-5;246.0;-10.0;-532.0;1
979.0;928.0;0;139.0;168.0;-412.0;-8
911.0;1077.0;434;142.0;184.0;-569.0;235
902.0;926.0;24;143.0;179.0;-576.0;52
969.0;909.0;-4;149.0;184.0;-420.0;-5
937.0;995.0;19;99.0;207.0;-417.0;-3
1004.0;934.0;-7;239.0;140.0;-411.0;-2
975.0;956.0;2;296.0;53.0;-421.0;-3
980.0;960.0;-7;260.0;19.0;-585.0;-1
975.0;1079.0;18;338.0;277.0;-455.0;-32
751.0;1065.0;15;175.0;-121.0;-641.0;-38
983.0;969.0;161;337.0;272.0;-442.0;-122
701.0;985.0;3;227.0;114.0;-593.0;9
910.0;1004.0;10;276.0;157.0;-561.0;9
983.0;973.0;-22;217.0;155.0;-400.0;6
991.0;937.0;-40;185.0;156.0;-483.0;12
990.0;895.0;-104;231.0;-36.0;-445.0;348
915.0;986.0;10;244.0;133.0;-580.0;9
906.0;1016.0;11;230.0;100.0;-582.0;17
995.0;816.0;115;59.0;42.0;-451.0;21
984.0;889.0;20;181.0;109.0;-568.0;3
948.0;975.0;0;240.0;141.0;-452.0;-5
965.0;916.0;-6;200.0;181.0;-386.0;-4
978.0;943.0;-17;190.0;108.0;-589.0;-19
975.0;939.0;-2;171.0;112.0;-600.0;-10
969.0;908.0;18;195.0;144.0;-571.0;2
991.0;891.0;-3;201.0;157.0;-589.0;-9
998.0;982.0;5;270.0;43.0;-539.0;10
1006.0;934.0;8;262.0;46.0;-527.0;9
978.0;923.0;11;197.0;127.0;-586.0;-4
978.0;929.0;4;204.0;157.0;-421.0;10
979.0;956.0;6;183.0;149.0;-446.0;1
979.0;941.0;1;181.0;141.0;-424.0;1
925.0;985.0;-5;310.0;57.0;-795.0;7
983.0;913.0;4;151.0;117.0;-420.0;-2
981.0;1023.0;-8;294.0;174.0;-600.0;14
1026.0;1011.0;-3;453.0;247.0;-555.0;21
964.0;934.0;3;147.0;106.0;-425.0;1
965.0;955.0;0;158.0;119.0;-457.0;1
986.0;952.0;1;156.0;121.0;-432.0;1
990.0;920.0;2;195.0;113.0;-416.0;2
988.0;926.0;-1;192.0;115.0;-459.0;0
989.0;963.0;0;177.0;112.0;-502.0;-1
971.0;941.0;-4;185.0;120.0;-493.0;1
988.0;945.0;1;170.0;126.0;-471.0;3
989.0;944.0;-1;189.0;161.0;-427.0;6
989.0;956.0;6;199.0;164.0;-442.0;7
976.0;930.0;6;204.0;167.0;-452.0;3
970.0;926.0;-2;218.0;179.0;-458.0;1
978.0;945.0;2;241.0;177.0;-432.0;-3
979.0;909.0;6;250.0;207.0;-453.0;-9
970.0;937.0;1;232.0;207.0;-476.0;-2
979.0;948.0;1;233.0;203.0;-453.0;4
983.0;926.0;-2;179.0;144.0;-480.0;-3
984.0;942.0;0;200.0;166.0;-479.0;-5
983.0;951.0;5;201.0;188.0;-446.0;0
980.0;939.0;-2;222.0;190.0;-432.0;-4
962.0;940.0;0;219.0;227.0;-438.0;-7
958.0;914.0;3;200.0;194.0;-431.0;2
974.0;929.0;3;201.0;169.0;-445.0;3
978.0;905.0;0;186.0;137.0;-470.0;-7
988.0;922.0;1;203.0;151.0;-452.0;-3
980.0;919.0;2;218.0;150.0;-449.0;11
979.0;920.0;-11;194.0;159.0;-465.0;14
980.0;900.0;0;215.0;166.0;-476.0;8
996.0;920.0;10;211.0;187.0;-441.0;1
971.0;928.0;3;192.0;183.0;-473.0;-2
975.0;935.0;0;216.0;178.0;-469.0;3
968.0;945.0;2;220.0;179.0;-513.0;-1
962.0;960.0;2;223.0;171.0;-440.0;-3
970.0;951.0;-1;214.0;150.0;-410.0;5
989.0;961.0;0;213.0;148.0;-463.0;4
988.0;914.0;0;202.0;153.0;-439.0;-2
983.0;918.0;1;179.0;134.0;-431.0;-2
985.0;948.0;-3;168.0;125.0;-463.0;2
979.0;956.0;-1;172.0;99.0;-440.0;4
975.0;953.0;2;171.0;109.0;-428.0;1
985.0;935.0;6;161.0;78.0;-481.0;1
970.0;935.0;8;140.0;64.0;-430.0;-2
979.0;958.0;4;181.0;129.0;-486.0;0
981.0;948.0;6;192.0;159.0;-458.0;2
964.0;959.0;1;198.0;142.0;-460.0;-3
988.0;948.0;1;213.0;167.0;-463.0;2
963.0;944.0;4;213.0;171.0;-465.0;1
961.0;920.0;2;208.0;158.0;-465.0;1
990.0;929.0;4;218.0;173.0;-491.0;-1
984.0;940.0;4;220.0;156.0;-420.0;-5
