InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticY;Accelerometer RWR accZ;InertialMeasurementUnit RUA magneticY
203.0;287.0;361.0;155.0;401.0;745.0;-481.0
40.0;114.0;97.0;-139.0;259.0;533.0;-348.0
-95.0;7.0;177.0;-42.0;84.0;567.0;-269.0
-132.0;-14.0;293.0;-14.0;43.0;610.0;-225.0
-167.0;-34.0;301.0;-5.0;6.0;663.0;-179.0
266.0;396.0;511.0;88.0;489.0;334.0;-362.0
264.0;395.0;504.0;88.0;490.0;349.0;-362.0
263.0;395.0;502.0;88.0;487.0;341.0;-363.0
42.0;95.0;619.0;-170.0;408.0;849.0;-392.0
-194.0;-49.0;338.0;-6.0;-25.0;660.0;-145.0
-210.0;-60.0;329.0;-9.0;-51.0;668.0;-126.0
262.0;393.0;512.0;88.0;490.0;360.0;-362.0
263.0;394.0;506.0;87.0;488.0;406.0;-363.0
263.0;395.0;511.0;86.0;490.0;387.0;-361.0
-223.0;-74.0;377.0;-24.0;-71.0;705.0;-123.0
282.0;402.0;651.0;8.0;496.0;521.0;-429.0
42.0;94.0;611.0;-165.0;411.0;814.0;-387.0
-203.0;-148.0;507.0;-133.0;97.0;757.0;-249.0
-172.0;-113.0;504.0;-167.0;127.0;783.0;-299.0
-158.0;-97.0;580.0;-181.0;139.0;794.0;-309.0
-75.0;48.0;185.0;254.0;-142.0;537.0;-153.0
54.0;-345.0;879.0;97.0;656.0;838.0;-22.0
285.0;401.0;638.0;-2.0;495.0;509.0;-436.0
279.0;408.0;695.0;-35.0;491.0;544.0;-457.0
81.0;-80.0;81.0;622.0;288.0;487.0;-297.0
116.0;-79.0;178.0;617.0;327.0;480.0;-310.0
142.0;-84.0;106.0;622.0;353.0;451.0;-318.0
32.0;-18.0;132.0;589.0;186.0;545.0;-456.0
41.0;-26.0;107.0;592.0;190.0;460.0;-457.0
48.0;-32.0;148.0;600.0;193.0;492.0;-449.0
61.0;-31.0;236.0;615.0;203.0;678.0;-441.0
-155.0;245.0;602.0;33.0;85.0;791.0;-568.0
-158.0;239.0;543.0;43.0;83.0;684.0;-559.0
-142.0;241.0;452.0;63.0;102.0;721.0;-555.0
-119.0;243.0;334.0;60.0;135.0;582.0;-551.0
-92.0;248.0;314.0;40.0;176.0;579.0;-548.0
-59.0;253.0;272.0;23.0;225.0;563.0;-549.0
-25.0;259.0;265.0;4.0;273.0;518.0;-551.0
56.0;239.0;529.0;51.0;365.0;488.0;-509.0
129.0;231.0;234.0;71.0;445.0;537.0;-526.0
124.0;232.0;223.0;67.0;440.0;558.0;-527.0
123.0;235.0;253.0;65.0;437.0;533.0;-530.0
105.0;188.0;215.0;38.0;443.0;529.0;-526.0
103.0;181.0;144.0;40.0;443.0;491.0;-521.0
102.0;178.0;158.0;46.0;449.0;509.0;-516.0
106.0;179.0;148.0;51.0;453.0;520.0;-509.0
110.0;178.0;158.0;54.0;459.0;538.0;-508.0
116.0;179.0;207.0;57.0;462.0;518.0;-507.0
120.0;181.0;240.0;58.0;464.0;529.0;-510.0
119.0;182.0;269.0;60.0;460.0;518.0;-512.0
116.0;183.0;276.0;65.0;453.0;558.0;-509.0
111.0;185.0;277.0;71.0;449.0;586.0;-507.0
102.0;183.0;263.0;75.0;435.0;598.0;-504.0
108.0;224.0;251.0;59.0;415.0;553.0;-514.0
120.0;230.0;244.0;58.0;429.0;568.0;-517.0
131.0;229.0;224.0;60.0;442.0;570.0;-517.0
140.0;234.0;233.0;61.0;453.0;562.0;-520.0
149.0;237.0;253.0;64.0;464.0;567.0;-520.0
152.0;238.0;262.0;67.0;470.0;562.0;-525.0
157.0;240.0;260.0;70.0;473.0;520.0;-525.0
158.0;243.0;249.0;69.0;476.0;592.0;-527.0
144.0;242.0;331.0;78.0;457.0;763.0;-533.0
136.0;238.0;210.0;84.0;451.0;453.0;-529.0
128.0;238.0;323.0;88.0;443.0;486.0;-522.0
126.0;240.0;374.0;94.0;434.0;480.0;-514.0
115.0;242.0;82.0;90.0;422.0;454.0;-514.0
173.0;292.0;154.0;71.0;469.0;458.0;-556.0
177.0;298.0;268.0;74.0;466.0;501.0;-556.0
