InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LUA magneticX;Accelerometer LH accZ;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accY;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;Accelerometer LWR accZ;InertialMeasurementUnit R-SHOE EuY
-169;398.0;-71.0;-571.0;1219.0;-114.0;338.0;139.0;405.0;-44
-127;445.0;-73.0;-558.0;1084.0;-409.0;451.0;386.0;484.0;-34
-127;393.0;-38.0;-375.0;1011.0;-12.0;355.0;400.0;495.0;-29
-127;393.0;-80.0;-374.0;1011.0;-12.0;355.0;413.0;499.0;-29
-75;273.0;-288.0;-480.0;1023.0;-155.0;-8.0;503.0;680.0;-37
82;501.0;260.0;-89.0;994.0;-241.0;-73.0;428.0;277.0;-31
82;465.0;219.0;-81.0;999.0;-230.0;-99.0;422.0;480.0;-25
-76;262.0;-277.0;-442.0;1039.0;-108.0;-1.0;499.0;759.0;-39
116;317.0;225.0;-85.0;1033.0;-117.0;281.0;507.0;492.0;-24
116;390.0;328.0;-7.0;1027.0;-36.0;324.0;460.0;400.0;-24
-138;205.0;125.0;-439.0;1046.0;199.0;-274.0;275.0;257.0;-71
-138;207.0;83.0;-444.0;961.0;209.0;-275.0;396.0;226.0;-69
82;450.0;150.0;-80.0;970.0;-223.0;-110.0;399.0;376.0;-27
-138;207.0;-33.0;-443.0;1048.0;220.0;-278.0;399.0;246.0;-66
-137;203.0;-54.0;-438.0;1094.0;236.0;-290.0;298.0;237.0;-59
-137;199.0;-46.0;-441.0;1033.0;249.0;-298.0;349.0;256.0;-54
-179;287.0;49.0;-523.0;990.0;-402.0;299.0;631.0;414.0;-28
-179;281.0;123.0;-521.0;999.0;-402.0;293.0;550.0;348.0;-28
172;412.0;-87.0;-498.0;899.0;-385.0;313.0;530.0;575.0;-45
171;404.0;-56.0;-512.0;1043.0;-369.0;280.0;728.0;529.0;-45
82;433.0;98.0;-79.0;961.0;-218.0;-118.0;518.0;381.0;-27
