InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-162;-84;35;795;203;93;31;402;-31;35
-159;0;-44;799;310;67;-22;370;22;-44
-160;-4;15;801;307;63;6;378;-6;15
-159;0;-21;797;309;69;-14;371;14;-21
-159;10;-17;791;317;71;2;369;-2;-17
-159;1;2;797;311;66;-5;374;5;2
-159;-3;-12;800;308;65;-6;372;6;-12
-159;0;12;791;308;72;-48;376;48;12
-159;3;-9;796;314;63;3;380;-3;-9
-159;4;34;796;312;68;-7;371;7;34
-159;-2;14;793;306;72;-10;372;10;14
-159;2;8;797;311;65;-29;377;29;8
-159;5;6;795;312;69;-8;371;8;6
-159;-3;15;801;305;67;-25;371;25;15
-159;-7;12;797;299;71;36;372;-36;12
-159;0;-19;798;307;67;22;372;-22;-19
-159;0;-19;801;310;63;-5;374;5;-19
-159;-3;-4;800;306;66;17;372;-17;-4
-159;-11;53;805;315;64;-48;359;48;53
-159;3;-19;802;331;57;26;369;-26;-19
-159;1;-9;795;328;65;-35;369;35;-9
-159;-2;6;797;328;58;-35;379;35;6
-159;8;14;793;336;60;3;377;-3;14
-159;-3;28;797;322;65;-33;368;33;28
-159;-8;9;805;318;59;-28;370;28;9
-160;-4;-36;799;309;72;-44;358;44;-36
-160;-4;3;792;307;79;-31;357;31;3
-160;-2;-9;792;309;76;1;362;-1;-9
-160;4;28;801;322;56;30;379;-30;28
-160;7;66;802;325;54;35;381;-35;66
-160;-8;41;807;300;67;51;358;-51;41
-160;-13;-26;800;296;68;28;375;-28;-26
-160;7;5;794;314;68;3;372;-3;5
-160;-5;55;799;304;68;27;372;-27;55
-160;0;3;800;316;61;-10;375;10;3
-170;38;-49;820;262;62;-65;371;65;-49
-159;-9;-58;795;307;71;-2;370;2;-58
-159;-1;-37;797;318;66;-33;370;33;-37
-159;0;-58;795;322;66;-16;370;16;-58
-159;3;-25;796;328;60;-23;375;23;-25
-159;3;-1;794;328;66;-43;367;43;-1
-159;5;-22;786;330;73;-44;364;44;-22
-159;13;2;788;340;66;-43;369;43;2
-159;3;35;793;329;68;-25;364;25;35
-159;-6;-1;803;310;62;20;372;-20;-1
-159;-11;18;803;304;68;12;364;-12;18
-159;0;24;805;310;61;11;370;-11;24
-159;0;21;802;294;68;-4;373;4;21
-159;2;15;797;295;72;-14;374;14;15
-159;-2;31;800;292;69;4;375;-4;31
-159;-8;-8;799;285;72;-3;377;3;-8
-159;-3;-16;798;290;69;-26;380;26;-16
-159;5;-25;802;305;65;19;372;-19;-25
-159;7;-26;800;308;66;-18;372;18;-26
-159;2;-26;806;304;65;-6;363;6;-26
-159;0;-26;804;302;66;1;365;-1;-26
-159;0;-26;803;302;68;-9;365;9;-26
-159;-1;-27;805;303;67;37;364;-37;-27
-159;0;-19;801;304;68;18;367;-18;-19
-159;4;-34;800;311;67;5;366;-5;-34
-159;9;4;801;316;66;26;363;-26;4
-159;0;17;802;307;66;-15;365;15;17
-159;-3;19;805;306;63;18;370;-18;19
-159;-1;4;807;299;63;40;373;-40;4
-160;2;25;800;300;68;34;374;-34;25
-160;-1;25;797;297;70;17;378;-17;25
-159;2;30;799;299;68;22;375;-22;30
-159;4;-13;797;300;71;-13;373;13;-13
-159;3;-37;799;310;69;-35;363;35;-37
-159;-1;-26;805;307;66;-14;364;14;-26
-159;3;1;801;311;65;-8;369;8;1
-159;5;5;795;312;70;20;368;-20;5
-159;1;15;802;303;66;-22;368;22;15
-159;-1;24;803;302;66;11;371;-11;24
-159;1;3;803;313;64;-11;365;11;3
-159;-3;32;803;309;65;-13;365;13;32
-159;6;4;799;316;67;-9;364;9;4
-159;1;17;801;310;68;-2;362;2;17
-159;-3;23;802;306;69;3;360;-3;23
-159;0;-8;804;309;66;3;361;-3;-8
-159;-2;16;801;306;69;22;361;-22;16
-159;-7;-2;802;302;69;-13;362;13;-2
-159;-3;-2;803;305;66;7;367;-7;-2
-159;2;7;801;310;69;-4;360;4;7
-159;3;0;802;313;66;13;362;-13;0
-159;4;8;803;315;64;25;364;-25;8
-159;-4;1;802;308;65;23;369;-23;1
-159;-7;7;803;305;65;-2;370;2;7
-159;1;3;803;311;67;0;361;0;3
-159;3;-15;801;314;66;26;365;-26;-15
-159;6;-12;802;316;65;-7;363;7;-12
-159;2;7;803;313;65;-42;362;42;7
-159;-2;-4;801;309;66;-12;368;12;-4
-159;3;-28;804;312;65;7;361;-7;-28
-159;-3;-11;805;308;63;-10;368;10;-11
-159;1;4;797;309;73;27;361;-27;4
-159;2;6;800;310;68;-4;364;4;6
-159;-1;-5;797;308;69;-24;369;24;-5
-159;-4;3;796;304;71;0;369;0;3
-159;-10;21;802;297;68;8;371;-8;21
-159;-3;40;797;302;71;-1;369;1;40
-159;4;8;802;310;65;-25;367;25;8
-159;-2;-5;801;305;67;4;370;-4;-5
-159;-1;5;799;305;69;18;367;-18;5
-159;-6;-72;808;304;62;-20;366;20;-72
-159;4;-30;798;313;66;-19;369;19;-30
-159;10;-7;791;318;72;19;367;-19;-7
-170;39;6;817;256;68;-10;369;10;6
-170;33;-21;819;245;65;9;383;-9;-21
-167;-96;-53;817;248;67;-47;408;47;-53
-163;14;68;814;275;65;-66;369;66;68
-163;15;59;809;272;70;-5;369;5;59
-163;-9;61;813;248;74;22;369;-22;61
-163;35;15;790;289;83;-12;369;12;15
-154;-75;-55;775;311;81;-32;409;32;-55
-158;2;-47;804;267;71;-7;381;7;-47
-158;-5;-58;807;260;68;7;388;-7;-58
-158;2;-12;807;259;71;65;382;-65;-12
-158;6;2;807;259;70;45;383;-45;2
-158;-7;-22;813;245;65;-11;393;11;-22
-158;-7;-7;806;249;70;1;391;-1;-7
-153;-8;31;796;240;76;-18;404;18;31
-154;-1;49;790;248;80;-26;401;26;49
-154;13;40;809;253;73;-17;378;17;40
-154;13;39;809;252;73;-18;377;18;39
-153;14;43;813;257;68;-1;377;1;43
-153;6;24;813;253;67;-2;381;2;24
-154;-85;-17;801;244;79;37;395;-37;-17
-177;-106;15;789;247;112;-70;419;70;15
-180;-97;3;800;266;111;-54;400;54;3
-180;-97;31;804;309;106;-64;405;64;31
-177;-97;-16;814;238;97;-65;397;65;-16
-180;-97;28;800;303;112;-65;404;65;28
-151;-8;-31;796;263;73;-9;396;9;-31
-151;3;17;795;266;74;-29;395;29;17
-151;3;30;793;267;75;-4;394;4;30
-151;2;48;791;266;77;6;394;-6;48
-158;2;34;791;309;68;26;386;-26;34
-158;6;16;793;310;67;-14;381;14;16
-158;9;6;790;308;72;-21;375;21;6
-158;4;7;791;306;71;10;379;-10;7
-158;4;18;787;311;71;-41;381;41;18
-158;5;27;783;309;76;-75;382;75;27
-151;3;23;793;268;74;6;394;-6;23
-151;4;-12;797;271;70;1;396;-1;-12
-151;-8;-8;801;269;67;-4;395;4;-8
-151;-14;-55;804;258;68;-10;393;10;-55
-151;-8;-2;804;262;71;-18;386;18;-2
-167;-91;8;801;250;80;-19;389;19;8
-167;-102;-7;809;263;71;13;390;-13;-7
-167;-82;3;783;272;82;-4;408;4;3
-167;-107;10;810;243;80;-7;383;7;10
-167;-98;9;801;250;80;-26;393;26;9
-156;6;-21;814;249;65;23;386;-23;-21
-156;-1;-2;811;253;65;43;393;-43;-2
-175;3;4;811;277;68;5;365;-5;4
-156;-11;-22;795;275;75;35;386;-35;-22
-156;5;-13;806;262;72;56;379;-56;-13
-156;3;34;816;245;63;18;392;-18;34
-161;22;44;808;225;61;-10;429;10;44
-160;26;82;817;234;57;-41;421;41;82
-175;-20;-10;796;252;77;7;406;-7;-10
-175;-25;-21;794;257;78;-14;405;14;-21
-175;-20;-31;797;255;79;-20;397;20;-31
-175;-23;-31;792;252;85;-24;397;24;-31
-175;-19;9;798;243;79;33;405;-33;9
-175;-22;28;796;243;78;-11;410;11;28
-166;4;1;801;263;69;17;397;-17;1
-165;-14;49;809;250;60;-8;409;8;49
-165;-26;4;741;239;110;3;433;-3;4
-165;-8;-8;756;255;100;6;416;-6;-8
-165;-7;29;803;260;66;16;402;-16;29
-165;11;58;793;278;71;42;397;-42;58
-165;4;65;790;276;69;-20;407;20;65
-166;-96;51;747;338;70;-10;455;10;51
-166;3;-55;803;252;71;-33;393;33;-55
-166;-15;16;820;215;68;51;389;-51;16
-166;11;15;826;259;49;-17;394;17;15
-166;2;6;789;265;78;40;398;-40;6
-166;-2;-2;809;259;60;35;405;-35;-2
-166;-2;1;810;254;61;-22;402;22;1
-166;-4;2;808;248;64;26;401;-26;2
-166;-9;19;807;244;65;35;403;-35;19
-166;-10;-6;803;246;66;22;407;-22;-6
-166;7;-2;801;253;74;14;393;-14;-2
-166;7;35;799;257;72;10;395;-10;35
-166;-6;36;792;253;74;-22;406;22;36
-166;-8;23;797;245;73;-14;405;14;23
-166;-4;18;805;251;65;-12;404;12;18
-157;-72;73;805;284;67;-60;387;60;73
-156;-14;-26;793;309;72;-4;372;4;-26
-166;6;21;800;264;70;-22;396;22;21
-166;10;39;800;259;74;31;388;-31;39
-166;0;26;798;255;72;54;398;-54;26
-156;-48;-21;807;270;71;-37;375;37;-21
-156;-24;0;807;271;68;2;382;-2;0
-156;-4;-6;805;277;71;32;372;-32;-6
-156;-5;18;808;278;68;-22;371;22;18
-156;-7;12;812;276;65;30;373;-30;12
-156;0;-6;809;283;66;-54;372;54;-6
-156;2;-31;804;284;71;-13;371;13;-31
-156;0;44;801;281;72;23;375;-23;44
-156;-6;6;809;277;68;-32;374;32;6
-156;5;-30;804;285;68;-33;376;33;-30
-156;1;2;803;281;71;-1;373;1;2
-156;1;-24;802;282;72;15;371;-15;-24
-156;-3;19;806;279;68;39;376;-39;19
-156;-6;20;806;277;67;12;380;-12;20
-156;-3;-37;811;279;65;-14;373;14;-37
-156;-1;-33;805;280;71;6;370;-6;-33
-156;3;-44;804;278;69;16;379;-16;-44
-156;0;-14;805;272;74;8;369;-8;-14
-156;-2;0;809;271;71;-23;368;23;0
-156;8;-40;805;283;69;-32;372;32;-40
-156;1;-60;807;272;75;-44;364;44;-60
-166;-3;9;793;256;75;59;400;-59;9
-167;-41;57;811;306;71;-30;364;30;57
-167;-41;36;817;310;65;-37;370;37;36
-166;-1;36;801;256;68;34;401;-34;36
-166;9;27;800;266;69;-1;395;1;27
-166;1;-12;799;261;69;4;401;-4;-12
-166;0;24;803;256;67;-14;401;14;24
-166;40;50;791;280;87;-21;360;21;50
-166;15;10;795;270;77;-3;384;3;10
-166;-14;28;797;258;68;7;410;-7;28
-160;3;-48;777;323;68;15;400;-15;-48
-160;-3;-61;781;315;69;-40;397;40;-61
-160;-2;-4;784;317;64;-16;400;16;-4
-160;4;-47;779;322;65;5;404;-5;-47
-157;-3;24;804;248;93;-128;392;128;24
-157;-7;42;807;239;88;-86;410;86;42
-160;2;-66;778;317;68;-71;404;71;-66
-160;8;-23;775;321;70;-41;402;41;-23
-160;-7;-50;782;304;75;28;390;-28;-50
-160;-5;-24;783;306;72;29;392;-29;-24
-160;-1;-2;779;313;68;-4;406;4;-2
-160;-7;-22;781;306;68;-12;407;12;-22
-160;5;11;778;316;68;16;406;-16;11
-160;10;1;773;319;70;25;407;-25;1
-160;9;-7;772;318;70;7;410;-7;-7
-160;2;-1;781;311;66;-33;406;33;-1
-160;-5;-42;783;302;68;-23;404;23;-42
-160;1;-29;780;310;66;-6;409;6;-29
-160;4;-3;780;310;67;-14;407;14;-3
-160;2;16;782;289;73;33;404;-33;16
-160;14;-27;783;301;64;30;414;-30;-27
-160;-3;19;789;283;69;14;406;-14;19
-160;3;-5;787;284;66;19;415;-19;-5
-160;6;24;786;287;69;-33;408;33;24
-160;-2;-6;782;279;70;4;418;-4;-6
-160;9;5;789;288;69;-54;401;54;5
