InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK Quaternion3;Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ
693.0;229.0;510.0;-251.0;14.0;133;129.0;530.0;181.0
643.0;268.0;491.0;-378.0;32.0;-180;217.0;511.0;140.0
429.0;290.0;286.0;-188.0;153.0;-169;425.0;505.0;-92.0
526.0;208.0;182.0;-67.0;187.0;-200;271.0;429.0;-92.0
517.0;266.0;182.0;-152.0;154.0;86;308.0;320.0;-35.0
498.0;323.0;185.0;-275.0;51.0;190;253.0;524.0;103.0
493.0;247.0;187.0;-281.0;21.0;179;402.0;551.0;154.0
488.0;297.0;187.0;-277.0;-42.0;176;289.0;425.0;124.0
484.0;280.0;186.0;-290.0;-98.0;184;439.0;468.0;139.0
480.0;218.0;183.0;-344.0;-85.0;176;458.0;546.0;177.0
475.0;317.0;182.0;-355.0;-56.0;182;197.0;547.0;220.0
469.0;314.0;176.0;-400.0;-66.0;178;393.0;609.0;215.0
464.0;317.0;170.0;-392.0;13.0;179;354.0;557.0;278.0
460.0;317.0;168.0;-462.0;15.0;181;309.0;537.0;181.0
455.0;229.0;165.0;-497.0;0.0;176;297.0;527.0;183.0
559.0;235.0;193.0;-619.0;-297.0;-176;82.0;508.0;461.0
374.0;345.0;136.0;-387.0;-150.0;-172;343.0;402.0;279.0
364.0;263.0;137.0;-396.0;-124.0;-186;381.0;434.0;213.0
95.0;366.0;16.0;-203.0;-121.0;-111;600.0;350.0;122.0
426.0;316.0;292.0;-177.0;185.0;-171;430.0;532.0;-73.0
423.0;374.0;314.0;-141.0;35.0;-170;427.0;604.0;72.0
423.0;390.0;317.0;-198.0;34.0;-191;426.0;634.0;80.0
422.0;403.0;319.0;-216.0;28.0;-152;453.0;643.0;85.0
419.0;398.0;320.0;-255.0;-32.0;-218;459.0;608.0;102.0
120.0;122.0;242.0;-140.0;75.0;-176;424.0;436.0;22.0
417.0;381.0;320.0;-245.0;-30.0;-120;510.0;585.0;100.0
415.0;328.0;319.0;-281.0;-38.0;179;467.0;550.0;98.0
413.0;305.0;316.0;-265.0;-76.0;186;442.0;519.0;108.0
204.0;118.0;314.0;-308.0;52.0;-174;469.0;416.0;-16.0
218.0;117.0;325.0;-381.0;-72.0;-162;275.0;435.0;30.0
410.0;315.0;312.0;-278.0;-95.0;166;423.0;453.0;103.0
406.0;311.0;306.0;-248.0;-120.0;162;399.0;451.0;104.0
303.0;323.0;220.0;-247.0;-12.0;183;182.0;526.0;80.0
314.0;308.0;231.0;-279.0;-79.0;168;167.0;465.0;88.0
360.0;145.0;229.0;-331.0;-91.0;141;187.0;342.0;281.0
137.0;240.0;262.0;327.0;-50.0;-175;377.0;534.0;-68.0
191.0;185.0;266.0;-230.0;-23.0;-6;411.0;587.0;-16.0
696.0;406.0;360.0;-352.0;36.0;-178;92.0;500.0;132.0
703.0;404.0;367.0;-353.0;-1.0;-190;135.0;527.0;156.0
710.0;416.0;375.0;-338.0;-47.0;-156;165.0;503.0;186.0
717.0;421.0;382.0;-380.0;-97.0;-224;197.0;479.0;176.0
782.0;540.0;511.0;-334.0;-184.0;-167;531.0;364.0;336.0
542.0;188.0;262.0;-505.0;-7.0;157;314.0;371.0;183.0
537.0;176.0;238.0;-517.0;-62.0;163;306.0;287.0;168.0
532.0;181.0;213.0;-504.0;-68.0;166;325.0;217.0;157.0
401.0;304.0;301.0;-269.0;-140.0;201;436.0;470.0;72.0
418.0;286.0;250.0;-31.0;7.0;-174;595.0;654.0;3.0
260.0;331.0;204.0;-248.0;18.0;166;414.0;605.0;147.0
260.0;318.0;203.0;-251.0;-61.0;-137;463.0;657.0;57.0
260.0;320.0;202.0;-335.0;-124.0;-213;502.0;684.0;-88.0
235.0;329.0;148.0;-427.0;-115.0;-176;292.0;596.0;118.0
233.0;312.0;145.0;-410.0;-76.0;-176;315.0;605.0;110.0
141.0;199.0;16.0;-242.0;-8.0;-168;302.0;617.0;-60.0
133.0;191.0;20.0;-216.0;16.0;-168;309.0;591.0;-7.0
125.0;233.0;23.0;-219.0;-14.0;-168;271.0;534.0;11.0
122.0;282.0;25.0;-206.0;11.0;-168;231.0;494.0;34.0
121.0;285.0;25.0;-214.0;7.0;-168;199.0;473.0;5.0
116.0;283.0;23.0;-247.0;11.0;-168;186.0;435.0;-26.0
90.0;271.0;44.0;-469.0;-181.0;-179;163.0;454.0;112.0
-179.0;207.0;-271.0;-304.0;-117.0;-174;359.0;658.0;-101.0
427.0;291.0;264.0;-84.0;3.0;-173;629.0;545.0;32.0
435.0;180.0;277.0;-130.0;12.0;-176;605.0;575.0;40.0
441.0;171.0;290.0;-88.0;1.0;-171;605.0;563.0;24.0
385.0;347.0;448.0;-379.0;-47.0;172;182.0;512.0;188.0
365.0;124.0;223.0;-355.0;19.0;122;217.0;309.0;326.0
371.0;67.0;219.0;-367.0;-108.0;97;246.0;279.0;336.0
