InertialMeasurementUnit LUA gyroY;Accelerometer LUA_ accX;InertialMeasurementUnit BACK gyroY;Accelerometer LWR accX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit LLA accZ;Accelerometer LUA^ accX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;Accelerometer BACK accX
-1604.0;-63.0;254.0;-219.0;687.0;-1854.0;-255.0;335.0;-809.0;1544.0;48.0
-1284.0;-85.0;458.0;-271.0;532.0;-1179.0;-99.0;268.0;-394.0;1513.0;51.0
-917.0;-126.0;188.0;-314.0;352.0;-598.0;3.0;261.0;-134.0;1276.0;92.0
-355.0;-80.0;206.0;-272.0;216.0;-208.0;-19.0;361.0;-309.0;520.0;65.0
197.0;-67.0;195.0;-211.0;99.0;242.0;-146.0;350.0;?;-52.0;118.0
709.0;-266.0;169.0;-197.0;54.0;583.0;-65.0;342.0;?;-319.0;126.0
901.0;-429.0;200.0;?;-4.0;751.0;-18.0;271.0;?;-401.0;116.0
1086.0;-533.0;79.0;?;-30.0;941.0;-37.0;193.0;?;-487.0;?
1281.0;-528.0;?;?;110.0;1249.0;-99.0;290.0;?;-435.0;?
-71.0;764.0;?;?;0.0;-130.0;458.0;431.0;?;134.0;?
-67.0;711.0;?;?;21.0;-89.0;492.0;299.0;?;135.0;?
-174.0;628.0;?;?;-90.0;-198.0;519.0;486.0;?;220.0;?
-442.0;468.0;?;?;-256.0;-685.0;568.0;399.0;?;368.0;?
-796.0;283.0;-46.0;?;-351.0;-1218.0;739.0;322.0;?;552.0;?
-1451.0;277.0;-14.0;?;-404.0;-1598.0;879.0;?;?;670.0;?
-2131.0;183.0;77.0;?;-349.0;-2127.0;949.0;?;-881.0;765.0;?
-2665.0;116.0;-8.0;?;-343.0;-2695.0;951.0;?;-1519.0;907.0;?
-3173.0;80.0;-44.0;?;-294.0;-3156.0;?;?;-2177.0;1062.0;?
-3516.0;23.0;-107.0;-292.0;-261.0;-3397.0;?;?;-2750.0;?;?
-3548.0;-48.0;-188.0;-268.0;-176.0;-3704.0;?;?;-3016.0;?;?
-3714.0;-120.0;-214.0;-195.0;-212.0;-3867.0;?;?;-2774.0;?;?
-3683.0;-115.0;-221.0;-214.0;-248.0;-3776.0;?;?;-2655.0;?;121.0
-3795.0;-148.0;-267.0;-229.0;-270.0;-3775.0;?;?;-2536.0;?;82.0
-3895.0;-191.0;-349.0;-331.0;-124.0;-3649.0;?;?;-2431.0;?;?
-3784.0;-188.0;-305.0;-345.0;111.0;-3477.0;?;?;-2343.0;?;?
-3552.0;-166.0;-323.0;-378.0;396.0;-3170.0;-51.0;?;-2434.0;?;?
-3223.0;-139.0;-201.0;-298.0;797.0;-2896.0;-197.0;?;-2431.0;?;?
-3009.0;-48.0;-162.0;-387.0;1123.0;-2643.0;-153.0;?;-2237.0;?;?
-2872.0;-35.0;-250.0;-299.0;1363.0;-2430.0;-161.0;?;-2101.0;?;?
-2670.0;61.0;-260.0;-269.0;1557.0;-2064.0;-189.0;327.0;-1919.0;?;?
-2424.0;124.0;129.0;-287.0;1560.0;-1677.0;-417.0;359.0;-1496.0;?;?
-1638.0;158.0;128.0;-269.0;1122.0;-1277.0;-335.0;312.0;-425.0;?;16.0
