InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK Quaternion3;Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ
-683.0;70.0;-558.0;-77.0;497.0;-178;375.0;75.0;116.0
-672.0;-149.0;-562.0;-9.0;408.0;-178;380.0;?;219.0
-675.0;-92.0;-561.0;-41.0;345.0;-179;483.0;?;315.0
-672.0;10.0;-563.0;-105.0;307.0;-178;486.0;?;326.0
-670.0;70.0;-565.0;-147.0;257.0;-178;511.0;?;311.0
-668.0;148.0;?;-87.0;200.0;-178;446.0;?;279.0
-665.0;175.0;?;-63.0;239.0;-178;394.0;376.0;357.0
-665.0;117.0;?;121.0;327.0;-178;344.0;343.0;349.0
-668.0;54.0;?;232.0;444.0;-179;309.0;274.0;333.0
-658.0;-33.0;?;-520.0;243.0;-178;-14.0;434.0;498.0
-657.0;20.0;?;-622.0;68.0;-178;-7.0;431.0;491.0
-657.0;157.0;?;-932.0;-112.0;-178;3.0;539.0;534.0
-657.0;372.0;?;-869.0;-146.0;-178;39.0;672.0;655.0
-657.0;448.0;?;-784.0;-184.0;-178;38.0;846.0;744.0
-656.0;396.0;?;-695.0;-186.0;-179;-175.0;1079.0;799.0
-656.0;382.0;-593.0;-570.0;-108.0;-178;-45.0;1091.0;858.0
-657.0;322.0;-593.0;-413.0;26.0;-178;-75.0;974.0;792.0
-657.0;205.0;-593.0;-373.0;125.0;-178;-39.0;863.0;735.0
-656.0;69.0;-591.0;-232.0;222.0;-178;93.0;812.0;560.0
-657.0;50.0;?;-148.0;331.0;-178;222.0;690.0;477.0
-658.0;4.0;?;-164.0;368.0;-179;322.0;647.0;419.0
-656.0;-23.0;?;-128.0;370.0;-178;500.0;645.0;342.0
-656.0;-19.0;?;-209.0;375.0;-178;586.0;585.0;274.0
-657.0;?;-575.0;-164.0;367.0;-178;593.0;604.0;270.0
-658.0;?;-571.0;-94.0;352.0;?;606.0;651.0;220.0
-661.0;?;-567.0;138.0;335.0;-178;523.0;667.0;239.0
-662.0;?;-565.0;305.0;273.0;-179;519.0;566.0;207.0
-664.0;?;-565.0;443.0;245.0;-178;489.0;371.0;193.0
-666.0;144.0;-563.0;140.0;327.0;-178;525.0;77.0;119.0
-672.0;85.0;-562.0;-72.0;405.0;-178;549.0;-73.0;74.0
-674.0;66.0;-568.0;-160.0;554.0;-178;584.0;-122.0;89.0
-675.0;?;-572.0;-166.0;470.0;-178;407.0;137.0;105.0
?;?;-572.0;-152.0;418.0;-179;336.0;271.0;191.0
?;?;-572.0;-228.0;312.0;-178;308.0;350.0;314.0
?;?;-572.0;-293.0;104.0;-178;339.0;405.0;333.0
?;?;-573.0;-270.0;1.0;-178;357.0;385.0;377.0
?;?;-573.0;-291.0;42.0;-178;316.0;435.0;463.0
?;?;-573.0;-222.0;-33.0;-178;275.0;567.0;501.0
?;326.0;-571.0;-32.0;132.0;-178;226.0;579.0;506.0
?;224.0;?;85.0;301.0;-178;178.0;477.0;531.0
?;64.0;?;157.0;437.0;-178;227.0;381.0;429.0
?;89.0;?;-435.0;178.0;-178;11.0;468.0;578.0
?;79.0;?;-492.0;145.0;-178;-27.0;510.0;568.0
?;117.0;?;-616.0;99.0;?;-18.0;483.0;588.0
?;168.0;?;-839.0;-16.0;?;-33.0;524.0;562.0
-664.0;269.0;?;-879.0;?;?;-1.0;628.0;635.0
-664.0;415.0;?;-834.0;?;?;-14.0;800.0;728.0
-663.0;420.0;?;-764.0;?;?;-136.0;978.0;786.0
-661.0;421.0;?;-702.0;-205.0;?;-120.0;1024.0;808.0
-659.0;433.0;-605.0;-586.0;-110.0;?;-139.0;979.0;870.0
-658.0;367.0;-607.0;-542.0;8.0;?;-109.0;926.0;844.0
-658.0;267.0;-609.0;-420.0;82.0;?;-20.0;869.0;746.0
-658.0;164.0;-609.0;-320.0;162.0;?;43.0;844.0;658.0
-660.0;106.0;-606.0;-207.0;222.0;?;180.0;809.0;573.0
-662.0;50.0;-602.0;-100.0;289.0;?;287.0;763.0;479.0
-663.0;-7.0;-595.0;25.0;357.0;?;394.0;706.0;400.0
-664.0;-93.0;-588.0;37.0;383.0;?;480.0;651.0;274.0
-667.0;-96.0;-581.0;193.0;387.0;-178;561.0;542.0;217.0
-671.0;-84.0;-573.0;235.0;402.0;-178;596.0;416.0;146.0
-676.0;-85.0;-567.0;187.0;408.0;-178;623.0;331.0;68.0
-680.0;-85.0;-563.0;187.0;387.0;-178;657.0;222.0;57.0
-684.0;-44.0;-562.0;163.0;427.0;-178;613.0;136.0;22.0
-686.0;8.0;-565.0;-47.0;473.0;-178;568.0;96.0;66.0
-686.0;-43.0;-569.0;-144.0;439.0;-178;581.0;127.0;133.0
-686.0;15.0;-569.0;-166.0;343.0;-178;552.0;202.0;206.0
-683.0;19.0;-569.0;-192.0;265.0;-178;495.0;417.0;291.0
-682.0;56.0;-569.0;-199.0;141.0;-178;482.0;501.0;382.0
-680.0;198.0;-569.0;-187.0;78.0;-178;459.0;537.0;406.0
-679.0;289.0;-570.0;-15.0;73.0;-178;409.0;501.0;454.0
-677.0;261.0;-570.0;-39.0;161.0;-178;346.0;489.0;448.0
-678.0;192.0;-570.0;75.0;306.0;-178;290.0;384.0;445.0
-679.0;77.0;-570.0;131.0;434.0;-178;305.0;274.0;361.0
-671.0;192.0;-577.0;-500.0;25.0;-178;118.0;408.0;481.0
-671.0;243.0;-579.0;-378.0;-16.0;-178;76.0;504.0;466.0
-670.0;221.0;-581.0;-280.0;-55.0;-178;53.0;659.0;472.0
-667.0;202.0;-585.0;-292.0;12.0;-179;-15.0;612.0;420.0
-665.0;206.0;-588.0;-244.0;110.0;-178;28.0;532.0;396.0
-664.0;187.0;-589.0;-74.0;277.0;-178;11.0;451.0;348.0
?;94.0;-586.0;195.0;387.0;-178;51.0;364.0;330.0
?;-15.0;-584.0;284.0;494.0;-178;267.0;437.0;231.0
?;-3.0;-582.0;284.0;397.0;-179;441.0;348.0;98.0
?;-22.0;-579.0;236.0;477.0;-179;731.0;201.0;2.0
?;11.0;-578.0;30.0;415.0;-178;1140.0;387.0;-155.0
?;-99.0;-577.0;-8.0;276.0;-181;1275.0;642.0;-278.0
?;5.0;-573.0;-5.0;169.0;-175;1178.0;586.0;-241.0
?;111.0;-569.0;-32.0;104.0;-183;1095.0;675.0;-99.0
?;88.0;-564.0;-50.0;45.0;-176;1113.0;789.0;-59.0
?;145.0;-560.0;-137.0;0.0;-176;1026.0;715.0;-103.0
?;212.0;-555.0;-163.0;-2.0;-190;937.0;644.0;-24.0
?;236.0;-550.0;-190.0;-26.0;-156;943.0;708.0;-91.0
-689.0;213.0;-545.0;-257.0;-10.0;-218;858.0;724.0;52.0
?;241.0;-539.0;-284.0;-32.0;-104;767.0;664.0;60.0
-693.0;241.0;-534.0;-308.0;-50.0;192;721.0;698.0;91.0
-695.0;230.0;-530.0;-389.0;-152.0;188;653.0;728.0;80.0
-697.0;267.0;-530.0;-420.0;-209.0;152;571.0;688.0;148.0
-698.0;332.0;-531.0;-450.0;-228.0;204;478.0;694.0;188.0
-699.0;326.0;-533.0;-379.0;-230.0;148;387.0;670.0;182.0
-699.0;314.0;-536.0;-348.0;-195.0;208;345.0;658.0;205.0
-700.0;290.0;-539.0;-325.0;-147.0;162;302.0;611.0;169.0
-700.0;261.0;-543.0;-311.0;-114.0;-144;257.0;548.0;170.0
-701.0;246.0;-547.0;-274.0;-101.0;?;231.0;514.0;141.0
-701.0;241.0;-551.0;-277.0;-60.0;?;240.0;?;117.0
-701.0;242.0;-555.0;-281.0;-81.0;?;228.0;?;108.0
-701.0;268.0;-557.0;-328.0;-122.0;?;235.0;?;97.0
-700.0;269.0;-560.0;-316.0;-132.0;-180;?;?;108.0
-699.0;267.0;-560.0;-302.0;-131.0;-181;?;?;128.0
-699.0;255.0;-560.0;-300.0;-106.0;?;?;?;130.0
-699.0;243.0;-559.0;-349.0;-71.0;?;?;?;140.0
?;230.0;-557.0;-351.0;-84.0;?;?;?;107.0
?;222.0;-554.0;-372.0;-128.0;?;249.0;?;79.0
?;226.0;-551.0;-363.0;-156.0;?;260.0;520.0;69.0
?;249.0;-548.0;-391.0;-144.0;?;255.0;522.0;106.0
?;263.0;-547.0;-328.0;-144.0;?;240.0;537.0;138.0
?;242.0;-546.0;-306.0;-130.0;?;264.0;564.0;?
?;239.0;-544.0;-336.0;-120.0;?;278.0;557.0;?
?;244.0;-543.0;-405.0;-135.0;?;283.0;535.0;?
?;248.0;-542.0;-369.0;-159.0;?;291.0;553.0;?
?;259.0;-543.0;-347.0;-137.0;?;285.0;560.0;?
?;250.0;-543.0;-325.0;-114.0;?;253.0;543.0;?
?;225.0;-545.0;-261.0;-86.0;?;249.0;537.0;?
?;228.0;-546.0;-338.0;-57.0;?;265.0;531.0;?
?;217.0;-547.0;-246.0;-58.0;-179;260.0;520.0;?
?;210.0;-547.0;-316.0;-63.0;-179;255.0;519.0;?
-701.0;211.0;-548.0;-350.0;-51.0;-179;276.0;498.0;110.0
-698.0;220.0;-547.0;-348.0;-95.0;-179;284.0;471.0;79.0
-696.0;211.0;-547.0;-388.0;-87.0;-178;267.0;515.0;59.0
-694.0;184.0;-545.0;-314.0;-167.0;-177;253.0;520.0;75.0
-693.0;184.0;-543.0;-391.0;-187.0;-178;227.0;520.0;74.0
-693.0;258.0;-541.0;-342.0;230.0;-178;167.0;465.0;105.0
-690.0;54.0;-539.0;-365.0;?;-178;258.0;495.0;130.0
-681.0;68.0;-543.0;-331.0;?;-178;342.0;?;-160.0
-678.0;196.0;-547.0;-246.0;-100.0;-178;237.0;?;3.0
-675.0;177.0;-551.0;-223.0;-77.0;-178;130.0;?;116.0
-675.0;104.0;-553.0;-273.0;-14.0;-178;210.0;?;2.0
-678.0;124.0;-554.0;-222.0;57.0;-178;205.0;?;27.0
-682.0;122.0;-552.0;-275.0;42.0;-178;220.0;?;-18.0
-685.0;145.0;-553.0;-287.0;-58.0;-178;266.0;?;-36.0
-685.0;222.0;-555.0;-349.0;-72.0;-178;278.0;?;-17.0
-684.0;248.0;-557.0;-375.0;-36.0;-178;279.0;?;56.0
-683.0;170.0;-558.0;-398.0;-26.0;-178;251.0;469.0;100.0
-684.0;126.0;-558.0;-322.0;-20.0;-178;219.0;504.0;68.0
-685.0;150.0;-559.0;-383.0;-30.0;-178;?;499.0;60.0
-686.0;172.0;-559.0;-413.0;-49.0;-178;?;528.0;48.0
-686.0;175.0;-559.0;-362.0;-66.0;-178;?;562.0;87.0
-687.0;181.0;-560.0;-352.0;-51.0;?;?;577.0;116.0
-689.0;170.0;-560.0;-329.0;-37.0;?;?;573.0;102.0
-691.0;157.0;-559.0;-345.0;-16.0;?;?;566.0;101.0
?;151.0;-559.0;?;-5.0;?;?;549.0;?
?;142.0;-558.0;?;-14.0;?;?;529.0;?
?;141.0;-557.0;?;11.0;?;?;535.0;?
?;126.0;-555.0;?;-33.0;?;?;535.0;?
?;143.0;-554.0;?;-29.0;?;?;526.0;?
?;155.0;-553.0;?;-38.0;?;?;501.0;79.0
?;148.0;-551.0;?;-8.0;?;?;491.0;76.0
?;129.0;-549.0;?;3.0;?;?;482.0;50.0
?;135.0;-546.0;?;14.0;?;?;478.0;?
?;145.0;-543.0;?;-40.0;?;261.0;473.0;?
?;170.0;-540.0;-382.0;-64.0;?;273.0;487.0;63.0
?;195.0;-537.0;-412.0;-111.0;?;275.0;503.0;80.0
-721.0;210.0;-536.0;-413.0;-124.0;?;255.0;511.0;85.0
-720.0;212.0;-534.0;-431.0;-143.0;?;218.0;516.0;102.0
-719.0;212.0;-533.0;-392.0;-117.0;?;196.0;536.0;121.0
-718.0;210.0;-533.0;-360.0;-79.0;?;170.0;545.0;119.0
-717.0;203.0;-532.0;-345.0;-58.0;-178;180.0;541.0;97.0
-716.0;186.0;-531.0;-319.0;-41.0;-178;212.0;531.0;92.0
-715.0;179.0;-531.0;-352.0;-77.0;-177;226.0;510.0;67.0
-714.0;183.0;-531.0;-352.0;-110.0;-178;206.0;490.0;44.0
-713.0;195.0;-531.0;-356.0;-114.0;-176;213.0;497.0;52.0
-713.0;213.0;-531.0;-380.0;-94.0;-178;244.0;500.0;86.0
-711.0;212.0;-531.0;-342.0;-105.0;-177;232.0;491.0;84.0
-709.0;208.0;-532.0;-306.0;-112.0;-174;238.0;483.0;60.0
-707.0;215.0;-534.0;-351.0;-88.0;-182;226.0;484.0;90.0
-705.0;214.0;-536.0;-326.0;-63.0;-168;221.0;484.0;70.0
-703.0;199.0;-537.0;-351.0;-57.0;-187;223.0;479.0;81.0
-700.0;188.0;-538.0;-334.0;-85.0;-170;225.0;486.0;65.0
-698.0;203.0;-539.0;-362.0;-44.0;-171;234.0;483.0;51.0
-695.0;194.0;-540.0;-309.0;-84.0;-218;230.0;496.0;80.0
-692.0;176.0;-540.0;-337.0;-45.0;38;225.0;?;72.0
-690.0;171.0;-539.0;?;-217.0;225;232.0;503.0;93.0
-688.0;185.0;-538.0;?;253.0;159;202.0;478.0;65.0
-686.0;148.0;-537.0;?;31.0;183;192.0;391.0;144.0
-687.0;-19.0;-538.0;?;-181.0;183;332.0;623.0;-145.0
-687.0;150.0;-532.0;?;8.0;173;261.0;483.0;-53.0
-687.0;188.0;-528.0;?;39.0;185;180.0;334.0;52.0
-686.0;53.0;-524.0;?;130.0;176;268.0;364.0;17.0
-687.0;-13.0;-520.0;?;156.0;181;240.0;356.0;?
-689.0;-34.0;-516.0;?;-18.0;179;287.0;352.0;?
-689.0;74.0;-511.0;?;-152.0;179;291.0;372.0;?
-688.0;228.0;-507.0;?;-163.0;179;282.0;360.0;?
-685.0;264.0;-505.0;?;?;182;296.0;362.0;?
-683.0;191.0;-506.0;?;?;176;287.0;405.0;?
-681.0;138.0;-506.0;?;?;183;228.0;409.0;?
-680.0;123.0;-506.0;?;?;178;169.0;399.0;?
-679.0;133.0;-508.0;?;?;175;180.0;?;?
-678.0;132.0;-509.0;?;?;192;206.0;?;?
-677.0;148.0;-510.0;?;?;155;229.0;?;?
-676.0;151.0;-512.0;?;?;216;215.0;?;?
-675.0;159.0;-512.0;?;?;122;214.0;?;?
-675.0;174.0;-513.0;?;-53.0;-182;205.0;?;?
-674.0;?;-514.0;?;-68.0;-197;221.0;?;?
-674.0;?;-514.0;?;-39.0;-161;232.0;?;?
-675.0;?;-514.0;?;-67.0;-194;240.0;?;?
-676.0;?;-515.0;?;-106.0;-171;239.0;?;?
-678.0;?;-516.0;?;-97.0;-182;229.0;?;?
-679.0;?;-516.0;?;-53.0;?;223.0;?;?
-682.0;?;-518.0;?;-60.0;?;251.0;?;?
-685.0;168.0;?;?;-71.0;?;257.0;?;?
-689.0;170.0;?;?;-88.0;?;233.0;?;?
-692.0;184.0;?;?;-85.0;?;235.0;495.0;?
-695.0;198.0;?;-371.0;-106.0;?;231.0;496.0;?
-699.0;209.0;?;-399.0;-114.0;?;227.0;490.0;?
-701.0;224.0;?;-364.0;-112.0;?;218.0;494.0;52.0
-705.0;227.0;?;-328.0;-120.0;?;204.0;489.0;105.0
-708.0;219.0;?;-350.0;-119.0;?;?;479.0;110.0
-711.0;217.0;?;-390.0;-88.0;-179;?;473.0;92.0
-714.0;213.0;?;-410.0;-101.0;-179;?;459.0;75.0
-718.0;226.0;?;-402.0;-122.0;-179;?;471.0;61.0
-720.0;227.0;?;-375.0;-132.0;-178;?;?;59.0
-722.0;240.0;?;-374.0;-132.0;-178;?;?;88.0
-724.0;249.0;?;-371.0;-130.0;-178;?;?;?
-724.0;247.0;-528.0;-400.0;-109.0;-178;?;?;?
-725.0;?;-529.0;-393.0;-120.0;-178;?;?;?
-725.0;?;-530.0;-352.0;-130.0;-178;?;?;?
-725.0;?;-531.0;-328.0;-143.0;-178;?;?;?
-726.0;?;-532.0;-358.0;-156.0;-178;203.0;?;?
-727.0;?;-532.0;-311.0;-105.0;-177;194.0;508.0;?
-727.0;?;-533.0;-310.0;-69.0;-177;213.0;?;?
-727.0;?;-534.0;-313.0;-52.0;-177;227.0;?;?
-724.0;?;-534.0;-307.0;-55.0;-177;230.0;?;?
-721.0;198.0;-533.0;-308.0;-76.0;-178;252.0;?;?
-718.0;178.0;-532.0;-400.0;-74.0;-178;261.0;?;?
-715.0;207.0;-530.0;-392.0;155.0;-178;213.0;?;?
-710.0;21.0;-533.0;-279.0;-195.0;-178;298.0;?;?
-707.0;70.0;-531.0;-282.0;-95.0;-178;289.0;?;-185.0
-708.0;141.0;-529.0;-175.0;-42.0;-178;176.0;?;25.0
-708.0;82.0;-529.0;-155.0;-25.0;-178;221.0;?;-10.0
-711.0;49.0;-527.0;-204.0;81.0;-178;216.0;397.0;?
-714.0;41.0;-524.0;-244.0;114.0;-178;212.0;309.0;?
-718.0;22.0;-523.0;-225.0;1.0;-178;259.0;302.0;-110.0
-722.0;106.0;-522.0;-242.0;-75.0;-178;300.0;338.0;-134.0
-725.0;214.0;-519.0;-308.0;-118.0;-178;275.0;321.0;-56.0
-726.0;233.0;-518.0;-316.0;?;-178;?;332.0;-26.0
-725.0;183.0;-519.0;-353.0;?;-178;?;382.0;-14.0
-725.0;139.0;-520.0;-299.0;?;-178;?;399.0;-10.0
-724.0;?;-521.0;-248.0;?;-178;?;400.0;-6.0
-724.0;?;-522.0;-303.0;?;-178;?;423.0;11.0
-724.0;?;-523.0;-306.0;?;-178;?;428.0;32.0
-722.0;?;-524.0;-349.0;?;-178;?;437.0;13.0
-721.0;?;-526.0;-351.0;?;-178;?;461.0;25.0
-719.0;?;-527.0;-394.0;?;-178;?;479.0;40.0
-718.0;?;-528.0;-343.0;-29.0;-178;?;497.0;49.0
-716.0;?;-529.0;-350.0;-70.0;-178;?;519.0;70.0
-715.0;?;-529.0;-318.0;-60.0;-178;?;525.0;69.0
-714.0;?;-529.0;-380.0;-50.0;-178;?;522.0;73.0
-714.0;?;-528.0;-399.0;-55.0;-178;?;533.0;75.0
-715.0;?;-528.0;-357.0;-68.0;-178;275.0;547.0;?
-715.0;173.0;-527.0;?;?;-178;271.0;551.0;?
-716.0;196.0;-528.0;?;?;-178;253.0;535.0;?
-717.0;182.0;-527.0;?;?;?;234.0;521.0;?
?;171.0;-528.0;?;?;?;234.0;511.0;?
?;182.0;-529.0;?;?;?;235.0;506.0;?
?;193.0;-531.0;?;?;-176;220.0;503.0;?
?;193.0;-533.0;?;?;?;202.0;510.0;91.0
?;186.0;-534.0;?;?;?;194.0;500.0;82.0
?;196.0;-535.0;?;?;?;195.0;484.0;80.0
?;208.0;-534.0;?;?;?;200.0;480.0;72.0
?;217.0;-533.0;?;?;?;206.0;479.0;60.0
?;230.0;-533.0;?;?;?;175.0;474.0;80.0
?;235.0;-534.0;?;?;?;172.0;471.0;80.0
?;224.0;-536.0;?;-109.0;?;159.0;472.0;79.0
-740.0;227.0;-538.0;-374.0;-102.0;?;164.0;473.0;72.0
-741.0;236.0;-538.0;-374.0;-88.0;?;195.0;484.0;94.0
-742.0;236.0;-538.0;-405.0;-71.0;?;212.0;480.0;84.0
-742.0;238.0;-538.0;-386.0;-110.0;?;221.0;501.0;84.0
-742.0;231.0;-538.0;-377.0;-134.0;?;208.0;516.0;87.0
-741.0;230.0;-537.0;-312.0;-139.0;?;198.0;526.0;80.0
-741.0;244.0;-538.0;-368.0;-126.0;-177;195.0;524.0;109.0
-740.0;269.0;-538.0;-424.0;-103.0;-177;238.0;505.0;123.0
-739.0;238.0;-538.0;-386.0;-104.0;-176;251.0;517.0;103.0
-737.0;204.0;-539.0;-365.0;-119.0;-176;222.0;502.0;63.0
-735.0;197.0;-541.0;-308.0;-132.0;-176;185.0;504.0;82.0
?;210.0;-543.0;-323.0;-96.0;-176;197.0;508.0;94.0
?;223.0;-545.0;-346.0;-95.0;-176;212.0;486.0;61.0
?;228.0;-547.0;-316.0;-49.0;-176;216.0;469.0;70.0
?;200.0;-548.0;-340.0;-128.0;-177;216.0;471.0;103.0
?;176.0;-548.0;-391.0;5.0;-180;206.0;470.0;77.0
?;198.0;-547.0;-356.0;209.0;-180;160.0;408.0;69.0
?;-35.0;-551.0;-255.0;-232.0;-179;272.0;507.0;-23.0
?;86.0;-550.0;-253.0;44.0;-180;264.0;544.0;-183.0
?;73.0;-551.0;-157.0;20.0;-179;148.0;385.0;20.0
?;25.0;-553.0;-235.0;93.0;-179;224.0;368.0;-103.0
?;-14.0;-554.0;-211.0;118.0;-179;210.0;361.0;-74.0
?;-13.0;-555.0;-230.0;66.0;-179;245.0;326.0;-118.0
?;26.0;-558.0;-197.0;-75.0;-179;298.0;340.0;-136.0
-728.0;147.0;-561.0;-232.0;-96.0;-179;311.0;356.0;-87.0
-728.0;238.0;-562.0;-339.0;?;-179;299.0;344.0;-12.0
-728.0;203.0;-564.0;-376.0;?;-179;338.0;375.0;20.0
-726.0;116.0;-567.0;-307.0;?;-179;303.0;414.0;-14.0
-722.0;84.0;-569.0;-298.0;?;-179;231.0;447.0;-22.0
-720.0;92.0;-570.0;-369.0;?;-180;216.0;458.0;10.0
-717.0;109.0;-571.0;-365.0;?;?;254.0;471.0;0.0
-716.0;130.0;-571.0;-363.0;?;?;257.0;487.0;50.0
-713.0;189.0;-572.0;?;?;?;259.0;514.0;96.0
-712.0;134.0;-572.0;?;?;?;244.0;506.0;55.0
-711.0;145.0;-572.0;?;?;?;219.0;495.0;62.0
-711.0;128.0;-573.0;?;?;?;204.0;496.0;?
-711.0;111.0;-574.0;?;?;?;240.0;?;?
-711.0;113.0;-575.0;-366.0;?;?;251.0;?;?
-712.0;122.0;-575.0;-339.0;?;?;241.0;?;?
-712.0;?;-576.0;-344.0;?;?;255.0;?;?
-712.0;?;-576.0;-360.0;-31.0;?;261.0;?;?
-712.0;?;-576.0;-394.0;-34.0;?;274.0;503.0;?
-713.0;?;-575.0;-372.0;-2.0;?;271.0;515.0;?
-714.0;?;-573.0;-390.0;-17.0;190;267.0;516.0;?
-716.0;?;-571.0;-403.0;-38.0;168;261.0;531.0;71.0
-718.0;?;-568.0;-397.0;-47.0;177;?;532.0;60.0
-721.0;?;-565.0;-326.0;-50.0;177;?;531.0;40.0
-724.0;?;-561.0;-392.0;-77.0;173;?;522.0;63.0
-728.0;?;-558.0;-371.0;-94.0;178;?;513.0;81.0
-732.0;?;-555.0;-372.0;-124.0;175;?;499.0;91.0
-736.0;?;-552.0;-352.0;-92.0;176;?;481.0;72.0
-739.0;?;-550.0;-396.0;-87.0;176;?;482.0;81.0
-743.0;?;-547.0;-409.0;-103.0;?;?;483.0;78.0
-746.0;?;-545.0;-389.0;-116.0;?;?;455.0;63.0
-750.0;234.0;-542.0;-312.0;-107.0;?;?;441.0;98.0
-754.0;231.0;-537.0;-385.0;-97.0;?;?;462.0;121.0
-757.0;221.0;-535.0;-423.0;-87.0;?;?;473.0;100.0
-758.0;197.0;-532.0;-394.0;-97.0;?;?;458.0;75.0
-760.0;191.0;-531.0;-368.0;-138.0;?;?;489.0;44.0
-760.0;209.0;-531.0;-392.0;-133.0;?;?;497.0;63.0
?;227.0;-531.0;-367.0;-123.0;?;190.0;490.0;90.0
?;218.0;-531.0;-332.0;-103.0;?;201.0;493.0;70.0
?;219.0;-532.0;-335.0;-83.0;?;192.0;487.0;70.0
?;206.0;-532.0;-324.0;-64.0;?;194.0;474.0;72.0
?;196.0;-533.0;-376.0;-72.0;?;212.0;478.0;78.0
?;199.0;-534.0;-405.0;-100.0;?;216.0;475.0;70.0
?;211.0;-535.0;-392.0;?;153;209.0;481.0;?
?;220.0;-535.0;-366.0;?;213;202.0;484.0;?
?;208.0;-536.0;-377.0;?;130;189.0;479.0;?
?;180.0;-536.0;-333.0;?;-175;177.0;472.0;?
?;187.0;-536.0;-354.0;?;-197;178.0;463.0;?
?;211.0;-534.0;-378.0;?;-157;200.0;448.0;?
?;216.0;-533.0;-432.0;-212.0;-191;224.0;448.0;?
?;186.0;-532.0;-405.0;74.0;-169;193.0;?;?
?;169.0;-537.0;-292.0;15.0;-179;140.0;?;?
?;-10.0;-541.0;-303.0;-57.0;-177;245.0;?;?
?;51.0;-544.0;-242.0;-18.0;-175;215.0;?;?
?;48.0;-548.0;-180.0;2.0;-179;194.0;?;?
?;41.0;-552.0;-130.0;63.0;-176;217.0;?;?
?;33.0;-554.0;-108.0;?;-177;210.0;?;?
?;30.0;-555.0;-152.0;?;-177;257.0;?;?
?;48.0;-555.0;-228.0;?;-177;324.0;?;?
?;105.0;-554.0;-340.0;?;-177;368.0;?;-105.0
?;158.0;-553.0;-425.0;?;-177;346.0;?;-64.0
?;171.0;-553.0;-319.0;?;-177;309.0;?;-7.0
?;151.0;-554.0;-306.0;?;-177;262.0;455.0;9.0
?;132.0;-555.0;-361.0;?;-177;211.0;467.0;27.0
?;131.0;-556.0;-357.0;0.0;-177;219.0;472.0;36.0
?;131.0;-559.0;-376.0;34.0;?;235.0;498.0;44.0
?;117.0;-559.0;-350.0;-2.0;?;253.0;508.0;75.0
?;168.0;-554.0;-412.0;-18.0;?;266.0;510.0;50.0
?;156.0;?;-382.0;-43.0;?;258.0;530.0;76.0
-686.0;158.0;?;-361.0;-74.0;?;243.0;540.0;71.0
-682.0;159.0;?;-438.0;-75.0;?;230.0;563.0;80.0
?;155.0;?;-403.0;-105.0;?;209.0;560.0;110.0
-673.0;167.0;?;-401.0;-90.0;?;217.0;544.0;86.0
-670.0;154.0;?;-328.0;-74.0;?;203.0;529.0;73.0
-667.0;155.0;-545.0;-292.0;-61.0;?;215.0;508.0;75.0
-665.0;158.0;-546.0;-286.0;-44.0;?;208.0;476.0;62.0
-663.0;156.0;-547.0;-304.0;-47.0;?;219.0;459.0;62.0
-661.0;164.0;-548.0;-257.0;-9.0;?;229.0;440.0;19.0
-658.0;160.0;-548.0;-279.0;-40.0;?;239.0;425.0;48.0
-656.0;154.0;-547.0;-340.0;-68.0;?;247.0;441.0;27.0
-654.0;163.0;-546.0;-313.0;-75.0;?;221.0;441.0;19.0
