InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LUA magneticX;Accelerometer LH accZ;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accY;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;Accelerometer LWR accZ;InertialMeasurementUnit R-SHOE EuY
-169;398.0;-71.0;-571.0;1219.0;-114.0;338.0;139.0;405.0;-44
-160;622.0;5.0;-584.0;1544.0;-755.0;602.0;249.0;444.0;-31
-127;393.0;-38.0;-375.0;1011.0;-12.0;355.0;400.0;495.0;-29
-127;393.0;-80.0;-374.0;1011.0;-12.0;355.0;413.0;499.0;-29
-17;560.0;-607.0;-749.0;1003.0;35.0;-116.0;742.0;756.0;-27
82;501.0;260.0;-89.0;994.0;-241.0;-73.0;428.0;277.0;-31
82;465.0;219.0;-81.0;999.0;-230.0;-99.0;422.0;480.0;-25
-76;262.0;-277.0;-442.0;1039.0;-108.0;-1.0;499.0;759.0;-39
116;317.0;225.0;-85.0;1033.0;-117.0;281.0;507.0;492.0;-24
43;610.0;393.0;259.0;996.0;99.0;350.0;553.0;228.0;-21
-56;52.0;-93.0;-302.0;829.0;336.0;-485.0;128.0;276.0;-38
-80;465.0;185.0;-583.0;943.0;515.0;-267.0;163.0;235.0;-10
82;450.0;150.0;-80.0;970.0;-223.0;-110.0;399.0;376.0;-27
-138;207.0;-33.0;-443.0;1048.0;220.0;-278.0;399.0;246.0;-66
-137;203.0;-54.0;-438.0;1094.0;236.0;-290.0;298.0;237.0;-59
-137;199.0;-46.0;-441.0;1033.0;249.0;-298.0;349.0;256.0;-54
-179;275.0;214.0;-519.0;971.0;-401.0;290.0;948.0;214.0;-28
-179;281.0;123.0;-521.0;999.0;-402.0;293.0;550.0;348.0;-28
170;422.0;-154.0;-485.0;951.0;-398.0;347.0;611.0;701.0;-44
180;421.0;36.0;-832.0;931.0;-311.0;319.0;899.0;503.0;-24
82;433.0;98.0;-79.0;961.0;-218.0;-118.0;518.0;381.0;-27
-219;353.0;271.0;-574.0;572.0;-174.0;120.0;768.0;399.0;-47
11;436.0;35.0;54.0;1011.0;-150.0;-149.0;82.0;208.0;-68
35;532.0;61.0;-300.0;1021.0;-512.0;84.0;501.0;504.0;-28
-109;452.0;300.0;-377.0;1079.0;-522.0;-46.0;205.0;235.0;-40
-124;440.0;224.0;-380.0;931.0;-528.0;-56.0;113.0;260.0;-40
152;533.0;51.0;-344.0;933.0;-297.0;451.0;207.0;484.0;-20
152;535.0;-86.0;-306.0;975.0;-264.0;443.0;238.0;499.0;-20
-177;379.0;123.0;-516.0;945.0;-190.0;421.0;330.0;385.0;-19
-177;380.0;49.0;-520.0;949.0;-193.0;420.0;367.0;413.0;-19
-177;384.0;90.0;-531.0;951.0;-204.0;430.0;367.0;392.0;-19
-177;384.0;92.0;-533.0;941.0;-208.0;433.0;344.0;385.0;-19
-174;542.0;123.0;-266.0;991.0;-218.0;463.0;259.0;330.0;-19
-174;556.0;76.0;-247.0;956.0;-216.0;463.0;267.0;330.0;-19
-152;430.0;121.0;-376.0;948.0;-529.0;-63.0;73.0;246.0;-40
62;524.0;198.0;-29.0;1031.0;-111.0;-411.0;234.0;284.0;-25
63;523.0;211.0;-25.0;1031.0;-109.0;-412.0;249.0;307.0;-25
65;525.0;240.0;-19.0;1040.0;-111.0;-407.0;262.0;288.0;-25
64;529.0;253.0;-5.0;1017.0;-120.0;-398.0;272.0;294.0;-25
61;530.0;254.0;1.0;1028.0;-133.0;-390.0;264.0;325.0;-25
53;529.0;249.0;1.0;1046.0;-145.0;-383.0;293.0;328.0;-25
112;569.0;236.0;66.0;1038.0;-83.0;-493.0;463.0;449.0;-27
