InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticY;Accelerometer RWR accZ;InertialMeasurementUnit RUA magneticY
238.0;292.0;752.0;-579.0;529.0;540.0;-640.0
229.0;298.0;755.0;-604.0;550.0;538.0;-660.0
220.0;301.0;741.0;-622.0;575.0;533.0;-675.0
217.0;308.0;791.0;-625.0;585.0;471.0;-682.0
213.0;309.0;772.0;-626.0;587.0;427.0;-681.0
210.0;308.0;817.0;-628.0;580.0;344.0;-676.0
210.0;311.0;759.0;-622.0;567.0;335.0;-672.0
211.0;312.0;734.0;-617.0;552.0;351.0;-670.0
211.0;316.0;702.0;-601.0;524.0;496.0;-661.0
431.0;372.0;607.0;-151.0;-196.0;406.0;-472.0
414.0;371.0;591.0;-148.0;-196.0;513.0;-480.0
415.0;370.0;596.0;-150.0;-192.0;536.0;-477.0
425.0;369.0;663.0;-146.0;-188.0;590.0;-462.0
426.0;368.0;777.0;-140.0;?;497.0;-455.0
?;366.0;754.0;-132.0;?;472.0;-446.0
?;365.0;732.0;-136.0;?;511.0;-452.0
?;371.0;789.0;-151.0;?;492.0;-458.0
?;371.0;747.0;-170.0;?;543.0;-467.0
?;367.0;738.0;-205.0;?;664.0;-486.0
?;362.0;781.0;-247.0;?;?;-509.0
?;359.0;865.0;-306.0;?;?;-536.0
?;351.0;930.0;-355.0;?;?;-551.0
?;346.0;984.0;-392.0;?;?;-566.0
?;339.0;980.0;-432.0;?;?;-579.0
?;329.0;979.0;-468.0;245.0;?;-590.0
?;319.0;944.0;-499.0;316.0;?;-601.0
?;314.0;889.0;-524.0;379.0;?;-609.0
?;311.0;845.0;-540.0;427.0;?;-619.0
?;311.0;714.0;-555.0;471.0;?;-626.0
284.0;310.0;668.0;-573.0;510.0;?;-635.0
241.0;?;684.0;-587.0;539.0;?;-646.0
215.0;?;712.0;-602.0;563.0;?;-661.0
197.0;?;723.0;-618.0;579.0;?;-673.0
184.0;?;691.0;-625.0;592.0;479.0;-676.0
177.0;?;739.0;-625.0;595.0;515.0;-677.0
