Accelerometer LUA^ accY;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LUA accX
876.0;540.0;805.0;-155.0;664.0;1078.0;-890.0;-430.0;-957.0
913.0;249.0;1017.0;-202.0;917.0;1000.0;-1033.0;-337.0;-1028.0
777.0;309.0;844.0;-380.0;810.0;821.0;-1029.0;-372.0;-971.0
899.0;657.0;818.0;-391.0;763.0;917.0;-817.0;-550.0;-954.0
967.0;474.0;850.0;-332.0;776.0;1239.0;-556.0;-523.0;-871.0
940.0;629.0;756.0;-140.0;811.0;1008.0;-821.0;-551.0;-877.0
749.0;353.0;891.0;-335.0;792.0;808.0;-917.0;-480.0;-752.0
862.0;394.0;925.0;-326.0;838.0;967.0;-885.0;-485.0;-915.0
884.0;388.0;925.0;-302.0;801.0;984.0;-869.0;-472.0;-892.0
826.0;416.0;877.0;-269.0;827.0;996.0;-835.0;-422.0;-849.0
837.0;398.0;886.0;-250.0;834.0;1002.0;-909.0;-389.0;-922.0
848.0;430.0;812.0;-468.0;857.0;1198.0;-890.0;-397.0;-903.0
877.0;389.0;809.0;-407.0;734.0;1101.0;-912.0;-261.0;-918.0
829.0;389.0;896.0;-269.0;742.0;979.0;-832.0;-153.0;-850.0
962.0;454.0;914.0;-169.0;813.0;945.0;-939.0;-230.0;-992.0
957.0;450.0;923.0;-163.0;816.0;942.0;-930.0;-248.0;-995.0
937.0;388.0;963.0;-161.0;879.0;1016.0;-988.0;-457.0;-975.0
915.0;344.0;914.0;-130.0;854.0;1005.0;-973.0;-451.0;-966.0
942.0;315.0;885.0;-139.0;847.0;1000.0;-961.0;-397.0;-971.0
982.0;326.0;863.0;-150.0;842.0;995.0;-962.0;-387.0;-972.0
952.0;415.0;841.0;-158.0;793.0;901.0;-957.0;-413.0;-963.0
934.0;228.0;627.0;-187.0;787.0;803.0;-936.0;-404.0;-945.0
956.0;524.0;907.0;-203.0;747.0;775.0;-927.0;-382.0;-936.0
805.0;262.0;1048.0;-80.0;895.0;1085.0;-1089.0;-267.0;-1009.0
832.0;395.0;904.0;-27.0;788.0;953.0;-810.0;-109.0;-780.0
935.0;398.0;943.0;-156.0;833.0;958.0;-980.0;-303.0;-1013.0
909.0;400.0;930.0;-238.0;911.0;1028.0;-943.0;-363.0;-973.0
958.0;349.0;658.0;-187.0;812.0;895.0;-952.0;-364.0;-969.0
940.0;382.0;946.0;-163.0;877.0;1033.0;-950.0;-319.0;-980.0
803.0;380.0;879.0;-156.0;799.0;940.0;-571.0;-416.0;-532.0
948.0;353.0;960.0;-196.0;886.0;1027.0;-952.0;-341.0;-966.0
805.0;336.0;921.0;-120.0;756.0;769.0;-852.0;-396.0;-729.0
925.0;368.0;898.0;-186.0;759.0;741.0;-710.0;-365.0;-723.0
933.0;433.0;1042.0;-284.0;737.0;773.0;-722.0;-280.0;-750.0
939.0;379.0;961.0;-194.0;885.0;998.0;-924.0;-358.0;-944.0
943.0;374.0;962.0;-222.0;877.0;987.0;-936.0;-345.0;-959.0
