Accelerometer LUA^ accZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
835.0;?;88.0;-223.0;-1092.0;533.0;319.0;-35.0;855.0
848.0;?;-25.0;-291.0;-901.0;524.0;339.0;-43.0;932.0
931.0;?;204.0;-461.0;-758.0;519.0;347.0;-10.0;985.0
1017.0;?;37.0;-499.0;-896.0;517.0;286.0;3.0;955.0
1144.0;?;93.0;-380.0;-946.0;?;316.0;-9.0;991.0
1219.0;?;84.0;-197.0;-1018.0;?;288.0;-4.0;1018.0
1210.0;?;46.0;-97.0;-976.0;?;291.0;3.0;921.0
1068.0;?;63.0;-159.0;-973.0;?;294.0;-42.0;874.0
1072.0;?;93.0;-151.0;-1017.0;?;303.0;-105.0;869.0
1033.0;?;-18.0;-93.0;-983.0;?;402.0;58.0;953.0
893.0;?;-31.0;-70.0;-980.0;?;416.0;63.0;997.0
1007.0;?;-12.0;63.0;-961.0;?;390.0;76.0;969.0
967.0;-228.0;-31.0;219.0;-957.0;?;386.0;66.0;973.0
1005.0;-217.0;-50.0;397.0;-995.0;?;384.0;29.0;989.0
972.0;-198.0;-39.0;516.0;-994.0;505.0;428.0;44.0;992.0
941.0;-192.0;-52.0;506.0;-958.0;506.0;419.0;56.0;1059.0
892.0;-208.0;-60.0;344.0;-995.0;506.0;430.0;?;1012.0
850.0;-190.0;-50.0;228.0;-964.0;508.0;411.0;?;1069.0
746.0;-197.0;-64.0;?;-996.0;510.0;364.0;?;1025.0
805.0;-173.0;-22.0;?;-1028.0;511.0;396.0;?;1018.0
817.0;-267.0;-100.0;?;-1059.0;516.0;425.0;?;986.0
863.0;-236.0;-110.0;?;-1011.0;515.0;399.0;?;970.0
918.0;-210.0;-54.0;?;-999.0;518.0;402.0;?;987.0
909.0;-258.0;15.0;?;-967.0;518.0;372.0;?;1026.0
841.0;-196.0;44.0;?;-966.0;522.0;344.0;?;1000.0
874.0;-211.0;67.0;-230.0;-985.0;522.0;351.0;-19.0;969.0
911.0;-163.0;108.0;-228.0;-1016.0;524.0;?;-39.0;882.0
867.0;-135.0;47.0;-178.0;-1006.0;523.0;346.0;-47.0;893.0
824.0;?;71.0;-171.0;-967.0;521.0;299.0;?;823.0
782.0;?;?;-197.0;-935.0;523.0;329.0;?;887.0
776.0;?;?;-224.0;-970.0;518.0;340.0;?;850.0
750.0;?;?;-371.0;-878.0;514.0;307.0;?;950.0
772.0;?;?;-524.0;-923.0;512.0;314.0;-29.0;959.0
