InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN_ accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
18;-14;47.0;22;44;-86.0;638;740;14;44;18;18;-42
-11;2;27.0;21;26;-108.0;645;736;-2;26;?;11;-42
20;0;19.0;22;0;-103.0;643;738;0;0;?;5;-42
29;19;-18.0;21;-4;-115.0;639;742;-19;-4;?;7;-42
-11;15;-11.0;21;12;-168.0;645;736;-15;12;?;15;-42
12;15;28.0;21;-1;?;644;737;-15;-1;?;12;-42
8;-4;-15.0;21;-7;?;642;?;4;-7;?;10;-42
-19;-46;?;19;12;?;644;?;46;12;?;16;-42
9;-23;?;18;1;?;644;?;23;1;?;13;-42
-49;-37;?;21;17;?;646;?;37;17;?;16;-42
-11;-21;?;19;14;?;650;?;21;14;?;22;-42
-14;22;?;20;47;?;645;?;-22;47;-14;18;-42
-20;23;?;20;-16;?;644;?;-23;-16;-20;13;-42
26;33;?;19;-15;-131.0;650;?;-33;-15;26;11;-42
-1;-2;?;21;39;-134.0;644;?;2;39;-1;11;-42
-4;-33;-46.0;13;-21;-151.0;647;?;33;-21;-4;14;-42
12;-17;-6.0;15;-17;-141.0;650;?;17;-17;12;18;-42
0;-10;10.0;26;5;-126.0;642;?;10;5;0;18;-42
-13;-4;10.0;25;-16;-144.0;641;?;?;-16;-13;13;-42
?;27;20.0;19;-9;-136.0;647;?;?;-9;8;11;-42
?;10;30.0;14;-10;-99.0;650;?;?;-10;20;7;-42
?;-23;32.0;12;15;-102.0;648;746;?;15;-17;5;-42
?;5;50.0;14;23;-95.0;649;742;?;23;3;?;-42
?;-1;20.0;14;19;-100.0;649;742;?;19;24;?;-42
?;-5;-4.0;20;-6;?;644;739;?;-6;-15;?;-42
?;8;-9.0;22;-43;?;645;736;?;-43;-2;?;-42
?;-32;8.0;18;-21;?;646;740;?;-21;30;9;-42
?;-22;6.0;25;-15;?;642;734;?;?;22;10;-42
19;14;24.0;21;-31;?;643;738;?;?;19;12;-42
-14;-4;22.0;23;7;-106.0;638;739;?;?;-14;10;-42
-25;-7;29.0;29;11;-87.0;638;732;?;?;-25;19;-42
14;-1;2.0;20;-22;-120.0;644;739;?;?;14;23;-42
11;0;-15.0;22;-11;-120.0;641;740;?;?;11;13;-42
7;20;25.0;25;-10;-127.0;639;736;-20;?;7;7;-42
12;?;49.0;17;-4;-94.0;643;742;?;-4;12;6;-42
-21;?;20.0;19;-3;-118.0;644;740;?;-3;-21;8;-42
?;?;-10.0;21;-10;-145.0;644;738;?;-10;-26;9;-42
?;?;-12.0;16;1;-147.0;645;?;?;1;-21;9;-42
?;?;-16.0;15;9;-139.0;648;?;?;9;-12;11;-42
?;12;-2.0;16;29;-119.0;648;?;?;29;15;9;?
?;25;-5.0;20;15;-124.0;642;?;?;15;-23;13;?
?;11;-10.0;15;10;-137.0;642;?;?;10;-5;8;-42
-1;6;16.0;19;-23;-120.0;641;743;?;-23;-1;8;-42
-27;0;-6.0;21;18;-133.0;638;742;?;18;-27;8;-42
31;0;-11.0;18;?;-154.0;?;744;?;10;31;5;-42
37;-11;-1.0;23;?;-126.0;?;734;?;-18;37;13;-42
17;-3;-20.0;23;?;-107.0;?;739;?;-21;17;15;-42
24;-1;-5.0;18;?;-104.0;?;744;?;-24;24;7;-42
-2;4;23.0;21;?;-112.0;?;737;?;-32;-2;11;-42
-7;10;30.0;19;?;-95.0;?;740;?;-1;-7;12;-42
10;0;13.0;14;?;-122.0;?;742;?;40;10;11;-42
10;10;19.0;15;?;-125.0;?;741;?;18;10;15;-42
14;4;27.0;?;-1;-148.0;?;745;?;-1;14;10;-42
-2;6;23.0;?;-2;-122.0;?;744;-6;-2;-2;8;-42
-5;28;28.0;19;-12;-119.0;?;741;-28;-12;-5;15;-42
11;18;19.0;21;15;-116.0;?;741;-18;15;11;12;-42
10;0;51.0;25;12;-125.0;?;738;0;12;10;9;-42
22;6;25.0;24;-40;-126.0;?;736;-6;-40;22;9;-42
-5;18;28.0;22;-4;-135.0;?;741;-18;-4;-5;10;-42
-16;-11;22.0;19;19;-128.0;644;739;11;19;-16;11;-42
19;-53;20.0;20;-22;-118.0;643;739;53;-22;19;11;-42
-6;-26;10.0;18;-18;-109.0;639;746;26;-18;-6;11;-42
-31;10;12.0;16;-10;-119.0;646;742;-10;-10;-31;11;-42
2;7;4.0;24;-17;-129.0;642;735;-7;-17;2;15;-42
10;31;-17.0;20;-26;-147.0;647;736;-31;-26;10;13;-42
-4;12;19.0;18;-4;-141.0;648;738;-12;-4;-4;10;-42
21;-28;49.0;21;24;-121.0;641;740;28;24;21;7;-42
29;-21;31.0;20;?;-105.0;644;739;21;8;29;5;-42
2;-13;0.0;24;?;?;641;737;13;8;2;11;-42
-7;12;32.0;17;?;-129.0;644;743;-12;16;-7;9;-42
-14;-7;26.0;17;?;-123.0;647;739;7;-4;-14;6;-42
-1;7;41.0;21;15;-110.0;641;739;-7;15;-1;11;-42
-7;2;41.0;22;-3;-152.0;645;734;-2;?;-7;12;-42
25;-1;49.0;?;-3;-105.0;643;740;1;?;25;8;-42
25;0;39.0;16;-10;-90.0;645;744;0;?;25;8;-42
-9;0;38.0;17;-1;-96.0;?;740;0;?;-9;15;-42
-10;0;-5.0;21;-13;-125.0;?;737;0;?;-10;11;-42
?;?;4.0;20;-26;-125.0;?;741;6;?;-22;8;-42
?;?;-12.0;20;14;-129.0;?;738;10;?;-25;9;-42
11;24;-35.0;19;-10;-121.0;?;736;-24;?;11;6;-42
-7;14;-15.0;19;-37;-118.0;?;740;-14;?;-7;12;-42
-31;-32;24.0;21;-1;-116.0;?;740;32;?;-31;13;-42
6;-3;60.0;18;-28;-125.0;?;741;3;?;6;9;-42
-4;-21;31.0;24;-8;-121.0;?;734;21;?;-4;10;-42
5;-20;38.0;19;-20;-118.0;?;741;20;-20;5;10;-42
37;1;33.0;21;-34;-118.0;?;741;-1;-34;37;-4;-42
41;1;10.0;?;-25;-118.0;?;743;-1;-25;41;9;-42
6;-27;10.0;16;-35;-127.0;?;748;27;-35;6;-2;-42
-10;-13;-9.0;25;9;-173.0;?;742;13;9;-10;-8;-42
85;142;9.0;-23;-72;-149.0;670;774;-142;-72;85;?;-42
23;-31;5.0;40;-65;?;591;757;31;-65;23;?;-42
404;273;29.0;-33;-515;-107.0;652;805;-273;-515;404;155;-42
1072;346;28.0;-188;-515;-110.0;694;992;-346;-515;1072;423;-42
809;-933;62.0;11;649;-90.0;348;1020;933;649;809;93;-42
216;-1565;11.0;99;812;-111.0;255;946;1565;812;216;-127;-39
-99;-1731;20.0;-19;344;-138.0;453;924;1731;344;-99;-114;-36
