InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-166;15;10;795;270;77;-3;384;3;10
-162;3;11;799;260;74;-37;388;37;11
-160;-4;15;801;307;63;6;378;-6;15
-165;-41;8;807;263;71;-17;381;17;8
-164;4;-12;800;250;75;-10;393;10;-12
-159;1;2;797;311;66;-5;374;5;2
-159;-3;-12;800;308;65;-6;372;6;-12
-159;0;12;791;308;72;-48;376;48;12
-164;31;22;809;272;59;-18;400;18;22
-156;-29;-22;732;264;89;-96;482;96;-22
-159;-2;14;793;306;72;-10;372;10;14
-159;2;8;797;311;65;-29;377;29;8
-159;5;6;795;312;69;-8;371;8;6
-159;-3;15;801;305;67;-25;371;25;15
-160;-4;-12;758;302;74;-49;436;49;-12
-143;-2;5;620;420;76;28;543;-28;5
-163;-4;-8;724;307;83;-13;472;13;-8
-160;-1;-26;775;300;71;-13;414;13;-26
-160;-2;-8;776;301;70;-29;414;29;-8
-160;-2;-7;777;301;70;-23;414;23;-7
-160;7;20;751;313;78;42;436;-42;20
-158;-29;6;803;285;69;-8;378;8;6
-158;-17;-20;801;295;69;-15;374;15;-20
-158;-20;0;800;290;68;-19;380;19;0
-158;-7;-27;795;295;74;-20;372;20;-27
-158;-8;6;804;293;66;-24;376;24;6
-160;-4;3;792;307;79;-31;357;31;3
-158;-14;0;799;285;72;-28;378;28;0
-158;-7;27;804;291;67;5;374;-5;27
-158;-5;3;796;283;72;1;383;-1;3
-158;-2;-1;796;287;70;-21;386;21;-1
-158;-4;1;799;285;67;-30;388;30;1
-158;-6;-10;801;283;68;5;384;-5;-10
-158;-1;1;795;295;72;-37;378;37;1
-160;0;3;800;316;61;-10;375;10;3
