InertialMeasurementUnit LUA gyroY;Accelerometer LUA_ accX;InertialMeasurementUnit BACK gyroY;Accelerometer LWR accX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit LLA accZ;Accelerometer LUA^ accX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;Accelerometer BACK accX
2.0;8.0;-27.0;-318.0;52.0;-42.0;22.0;332.0;32.0;62.0;169.0
49.0;2.0;-27.0;-350.0;18.0;-62.0;-11.0;293.0;68.0;54.0;137.0
26.0;-1.0;-7.0;-336.0;10.0;-51.0;-11.0;298.0;74.0;62.0;134.0
1.0;11.0;18.0;-354.0;-3.0;-50.0;-20.0;305.0;-31.0;71.0;146.0
-35.0;-11.0;7.0;-359.0;20.0;-1.0;-21.0;290.0;-21.0;13.0;163.0
-4.0;39.0;-29.0;-299.0;62.0;102.0;25.0;399.0;34.0;76.0;173.0
-14.0;28.0;-35.0;-300.0;57.0;20.0;25.0;365.0;21.0;94.0;151.0
-17.0;43.0;4.0;-302.0;43.0;0.0;30.0;383.0;-3.0;79.0;140.0
-37.0;36.0;-31.0;-302.0;74.0;-25.0;28.0;376.0;2.0;94.0;142.0
-10.0;48.0;25.0;-295.0;23.0;-83.0;27.0;369.0;9.0;51.0;162.0
-8.0;-65.0;-26.0;-445.0;45.0;14.0;-52.0;356.0;-76.0;-13.0;202.0
62.0;-78.0;43.0;-461.0;46.0;-20.0;-53.0;340.0;-52.0;29.0;195.0
58.0;-75.0;53.0;-436.0;62.0;-19.0;-68.0;316.0;9.0;38.0;201.0
-30.0;62.0;-13.0;-311.0;59.0;-43.0;49.0;419.0;22.0;42.0;171.0
4.0;45.0;27.0;-329.0;18.0;-18.0;40.0;417.0;9.0;44.0;183.0
-4.0;43.0;3.0;-311.0;47.0;-28.0;43.0;404.0;17.0;46.0;189.0
72.0;-2.0;-4.0;-336.0;8.0;23.0;-26.0;290.0;82.0;-6.0;140.0
6.0;10.0;-13.0;-313.0;14.0;11.0;-40.0;285.0;58.0;23.0;138.0
14.0;10.0;-12.0;-311.0;16.0;17.0;14.0;324.0;43.0;-43.0;152.0
13.0;10.0;5.0;-325.0;-16.0;36.0;15.0;314.0;64.0;-36.0;151.0
51.0;0.0;41.0;-287.0;-1.0;4.0;15.0;333.0;27.0;6.0;135.0
21.0;12.0;57.0;-326.0;3.0;-2.0;23.0;341.0;-32.0;20.0;155.0
-7.0;24.0;-38.0;-336.0;38.0;4.0;28.0;350.0;44.0;71.0;168.0
-13.0;10.0;-38.0;-303.0;72.0;-11.0;37.0;352.0;27.0;55.0;169.0
15.0;12.0;-20.0;-320.0;59.0;12.0;32.0;352.0;65.0;95.0;162.0
38.0;39.0;3.0;-273.0;69.0;9.0;19.0;381.0;75.0;31.0;162.0
26.0;39.0;-6.0;-322.0;-26.0;-46.0;7.0;330.0;63.0;0.0;164.0
-14.0;6.0;11.0;-331.0;83.0;3.0;54.0;376.0;29.0;93.0;182.0
-3.0;38.0;32.0;-349.0;113.0;9.0;44.0;359.0;79.0;110.0;171.0
9.0;16.0;30.0;-268.0;70.0;-16.0;19.0;352.0;96.0;35.0;174.0
28.0;29.0;-16.0;-325.0;62.0;-10.0;26.0;324.0;6.0;60.0;181.0
-1.0;19.0;11.0;-342.0;68.0;-28.0;28.0;333.0;30.0;56.0;184.0
15.0;16.0;-44.0;-320.0;60.0;-31.0;23.0;322.0;82.0;23.0;201.0
17.0;10.0;-8.0;-310.0;19.0;-31.0;27.0;331.0;35.0;40.0;162.0
-30.0;47.0;35.0;-341.0;9.0;18.0;-12.0;288.0;-22.0;35.0;182.0
34.0;-12.0;-125.0;-515.0;-3.0;53.0;57.0;421.0;68.0;0.0;10.0
-80.0;86.0;-53.0;-254.0;118.0;-52.0;101.0;495.0;-31.0;150.0;345.0
-89.0;-11.0;8.0;-397.0;77.0;38.0;-18.0;297.0;-169.0;168.0;138.0
-18.0;-8.0;-9.0;-400.0;68.0;74.0;-13.0;285.0;-163.0;130.0;128.0
97.0;-13.0;-88.0;-408.0;66.0;179.0;-4.0;297.0;205.0;-19.0;137.0
118.0;-3.0;-91.0;-390.0;42.0;148.0;-5.0;275.0;268.0;-50.0;125.0
36.0;-99.0;18.0;-438.0;8.0;-22.0;-89.0;575.0;-111.0;57.0;526.0
-2.0;-29.0;8.0;-334.0;-5.0;-55.0;-114.0;658.0;-62.0;41.0;556.0
40.0;-11.0;9.0;-498.0;11.0;64.0;-105.0;598.0;-140.0;49.0;567.0
16.0;-7.0;240.0;-330.0;-151.0;125.0;-117.0;460.0;110.0;12.0;347.0
96.0;-10.0;-70.0;-281.0;-100.0;-18.0;23.0;311.0;309.0;-198.0;56.0
31.0;-39.0;-84.0;-272.0;-132.0;-1.0;22.0;314.0;220.0;-197.0;51.0
