Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RWR accY;InertialMeasurementUnit RUA accY
226.0;-936.0;1029.0;929.0;-831.0;754.0;222.0
162.0;-1296.0;887.0;979.0;-1236.0;685.0;134.0
195.0;-1224.0;970.0;963.0;-1064.0;677.0;261.0
250.0;-1010.0;1033.0;888.0;-754.0;729.0;220.0
211.0;-1016.0;1099.0;859.0;-833.0;721.0;45.0
157.0;-1014.0;1100.0;904.0;-760.0;760.0;161.0
150.0;-983.0;1151.0;937.0;-697.0;683.0;-67.0
-128.0;-974.0;1181.0;994.0;-629.0;729.0;-63.0
69.0;-903.0;1200.0;914.0;-560.0;557.0;-119.0
434.0;-1002.0;954.0;912.0;-912.0;442.0;89.0
295.0;-925.0;1034.0;943.0;-698.0;662.0;235.0
367.0;-911.0;1093.0;926.0;-704.0;679.0;187.0
398.0;-828.0;1049.0;724.0;-580.0;434.0;-35.0
406.0;-1129.0;1019.0;820.0;-861.0;484.0;-103.0
284.0;-998.0;1080.0;869.0;-700.0;572.0;-19.0
335.0;-986.0;1070.0;887.0;-660.0;538.0;18.0
175.0;-1022.0;1160.0;897.0;-605.0;359.0;-1.0
282.0;-960.0;1116.0;810.0;-708.0;540.0;12.0
131.0;-1014.0;1163.0;634.0;-725.0;545.0;173.0
233.0;-911.0;1159.0;628.0;-704.0;706.0;-38.0
129.0;-857.0;1126.0;893.0;-501.0;626.0;-17.0
49.0;-1040.0;1060.0;722.0;-817.0;690.0;84.0
-39.0;-882.0;973.0;1130.0;-786.0;730.0;214.0
132.0;-904.0;1072.0;714.0;-61.0;643.0;265.0
215.0;-947.0;1108.0;957.0;-819.0;760.0;145.0
200.0;-935.0;1089.0;911.0;-686.0;599.0;132.0
252.0;-914.0;953.0;955.0;-705.0;512.0;133.0
337.0;-852.0;1137.0;818.0;-757.0;797.0;201.0
223.0;-899.0;1005.0;772.0;-775.0;464.0;120.0
273.0;-925.0;1001.0;909.0;-756.0;702.0;236.0
270.0;-916.0;1035.0;895.0;-765.0;714.0;192.0
380.0;-1000.0;927.0;568.0;-636.0;263.0;31.0
56.0;-1003.0;952.0;600.0;-789.0;144.0;-255.0
158.0;-990.0;961.0;804.0;-672.0;514.0;89.0
138.0;-1044.0;1010.0;917.0;-584.0;597.0;136.0
39.0;-913.0;1123.0;826.0;-342.0;649.0;201.0
223.0;-960.0;1051.0;987.0;-825.0;751.0;164.0
230.0;-953.0;1073.0;982.0;-816.0;748.0;165.0
217.0;-950.0;1081.0;955.0;-821.0;755.0;147.0
547.0;-781.0;906.0;353.0;154.0;-117.0;504.0
223.0;-962.0;1065.0;999.0;-845.0;712.0;127.0
266.0;-954.0;1046.0;978.0;-829.0;717.0;148.0
287.0;-942.0;1040.0;960.0;-813.0;715.0;186.0
268.0;-937.0;1038.0;948.0;-800.0;716.0;204.0
253.0;-926.0;1057.0;945.0;-791.0;767.0;193.0
237.0;-940.0;1052.0;939.0;-806.0;658.0;181.0
85.0;-915.0;1142.0;1023.0;-842.0;768.0;142.0
218.0;-971.0;1079.0;990.0;-851.0;731.0;132.0
205.0;-969.0;1066.0;986.0;-859.0;728.0;130.0
222.0;-961.0;1048.0;988.0;-840.0;710.0;141.0
193.0;-938.0;1035.0;967.0;-820.0;711.0;136.0
214.0;-945.0;1042.0;953.0;-821.0;736.0;149.0
240.0;-921.0;1045.0;951.0;-799.0;749.0;145.0
218.0;-932.0;1029.0;945.0;-799.0;756.0;162.0
218.0;-931.0;1058.0;948.0;-804.0;745.0;143.0
207.0;-942.0;1070.0;969.0;-822.0;747.0;127.0
237.0;-950.0;1060.0;971.0;-834.0;728.0;132.0
216.0;-949.0;1083.0;980.0;-826.0;733.0;136.0
231.0;-951.0;1086.0;979.0;-828.0;727.0;144.0
221.0;-958.0;1066.0;981.0;-832.0;744.0;143.0
221.0;-954.0;1055.0;989.0;-831.0;754.0;144.0
127.0;-989.0;1070.0;845.0;-545.0;477.0;253.0
53.0;-965.0;1079.0;614.0;-304.0;245.0;-146.0
297.0;-1002.0;1150.0;840.0;-579.0;532.0;112.0
275.0;-932.0;1044.0;946.0;-792.0;735.0;211.0
246.0;-923.0;1053.0;944.0;-783.0;725.0;211.0
203.0;-928.0;1065.0;958.0;-798.0;737.0;163.0
221.0;-945.0;1071.0;985.0;-830.0;730.0;113.0
223.0;-948.0;1062.0;1002.0;-838.0;725.0;118.0
158.0;-936.0;1040.0;981.0;-799.0;754.0;154.0
219.0;-934.0;1089.0;973.0;-809.0;792.0;121.0
230.0;-928.0;1083.0;970.0;-819.0;745.0;123.0
215.0;-941.0;1094.0;962.0;-833.0;721.0;115.0
