InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LLA Quaternion1
-207.0;-708.0;230.0;-636.0;-863.0;367.0;-296.0;-58.0;-422.0;393.0
-195.0;-718.0;222.0;-637.0;-871.0;376.0;-301.0;-52.0;-403.0;421.0
-184.0;-722.0;211.0;-637.0;-875.0;378.0;-296.0;-51.0;-394.0;447.0
-177.0;-718.0;199.0;-636.0;-875.0;380.0;-294.0;-53.0;-394.0;460.0
-176.0;-709.0;192.0;-634.0;-870.0;382.0;-294.0;-53.0;-398.0;455.0
-182.0;-701.0;193.0;-635.0;-864.0;383.0;-294.0;-52.0;-405.0;441.0
-191.0;-693.0;194.0;-639.0;-856.0;384.0;-294.0;-50.0;-412.0;427.0
-201.0;-684.0;192.0;-642.0;-847.0;385.0;-292.0;-47.0;-420.0;414.0
-218.0;-674.0;196.0;-645.0;-836.0;383.0;-287.0;-44.0;-430.0;396.0
-658.0;-397.0;?;-646.0;-329.0;390.0;-249.0;458.0;-218.0;-357.0
-658.0;-397.0;?;-650.0;-331.0;390.0;-251.0;455.0;-216.0;-353.0
-654.0;-400.0;?;-656.0;-338.0;?;-252.0;448.0;-215.0;-345.0
-645.0;-406.0;?;-667.0;-350.0;?;-254.0;434.0;-220.0;-333.0
-631.0;-417.0;?;-684.0;-370.0;?;-254.0;412.0;-228.0;-315.0
-610.0;-436.0;?;-703.0;-394.0;?;-254.0;389.0;-238.0;-291.0
-588.0;-459.0;?;-720.0;-425.0;?;-253.0;362.0;-250.0;-260.0
-567.0;-484.0;503.0;-734.0;-463.0;?;?;331.0;-268.0;-220.0
-544.0;-510.0;475.0;-746.0;-506.0;?;?;297.0;-288.0;-170.0
