InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Compass
-261.0;116.0;4;-271.0;446.0;109;158;321.0;-3
-44.0;615.0;31;-20.0;-140.0;-45;21;600.0;-21
47.0;790.0;-13;408.0;-573.0;121;-147;721.0;-76
-294.0;12.0;-166;-191.0;210.0;44;137;368.0;-7
85.0;-93.0;-127;-273.0;396.0;48;137;198.0;-7
-146.0;708.0;27;249.0;-492.0;164;-7;928.0;-86
155.0;738.0;-3;340.0;-531.0;135;-147;738.0;-76
158.0;744.0;3;325.0;-509.0;128;-147;747.0;-76
227.0;548.0;-134;197.0;-576.0;-10;8;813.0;-112
128.0;600.0;-143;240.0;-587.0;-65;-58;629.0;-32
-305.0;514.0;-151;-115.0;-158.0;-56;38;493.0;-69
-298.0;506.0;-165;-125.0;-144.0;-43;38;481.0;-69
-296.0;501.0;-159;-132.0;-131.0;-22;38;468.0;-69
-294.0;495.0;-170;-140.0;-118.0;-13;38;454.0;-69
-295.0;491.0;-194;-153.0;-104.0;-3;38;439.0;-70
89.0;607.0;-150;260.0;-592.0;-62;-58;639.0;-32
63.0;611.0;-152;280.0;-588.0;-76;-59;651.0;-32
-360.0;944.0;57;465.0;-558.0;143;96;889.0;-58
-469.0;613.0;3;302.0;-674.0;156;-6;808.0;-97
43.0;605.0;-161;299.0;-578.0;-104;-59;659.0;-31
27.0;597.0;-180;321.0;-574.0;-109;-59;670.0;-31
233.0;185.0;-1;329.0;-264.0;135;86;-286.0;18
248.0;-102.0;-1;82.0;132.0;135;82;-158.0;18
14.0;592.0;-144;345.0;-578.0;-120;-59;684.0;-31
-293.0;485.0;-175;-161.0;-91.0;12;38;425.0;-70
-291.0;482.0;-232;-168.0;-74.0;22;38;406.0;-71
-286.0;479.0;-255;-180.0;-56.0;32;38;389.0;-70
-282.0;473.0;-781;-195.0;-31.0;64;39;356.0;-70
-166.0;310.0;-4;-470.0;390.0;26;74;610.0;-8
-144.0;313.0;-12;-471.0;398.0;24;74;596.0;-8
-126.0;318.0;-11;-472.0;412.0;23;74;564.0;-8
-114.0;314.0;1;-473.0;428.0;23;74;550.0;-8
-111.0;308.0;5;-471.0;444.0;22;74;550.0;-8
-4.0;292.0;29;-464.0;482.0;15;74;505.0;-7
16.0;293.0;14;-470.0;482.0;15;74;495.0;-7
27.0;290.0;-37;-473.0;489.0;15;74;490.0;-7
40.0;287.0;-13;-479.0;492.0;15;75;477.0;-7
41.0;281.0;0;-483.0;504.0;15;75;460.0;-7
-33.0;290.0;2;-450.0;529.0;14;74;461.0;-7
65.0;302.0;-3;-490.0;543.0;15;75;351.0;-7
63.0;309.0;-10;-493.0;541.0;15;74;363.0;-7
66.0;312.0;-7;-491.0;537.0;15;74;381.0;-7
65.0;317.0;0;-493.0;533.0;15;74;398.0;-8
67.0;321.0;0;-494.0;526.0;15;74;416.0;-8
71.0;324.0;-5;-494.0;522.0;14;74;431.0;-8
74.0;325.0;-4;-497.0;519.0;14;74;441.0;-8
77.0;326.0;-1;-493.0;512.0;14;74;452.0;-8
77.0;325.0;-1;-492.0;510.0;14;74;463.0;-8
36.0;308.0;-3;-447.0;519.0;14;74;392.0;-8
40.0;311.0;-6;-447.0;515.0;15;74;408.0;-8
50.0;311.0;9;-448.0;497.0;14;74;465.0;-7
44.0;309.0;8;-447.0;494.0;15;75;471.0;-7
43.0;308.0;6;-442.0;493.0;15;75;474.0;-7
40.0;308.0;6;-446.0;493.0;15;75;477.0;-7
37.0;307.0;0;-439.0;492.0;16;75;479.0;-7
33.0;299.0;0;-438.0;500.0;16;74;457.0;-7
35.0;297.0;2;-437.0;502.0;16;74;451.0;-7
40.0;295.0;-2;-433.0;504.0;16;74;437.0;-7
38.0;294.0;1;-430.0;505.0;15;74;426.0;-7
35.0;294.0;0;-429.0;504.0;15;74;409.0;-7
29.0;293.0;1;-430.0;506.0;15;74;397.0;-7
21.0;297.0;2;-425.0;509.0;15;74;386.0;-7
24.0;298.0;1;-426.0;512.0;15;74;373.0;-7
27.0;300.0;2;-424.0;512.0;15;74;358.0;-7
-25.0;264.0;0;-377.0;519.0;16;74;263.0;-7
-32.0;269.0;4;-376.0;520.0;16;74;230.0;-7
-19.0;284.0;1;-402.0;510.0;17;74;424.0;-8
-15.0;292.0;3;-404.0;504.0;18;74;439.0;-8
-11.0;295.0;3;-407.0;498.0;18;74;445.0;-8
-21.0;272.0;-4;-395.0;507.0;16;75;68.0;-7
-9.0;282.0;2;-421.0;511.0;16;75;-104.0;-7
-3.0;299.0;0;-454.0;511.0;16;75;-326.0;-7
-1.0;587.0;-131;366.0;-579.0;-130;-59;700.0;-31
8.0;850.0;-5;372.0;-643.0;16;-11;781.0;-91
-44.0;824.0;-40;245.0;-634.0;2;-7;795.0;-104
-78.0;825.0;-99;232.0;-628.0;5;-7;785.0;-106
-283.0;470.0;70;-208.0;-21.0;73;41;340.0;-64
-284.0;466.0;239;-212.0;-17.0;73;43;331.0;-61
-103.0;827.0;-44;220.0;-622.0;4;-7;775.0;-107
-122.0;827.0;-68;206.0;-617.0;4;-7;764.0;-107
-36.0;590.0;75;199.0;-482.0;-162;-7;1090.0;-110
-11.0;579.0;-248;384.0;-578.0;-128;-59;710.0;-31
246.0;-97.0;2;81.0;125.0;135;82;-136.0;18
246.0;-99.0;4;80.0;126.0;135;82;-135.0;18
-135.0;830.0;-102;196.0;-612.0;4;-7;757.0;-105
247.0;-101.0;3;85.0;127.0;135;82;-145.0;18
-9.0;566.0;-286;394.0;-580.0;-126;-60;720.0;-31
18.0;257.0;1;-449.0;523.0;16;75;329.0;-7
16.0;257.0;-6;-446.0;527.0;16;75;331.0;-7
17.0;258.0;-3;-446.0;530.0;16;75;334.0;-7
16.0;257.0;3;-447.0;537.0;16;75;336.0;-7
15.0;260.0;2;-449.0;542.0;16;75;337.0;-7
17.0;261.0;5;-445.0;546.0;16;75;336.0;-7
20.0;258.0;3;-448.0;552.0;16;75;335.0;-7
20.0;259.0;0;-449.0;551.0;16;75;334.0;-7
20.0;264.0;2;-451.0;545.0;16;75;332.0;-7
27.0;265.0;2;-451.0;540.0;16;75;339.0;-7
35.0;269.0;0;-451.0;539.0;16;75;346.0;-7
