Accelerometer LUA^ accZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
332.0;-234.0;145.0;328.0;-955.0;543.0;442.0;21.0;821.0
195.0;-333.0;191.0;263.0;-930.0;510.0;284.0;-21.0;861.0
281.0;-217.0;138.0;271.0;-965.0;473.0;376.0;19.0;894.0
304.0;-234.0;100.0;261.0;-945.0;172.0;449.0;-149.0;746.0
196.0;-227.0;149.0;264.0;-979.0;360.0;379.0;-80.0;701.0
91.0;-224.0;228.0;343.0;-947.0;583.0;276.0;4.0;783.0
92.0;-227.0;225.0;329.0;-946.0;582.0;272.0;20.0;782.0
102.0;-228.0;228.0;323.0;-942.0;581.0;252.0;23.0;807.0
356.0;-101.0;53.0;-1.0;-938.0;537.0;434.0;-150.0;558.0
172.0;-124.0;166.0;385.0;-891.0;491.0;325.0;60.0;793.0
186.0;-154.0;188.0;183.0;-958.0;449.0;300.0;11.0;706.0
116.0;-190.0;195.0;331.0;-961.0;529.0;324.0;60.0;810.0
133.0;-188.0;205.0;330.0;-961.0;530.0;314.0;49.0;819.0
267.0;-58.0;234.0;226.0;-965.0;517.0;421.0;-171.0;817.0
271.0;-50.0;237.0;230.0;-963.0;518.0;411.0;-148.0;842.0
225.0;-32.0;230.0;228.0;-953.0;518.0;398.0;-140.0;840.0
168.0;88.0;275.0;118.0;-967.0;484.0;395.0;-86.0;809.0
156.0;-180.0;196.0;324.0;-959.0;532.0;323.0;28.0;809.0
244.0;-69.0;211.0;163.0;-923.0;533.0;397.0;-81.0;861.0
253.0;-58.0;242.0;156.0;-941.0;531.0;408.0;-104.0;863.0
156.0;-193.0;195.0;317.0;-971.0;532.0;304.0;19.0;810.0
193.0;-219.0;186.0;302.0;-967.0;530.0;312.0;-20.0;814.0
220.0;-72.0;237.0;153.0;-980.0;527.0;365.0;-171.0;847.0
227.0;-77.0;227.0;198.0;-968.0;527.0;376.0;-173.0;850.0
116.0;-3.0;106.0;109.0;-943.0;546.0;285.0;-239.0;817.0
235.0;-69.0;223.0;219.0;-959.0;526.0;377.0;-209.0;847.0
243.0;-56.0;236.0;181.0;-969.0;529.0;385.0;-172.0;848.0
254.0;-44.0;192.0;156.0;-959.0;524.0;379.0;-108.0;822.0
191.0;-214.0;190.0;296.0;-970.0;528.0;300.0;-21.0;817.0
184.0;-222.0;192.0;289.0;-965.0;525.0;308.0;-15.0;801.0
197.0;-230.0;189.0;289.0;-955.0;523.0;288.0;-14.0;787.0
219.0;-239.0;189.0;289.0;-946.0;524.0;272.0;-18.0;794.0
183.0;-235.0;202.0;292.0;-951.0;509.0;316.0;-28.0;768.0
123.0;-198.0;196.0;313.0;-980.0;500.0;198.0;51.0;657.0
316.0;-220.0;282.0;290.0;-899.0;399.0;288.0;-144.0;746.0
171.0;-263.0;211.0;292.0;-923.0;510.0;416.0;-38.0;883.0
81.0;18.0;181.0;283.0;-1012.0;668.0;393.0;-83.0;388.0
249.0;-82.0;131.0;182.0;-1003.0;537.0;571.0;-6.0;887.0
239.0;-121.0;131.0;182.0;-986.0;534.0;456.0;-29.0;884.0
247.0;-109.0;138.0;192.0;-983.0;533.0;455.0;-29.0;895.0
193.0;-134.0;200.0;255.0;-984.0;536.0;435.0;-25.0;730.0
