InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN_ accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
18;-14;47.0;22;44;-86.0;638;740;14;44;18;18;-42
-16;-11;22.0;19;19;-128.0;644;739;11;19;-16;11;-42
19;-53;20.0;20;-22;-118.0;643;739;53;-22;19;11;-42
-6;-26;10.0;18;-18;-109.0;639;746;26;-18;-6;11;-42
-31;10;12.0;16;-10;-119.0;646;742;-10;-10;-31;11;-42
2;7;4.0;24;-17;-129.0;642;735;-7;-17;2;15;-42
10;31;-17.0;20;-26;-147.0;647;736;-31;-26;10;13;-42
-4;12;19.0;18;-4;-141.0;648;738;-12;-4;-4;10;-42
21;-28;49.0;21;24;-121.0;641;740;28;24;21;7;-42
-1;7;41.0;21;15;-110.0;641;739;-7;15;-1;11;-42
404;273;29.0;-33;-515;-107.0;652;805;-273;-515;404;155;-42
1072;346;28.0;-188;-515;-110.0;694;992;-346;-515;1072;423;-42
809;-933;62.0;11;649;-90.0;348;1020;933;649;809;93;-42
216;-1565;11.0;99;812;-111.0;255;946;1565;812;216;-127;-39
-99;-1731;20.0;-19;344;-138.0;453;924;1731;344;-99;-114;-36
-307;-2134;10.0;14;186;-142.0;525;831;2134;186;-307;-81;-32
-375;-2010;21.0;105;155;-133.0;667;663;2010;155;-375;8;-28
-358;-1877;-7.0;48;531;-138.0;732;708;1877;531;-358;-75;-25
-10;-62;264.0;41;11;-203.0;642;712;62;11;-10;-19;-41
-101;-754;256.0;93;-146;-39.0;171;898;754;-146;-101;-29;-17
-104;-575;367.0;93;-262;-180.0;154;898;575;-262;-104;-14;-15
-95;-456;11.0;115;-237;-36.0;132;880;456;-237;-95;21;-14
-301;-649;124.0;92;-338;444.0;154;895;649;-338;-301;81;-13
-61;-69;96.0;30;-293;-137.0;165;959;69;-293;-61;-4;-13
-52;16;73.0;25;-98;-109.0;169;963;-16;-98;-52;-5;-13
-48;21;54.0;57;101;-97.0;186;926;-21;101;-48;-28;-13
-29;-3;17.0;64;86;-137.0;172;919;3;86;-29;-65;-13
7;34;285.0;17;-11;-110.0;662;727;-34;-11;7;-10;-41
1;30;85.0;19;-37;-132.0;662;724;-30;-37;1;-2;-41
22;16;148.0;26;19;-130.0;656;721;-16;19;22;-3;-41
12;19;81.0;25;-4;-155.0;650;726;-19;-4;12;11;-41
15;-15;88.0;22;-1;-166.0;652;728;15;-1;15;9;-41
1;-28;83.0;20;-19;-150.0;657;727;28;-19;1;7;-41
12;-8;91.0;16;0;-154.0;662;729;8;0;12;7;-41
28;11;97.0;13;-11;-141.0;657;737;-11;-11;28;1;-41
-14;27;116.0;16;16;-145.0;654;734;-27;16;-14;3;-41
-17;11;101.0;18;25;-125.0;657;728;-11;25;-17;4;-41
20;-10;114.0;18;-9;-141.0;656;730;10;-9;20;3;-41
-3;-7;122.0;19;-9;-133.0;656;729;7;-9;-3;2;-41
-18;-7;122.0;16;-1;-137.0;660;731;7;-1;-18;-4;-41
-7;11;112.0;16;19;-155.0;654;736;-11;19;-7;6;-41
-15;15;119.0;22;8;-138.0;649;731;-15;8;-15;10;-41
-6;18;111.0;17;26;-117.0;655;733;-18;26;-6;4;-41
20;18;133.0;20;1;-110.0;655;730;-18;1;20;4;-41
12;2;128.0;18;20;-96.0;656;732;-2;20;12;7;-41
-40;34;116.0;15;23;-133.0;660;731;-34;23;-40;13;-41
11;47;131.0;22;-5;-94.0;657;725;-47;-5;11;10;-41
29;11;149.0;20;11;-109.0;657;727;-11;11;29;11;-41
17;-18;144.0;24;5;-100.0;652;726;18;5;17;11;-41
-15;-3;146.0;26;-1;-112.0;649;726;3;-1;-15;10;-41
9;4;121.0;21;14;-108.0;653;729;-4;14;9;9;-41
-12;-17;121.0;12;12;-118.0;659;736;17;12;-12;6;-41
4;11;102.0;17;-16;-137.0;657;732;-11;-16;4;11;-41
-19;2;130.0;24;10;-123.0;654;725;-2;10;-19;13;-41
-25;-14;151.0;21;-12;-110.0;658;724;14;-12;-25;9;-41
12;9;151.0;22;-4;-108.0;657;724;-9;-4;12;18;-41
19;11;121.0;23;5;-127.0;657;723;-11;5;19;16;-41
10;19;111.0;21;10;-108.0;657;726;-19;10;10;10;-41
43;-18;59.0;22;-52;-143.0;658;723;18;-52;43;-1;-41
17;-42;106.0;20;-23;-125.0;658;726;42;-23;17;2;-41
10;-26;111.0;15;4;-100.0;662;729;26;4;10;7;-41
-34;-6;351.0;16;25;215.0;701;692;6;25;-34;20;-42
198;-1960;-272.0;265;2249;-718.0;686;786;1960;2249;198;229;-63
1924;-1518;-292.0;420;1810;-700.0;325;563;1518;1810;1924;-250;-64
795;-1950;-348.0;176;706;-842.0;518;721;1950;706;795;-440;-63
-1429;-2607;-459.0;-183;-804;-854.0;841;711;2607;-804;-1429;-526;-58
-2078;-2938;-483.0;9;-1129;-953.0;782;555;2938;-1129;-2078;-238;-51
-3053;-2420;-643.0;295;-2017;-866.0;482;397;2420;-2017;-3053;-504;-45
-5985;-1501;-537.0;26;-1915;-948.0;1044;243;1501;-1915;-5985;-393;-40
289;5216;-430.0;-27;-1162;-623.0;738;799;-5216;-1162;289;216;-60
957;6936;-378.0;-543;-2164;-427.0;1392;777;-6936;-2164;957;314;-72
-536;6209;-386.0;-1482;-1040;-375.0;2487;957;-6209;-1040;-536;39;-81
-2353;4316;-424.0;-48;-405;-338.0;1251;1148;-4316;-405;-2353;330;-79
-1931;672;-350.0;1136;-1257;-294.0;111;812;-672;-1257;-1931;588;-74
-849;-1973;-354.0;813;-1150;-270.0;360;446;1973;-1150;-849;376;-73
-1248;-1167;37.0;125;1755;17.0;548;748;1167;1755;-1248;346;-41
-213;744;213.0;58;77;750.0;614;708;-744;77;-213;11;-44
-268;1235;-174.0;42;67;316.0;618;743;-1235;67;-268;61;-46
-302;1747;-498.0;30;-26;-292.0;617;763;-1747;-26;-302;116;-48
-335;3013;-307.0;221;-55;-440.0;489;603;-3013;-55;-335;108;-52
582;6039;-279.0;-382;-1383;-578.0;1227;707;-6039;-1383;582;155;-67
8;-3;-159.0;22;-12;-199.0;666;715;3;-12;8;35;-40
-12;17;2.0;26;32;22.0;666;710;-17;32;-12;32;-41
-33;7;-19.0;18;34;23.0;674;714;-7;34;-33;30;-41
-37;34;-13.0;20;5;23.0;670;715;-34;5;-37;32;-41
-16;31;-42.0;26;33;8.0;667;708;-31;33;-16;54;-41
1;51;-46.0;16;20;14.0;676;712;-51;20;1;65;-41
-45;60;-18.0;11;-22;54.0;674;722;-60;-22;-45;59;-41
-6;112;-25.0;15;-98;8.0;671;720;-112;-98;-6;55;-41
-5;283;-43.0;17;-85;34.0;666;722;-283;-85;-5;51;-42
-223;562;-35.0;36;-33;32.0;658;707;-562;-33;-223;1;-43
-291;842;-33.0;76;40;31.0;621;687;-842;40;-291;11;-44
-33;-2;65.0;-24;29;-241.0;707;753;2;29;-33;-4;-49
-37;29;140.0;24;7;6.0;656;722;-29;7;-37;-8;-46
-24;2;163.0;16;15;-127.0;674;717;-2;15;-24;13;-46
3;-10;209.0;18;-7;-108.0;670;719;10;-7;3;13;-46
3;-10;204.0;18;-7;-101.0;669;719;10;-7;3;13;-46
6;-9;215.0;18;-8;-106.0;669;718;9;-8;6;14;-46
-8;-7;226.0;16;11;-91.0;669;721;7;11;-8;12;-46
-21;-8;-79.0;25;5;-571.0;671;707;8;5;-21;48;-45
-20;2;-192.0;20;4;-570.0;678;707;-2;4;-20;48;-45
-17;12;16.0;18;4;-5.0;681;707;-12;4;-17;44;-45
3;0;1.0;18;1;-14.0;681;706;0;1;3;45;-45
-13;28;-32.0;17;-45;-58.0;684;704;-28;-45;-13;48;-45
4;3;4.0;16;-26;6.0;685;705;-3;-26;4;51;-45
-15;-24;70.0;27;-28;-29.0;680;695;24;-28;-15;53;-45
-8;4;103.0;23;-24;2.0;683;696;-4;-24;-8;54;-45
9;7;96.0;12;-33;29.0;689;707;-7;-33;9;47;-45
-2;-15;99.0;17;-33;24.0;686;702;15;-33;-2;46;-45
-7;-7;129.0;21;-14;21.0;685;699;7;-14;-7;47;-45
-7;-9;293.0;22;-47;-56.0;669;713;9;-47;-7;36;-45
-714;304;60.0;17;-1377;-29.0;648;747;-304;-1377;-714;-24;-45
-823;197;23.0;37;-1601;-56.0;585;779;-197;-1601;-823;-2;-45
-813;211;-22.0;-12;-1623;-64.0;632;811;-211;-1623;-813;-6;-45
-987;93;-35.0;52;-1505;-81.0;527;832;-93;-1505;-987;47;-45
-1004;-5;-50.0;47;-1420;-116.0;512;853;5;-1420;-1004;58;-45
