InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-175.0;-325.0;-140.0;-603.0;679.0;89.0;335.0;-376.0
554.0;412.0;-100.0;179.0;51.0;-498.0;41.0;145.0
111.0;231.0;-62.0;455.0;-102.0;-133.0;40.0;292.0
472.0;378.0;-224.0;39.0;213.0;-483.0;221.0;-93.0
-42.0;109.0;-203.0;71.0;150.0;-263.0;111.0;67.0
-63.0;96.0;-207.0;100.0;142.0;-270.0;129.0;57.0
-83.0;85.0;-213.0;123.0;134.0;-280.0;147.0;46.0
-383.0;-552.0;-274.0;-623.0;506.0;-106.0;490.0;-409.0
-389.0;-544.0;-234.0;-599.0;465.0;-93.0;454.0;-395.0
-391.0;-536.0;-224.0;-587.0;448.0;-84.0;443.0;-388.0
203.0;78.0;396.0;259.0;-508.0;520.0;-270.0;189.0
196.0;45.0;388.0;120.0;-425.0;491.0;-270.0;198.0
194.0;41.0;390.0;98.0;-411.0;482.0;-277.0;192.0
196.0;39.0;393.0;82.0;-400.0;474.0;-288.0;187.0
202.0;39.0;398.0;72.0;-392.0;469.0;-303.0;185.0
207.0;41.0;403.0;66.0;-388.0;467.0;-319.0;185.0
209.0;42.0;406.0;61.0;-384.0;463.0;-327.0;184.0
203.0;39.0;408.0;52.0;-381.0;459.0;-323.0;179.0
191.0;34.0;410.0;46.0;-379.0;455.0;-317.0;169.0
-135.0;-317.0;136.0;-49.0;-88.0;0.0;17.0;-337.0
-123.0;-311.0;139.0;-45.0;-96.0;0.0;4.0;-338.0
-69.0;-309.0;116.0;-170.0;1.0;119.0;-28.0;-270.0
-65.0;-305.0;120.0;-178.0;8.0;130.0;-29.0;-261.0
-89.0;-327.0;103.0;-260.0;54.0;179.0;-33.0;-225.0
-96.0;-333.0;100.0;-277.0;60.0;172.0;-23.0;-226.0
-99.0;-335.0;97.0;-281.0;67.0;167.0;-18.0;-227.0
-98.0;-335.0;92.0;-283.0;74.0;165.0;-16.0;-228.0
-82.0;-346.0;78.0;-227.0;54.0;105.0;29.0;-275.0
-83.0;-343.0;74.0;-230.0;56.0;105.0;31.0;-277.0
-82.0;-339.0;70.0;-234.0;59.0;105.0;33.0;-278.0
-78.0;-333.0;65.0;-239.0;62.0;106.0;33.0;-278.0
-74.0;-325.0;62.0;-243.0;67.0;109.0;33.0;-277.0
-68.0;-316.0;59.0;-249.0;71.0;115.0;32.0;-276.0
-61.0;-308.0;58.0;-254.0;75.0;123.0;30.0;-274.0
-56.0;-301.0;56.0;-259.0;79.0;129.0;30.0;-274.0
-53.0;-298.0;54.0;-264.0;85.0;133.0;30.0;-274.0
-52.0;-296.0;54.0;-268.0;88.0;134.0;31.0;-275.0
-51.0;-295.0;54.0;-269.0;90.0;134.0;31.0;-274.0
-49.0;-293.0;54.0;-270.0;91.0;135.0;29.0;-273.0
-45.0;-291.0;54.0;-271.0;92.0;135.0;28.0;-271.0
-43.0;-291.0;54.0;-271.0;91.0;135.0;27.0;-270.0
-42.0;-291.0;55.0;-271.0;90.0;134.0;26.0;-269.0
-42.0;-292.0;57.0;-270.0;88.0;134.0;26.0;-267.0
-42.0;-293.0;59.0;-267.0;86.0;135.0;24.0;-265.0
-44.0;-296.0;62.0;-264.0;83.0;136.0;23.0;-264.0
-47.0;-299.0;65.0;-262.0;81.0;138.0;22.0;-264.0
-58.0;-285.0;105.0;-291.0;86.0;191.0;-4.0;-230.0
-58.0;-285.0;107.0;-285.0;83.0;191.0;-2.0;-230.0
-35.0;-283.0;42.0;-262.0;79.0;129.0;43.0;-283.0
-35.0;-284.0;36.0;-270.0;86.0;125.0;46.0;-286.0
-35.0;-285.0;32.0;-276.0;92.0;123.0;48.0;-288.0
-35.0;-286.0;30.0;-281.0;96.0;120.0;49.0;-290.0
-35.0;-288.0;30.0;-283.0;98.0;118.0;49.0;-291.0
-36.0;-290.0;31.0;-285.0;100.0;117.0;48.0;-292.0
-37.0;-291.0;34.0;-285.0;100.0;116.0;48.0;-292.0
-39.0;-294.0;36.0;-285.0;101.0;115.0;49.0;-295.0
-43.0;-297.0;36.0;-285.0;102.0;114.0;51.0;-298.0
-48.0;-302.0;37.0;-285.0;103.0;113.0;52.0;-301.0
-53.0;-307.0;39.0;-284.0;103.0;113.0;52.0;-303.0
-80.0;-315.0;54.0;-324.0;116.0;152.0;29.0;-256.0
-76.0;-311.0;55.0;-327.0;120.0;160.0;28.0;-255.0
-75.0;-311.0;56.0;-328.0;122.0;163.0;29.0;-257.0
-77.0;-312.0;56.0;-327.0;124.0;160.0;30.0;-259.0
-78.0;-314.0;55.0;-326.0;125.0;155.0;32.0;-262.0
-47.0;-301.0;6.0;-292.0;118.0;118.0;77.0;-298.0
-49.0;-304.0;3.0;-301.0;126.0;113.0;78.0;-301.0
-49.0;-305.0;1.0;-307.0;131.0;109.0;77.0;-304.0
-46.0;-304.0;1.0;-312.0;135.0;109.0;75.0;-304.0
-41.0;-301.0;1.0;-316.0;138.0;109.0;72.0;-302.0
-36.0;-301.0;2.0;-320.0;140.0;108.0;70.0;-301.0
-34.0;-302.0;4.0;-323.0;141.0;106.0;68.0;-301.0
