InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LUA magneticX;Accelerometer LH accZ;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accY;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;Accelerometer LWR accZ;InertialMeasurementUnit R-SHOE EuY
116;684.0;60.0;313.0;1021.0;318.0;402.0;-23.0;554.0;-24
116;694.0;415.0;286.0;1033.0;303.0;391.0;45.0;388.0;-24
116;701.0;455.0;268.0;1053.0;287.0;369.0;38.0;330.0;-24
116;697.0;185.0;259.0;1025.0;273.0;351.0;49.0;343.0;-24
116;698.0;114.0;257.0;1040.0;272.0;354.0;-71.0;323.0;-24
116;703.0;335.0;264.0;1036.0;283.0;371.0;-147.0;257.0;-24
116;703.0;442.0;266.0;1006.0;283.0;392.0;-47.0;370.0;-24
116;700.0;354.0;265.0;1037.0;280.0;405.0;184.0;419.0;-24
116;691.0;770.0;265.0;1033.0;274.0;426.0;218.0;?;-24
116;-210.0;-819.0;?;1036.0;-521.0;-163.0;610.0;?;-24
116;-207.0;-1166.0;?;1035.0;-515.0;-154.0;747.0;?;-24
?;-204.0;-1225.0;?;1072.0;-517.0;-152.0;676.0;?;-24
?;-202.0;-1215.0;?;991.0;-527.0;-147.0;661.0;?;-24
?;-192.0;-1079.0;?;1032.0;-524.0;-138.0;622.0;?;-24
?;-174.0;-831.0;?;1057.0;-520.0;-119.0;472.0;1098.0;-24
?;?;-619.0;-486.0;1022.0;-497.0;?;454.0;1063.0;-24
116;?;-316.0;-446.0;958.0;-467.0;?;660.0;987.0;-24
116;?;-70.0;-397.0;1076.0;-428.0;?;783.0;897.0;-24
116;?;-41.0;-338.0;1016.0;-371.0;?;600.0;706.0;-24
?;?;-9.0;-270.0;1020.0;-305.0;?;385.0;688.0;-24
?;?;-91.0;-194.0;?;-220.0;?;346.0;620.0;-24
116;?;-88.0;-125.0;?;-145.0;?;270.0;635.0;-24
