Accelerometer LUA^ accZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
188.0;-70.0;439.0;363.0;-906.0;512.0;293.0;-6.0;863.0
121.0;-53.0;206.0;324.0;-1125.0;522.0;287.0;-127.0;782.0
103.0;-220.0;21.0;318.0;-923.0;156.0;353.0;-331.0;709.0
233.0;-234.0;160.0;289.0;-947.0;363.0;398.0;-99.0;675.0
196.0;-227.0;149.0;264.0;-979.0;360.0;379.0;-80.0;701.0
118.0;-176.0;181.0;234.0;-1029.0;357.0;356.0;-54.0;725.0
115.0;-176.0;203.0;213.0;-1063.0;357.0;359.0;19.0;771.0
201.0;-208.0;245.0;287.0;-1039.0;355.0;361.0;60.0;792.0
149.0;-335.0;257.0;293.0;-884.0;286.0;337.0;-76.0;752.0
306.0;-142.0;194.0;100.0;-951.0;511.0;450.0;-234.0;814.0
51.0;-123.0;404.0;286.0;-1319.0;465.0;276.0;-168.0;749.0
92.0;-168.0;297.0;243.0;-990.0;515.0;222.0;-99.0;827.0
271.0;-65.0;225.0;188.0;-960.0;511.0;381.0;-218.0;814.0
267.0;-58.0;234.0;226.0;-965.0;517.0;421.0;-171.0;817.0
271.0;-50.0;237.0;230.0;-963.0;518.0;411.0;-148.0;842.0
225.0;-32.0;230.0;228.0;-953.0;518.0;398.0;-140.0;840.0
226.0;-26.0;227.0;207.0;-956.0;519.0;384.0;-136.0;847.0
245.0;-28.0;225.0;185.0;-962.0;518.0;413.0;-138.0;866.0
244.0;-69.0;211.0;163.0;-923.0;533.0;397.0;-81.0;861.0
253.0;-58.0;242.0;156.0;-941.0;531.0;408.0;-104.0;863.0
244.0;-40.0;252.0;129.0;-954.0;531.0;401.0;-163.0;840.0
241.0;-38.0;238.0;122.0;-962.0;528.0;378.0;-192.0;859.0
220.0;-72.0;237.0;153.0;-980.0;527.0;365.0;-171.0;847.0
227.0;-77.0;227.0;198.0;-968.0;527.0;376.0;-173.0;850.0
220.0;-71.0;221.0;220.0;-964.0;527.0;341.0;-188.0;820.0
235.0;-69.0;223.0;219.0;-959.0;526.0;377.0;-209.0;847.0
243.0;-56.0;236.0;181.0;-969.0;529.0;385.0;-172.0;848.0
254.0;-44.0;192.0;156.0;-959.0;524.0;379.0;-108.0;822.0
326.0;-113.0;183.0;112.0;-957.0;526.0;384.0;-147.0;868.0
326.0;-80.0;199.0;128.0;-958.0;527.0;372.0;-176.0;856.0
69.0;-27.0;298.0;274.0;-1024.0;509.0;272.0;-69.0;837.0
335.0;-188.0;34.0;198.0;-926.0;521.0;373.0;62.0;893.0
186.0;-48.0;216.0;218.0;-954.0;369.0;444.0;13.0;811.0
227.0;-47.0;241.0;234.0;-926.0;346.0;534.0;-16.0;809.0
384.0;-270.0;257.0;80.0;-914.0;362.0;311.0;-31.0;734.0
250.0;-125.0;73.0;169.0;-1008.0;526.0;447.0;-18.0;887.0
237.0;-110.0;97.0;151.0;-993.0;527.0;462.0;19.0;894.0
251.0;-114.0;159.0;171.0;-979.0;534.0;465.0;-11.0;877.0
239.0;-121.0;131.0;182.0;-986.0;534.0;456.0;-29.0;884.0
247.0;-109.0;138.0;192.0;-983.0;533.0;455.0;-29.0;895.0
232.0;-104.0;142.0;176.0;-998.0;533.0;445.0;-39.0;904.0
304.0;-115.0;126.0;169.0;-989.0;501.0;396.0;-45.0;869.0
324.0;-99.0;115.0;164.0;-989.0;499.0;379.0;-83.0;863.0
275.0;-81.0;122.0;151.0;-999.0;500.0;382.0;-72.0;875.0
292.0;-119.0;125.0;155.0;-990.0;502.0;392.0;-41.0;878.0
274.0;-87.0;115.0;164.0;-986.0;501.0;387.0;-64.0;864.0
258.0;-122.0;112.0;182.0;-966.0;504.0;435.0;24.0;899.0
271.0;-144.0;107.0;172.0;-943.0;505.0;427.0;-2.0;885.0
273.0;-145.0;111.0;192.0;-993.0;519.0;419.0;-52.0;898.0
275.0;-135.0;105.0;174.0;-983.0;520.0;422.0;-44.0;874.0
284.0;-140.0;97.0;190.0;-1002.0;515.0;393.0;-32.0;903.0
313.0;-130.0;98.0;175.0;-1004.0;516.0;397.0;-59.0;903.0
290.0;-130.0;104.0;182.0;-998.0;517.0;410.0;-49.0;905.0
294.0;-100.0;109.0;187.0;-999.0;516.0;439.0;-41.0;914.0
279.0;-108.0;98.0;182.0;-985.0;516.0;412.0;-22.0;897.0
292.0;-121.0;107.0;179.0;-988.0;515.0;410.0;-19.0;916.0
253.0;-135.0;102.0;176.0;-989.0;516.0;411.0;-10.0;887.0
243.0;-121.0;97.0;179.0;-989.0;516.0;401.0;-51.0;891.0
245.0;-142.0;103.0;170.0;-983.0;505.0;420.0;-62.0;894.0
