InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Compass
-41.0;558.0;84;-292.0;-306.0;39;134;822.0;-7
-124.0;146.0;37;-327.0;373.0;142;79;243.0;0
91.0;635.0;-74;-148.0;-133.0;176;-70;655.0;19
-294.0;12.0;-166;-191.0;210.0;44;137;368.0;-7
109.0;584.0;711;-131.0;-142.0;149;6;551.0;-24
98.0;623.0;59;-143.0;-130.0;178;-109;632.0;19
98.0;617.0;182;-141.0;-127.0;173;-116;618.0;15
119.0;587.0;55;-128.0;-131.0;206;4;561.0;-30
-392.0;318.0;158;-16.0;265.0;113;147;146.0;5
-262.0;239.0;30;-99.0;290.0;75;147;92.0;4
-305.0;514.0;-151;-115.0;-158.0;-56;38;493.0;-69
-298.0;506.0;-165;-125.0;-144.0;-43;38;481.0;-69
-296.0;501.0;-159;-132.0;-131.0;-22;38;468.0;-69
-294.0;495.0;-170;-140.0;-118.0;-13;38;454.0;-69
-295.0;491.0;-194;-153.0;-104.0;-3;38;439.0;-70
133.0;572.0;167;-192.0;-213.0;-126;9;504.0;-13
106.0;584.0;-620;-139.0;-146.0;-155;7;541.0;-21
158.0;545.0;-189;-215.0;-250.0;-58;9;477.0;-14
174.0;534.0;44;-228.0;-259.0;-39;9;458.0;-13
188.0;519.0;-194;-244.0;-263.0;-14;9;440.0;-13
205.0;507.0;-46;-257.0;-267.0;-29;9;424.0;-13
-367.0;303.0;141;-39.0;276.0;105;147;117.0;5
-341.0;286.0;103;-61.0;284.0;94;147;101.0;4
-419.0;-173.0;12;316.0;-25.0;167;150;155.0;-12
-293.0;485.0;-175;-161.0;-91.0;12;38;425.0;-70
-291.0;482.0;-232;-168.0;-74.0;22;38;406.0;-71
-114.0;560.0;-691;-218.0;145.0;131;163;445.0;11
-326.0;-261.0;60;285.0;106.0;166;100;157.0;-20
-301.0;263.0;118;-81.0;288.0;81;147;89.0;4
20.0;92.0;431;-7.0;236.0;-166;163;-331.0;-7
563.0;-92.0;-4;63.0;192.0;135;83;-340.0;19
-220.0;212.0;105;-112.0;293.0;76;147;108.0;4
-305.0;477.0;1162;-83.0;255.0;150;182;135.0;-82
-282.0;205.0;83;-260.0;404.0;71;-178;341.0;-4
-161.0;170.0;152;-132.0;300.0;77;143;151.0;5
-140.0;148.0;0;-136.0;298.0;76;138;186.0;5
-148.0;101.0;-57;-121.0;220.0;76;103;442.0;3
-148.0;105.0;-54;-107.0;202.0;76;100;473.0;3
-146.0;261.0;212;-76.0;125.0;79;80;500.0;1
-133.0;262.0;188;-81.0;126.0;79;80;501.0;1
-136.0;262.0;134;-82.0;128.0;80;79;498.0;1
-139.0;262.0;60;-82.0;130.0;80;79;496.0;1
-135.0;261.0;-17;-88.0;132.0;80;78;490.0;1
-130.0;260.0;-43;-92.0;138.0;80;74;485.0;0
-120.0;263.0;-20;-96.0;144.0;80;69;483.0;-1
-11.0;371.0;-14;-209.0;291.0;106;115;662.0;0
64.0;309.0;10;-170.0;335.0;106;120;-492.0;0
-264.0;562.0;-157;-196.0;171.0;122;6;775.0;-4
-196.0;554.0;105;-188.0;173.0;122;1;772.0;-6
-143.0;547.0;26;-182.0;177.0;121;0;772.0;-6
-45.0;621.0;-11;-202.0;186.0;132;-1;797.0;-6
-44.0;618.0;-6;-208.0;178.0;132;-1;801.0;-6
-24.0;616.0;-2;-213.0;166.0;131;-1;807.0;-6
6.0;603.0;-2;-218.0;154.0;131;-1;815.0;-6
34.0;587.0;8;-218.0;140.0;130;-1;823.0;-6
65.0;569.0;-3;-222.0;126.0;130;-1;833.0;-6
90.0;554.0;-6;-225.0;114.0;130;-1;842.0;-6
194.0;245.0;-35;-334.0;270.0;39;37;436.0;-14
21.0;322.0;17;-149.0;-36.0;123;-3;972.0;-8
-50.0;394.0;-25;-151.0;101.0;128;-14;894.0;-12
239.0;248.0;-214;-342.0;270.0;39;36;443.0;-14
291.0;251.0;-75;-347.0;271.0;39;37;447.0;-14
-49.0;393.0;70;-148.0;111.0;128;-12;880.0;-12
-67.0;396.0;132;-144.0;113.0;128;-11;877.0;-12
-175.0;178.0;-16;-151.0;349.0;41;171;-227.0;5
-193.0;227.0;16;-3.0;292.0;141;88;-94.0;-5
-144.0;290.0;64;-287.0;495.0;116;147;143.0;-3
594.0;217.0;-60;-358.0;182.0;8;37;539.0;-13
-223.0;231.0;11;15.0;281.0;141;88;-84.0;-6
188.0;534.0;45;-151.0;53.0;18;64;720.0;0
474.0;438.0;461;-67.0;-148.0;-10;68;760.0;-20
146.0;561.0;44;-78.0;-70.0;16;51;794.0;-4
120.0;577.0;-2;-35.0;-146.0;15;35;834.0;-6
97.0;955.0;36;6.0;-112.0;-50;114;965.0;-69
-146.0;932.0;-1343;-30.0;-39.0;55;127;852.0;-17
38.0;545.0;-174;49.0;-171.0;62;38;848.0;-8
-283.0;470.0;70;-208.0;-21.0;73;41;340.0;-64
-284.0;466.0;239;-212.0;-17.0;73;43;331.0;-61
-215.0;227.0;2;37.0;263.0;141;88;-71.0;-6
-212.0;226.0;1;37.0;262.0;141;88;-71.0;-6
-217.0;228.0;3;40.0;264.0;141;88;-72.0;-6
-215.0;226.0;2;37.0;266.0;141;88;-72.0;-6
-216.0;225.0;3;35.0;264.0;141;88;-71.0;-6
-217.0;226.0;-1;39.0;263.0;141;88;-72.0;-6
-216.0;225.0;-3;35.0;264.0;141;88;-75.0;-6
-220.0;225.0;3;39.0;265.0;140;88;-75.0;-6
240.0;164.0;3;332.0;-268.0;135;86;-287.0;18
-219.0;224.0;-1;37.0;267.0;141;88;-79.0;-6
-206.0;218.0;0;33.0;275.0;141;88;-83.0;-6
-207.0;218.0;5;32.0;277.0;141;88;-82.0;-6
-204.0;217.0;1;32.0;276.0;141;88;-82.0;-6
-203.0;216.0;-2;30.0;280.0;140;88;-85.0;-6
-200.0;217.0;6;29.0;280.0;140;88;-83.0;-6
-199.0;216.0;0;27.0;279.0;140;88;-86.0;-6
-194.0;214.0;-1;25.0;282.0;140;88;-87.0;-6
-192.0;213.0;4;25.0;285.0;141;88;-87.0;-6
-188.0;214.0;-6;24.0;286.0;141;88;-89.0;-6
-183.0;212.0;1;18.0;290.0;141;88;-92.0;-6
-177.0;211.0;2;20.0;292.0;140;88;-93.0;-6
-164.0;208.0;0;15.0;296.0;141;88;-98.0;-6
113.0;528.0;96;246.0;374.0;159;84;-639.0;3
-370.0;343.0;-12;-47.0;327.0;121;-167;195.0;-5
30.0;77.0;-12;6.0;344.0;-1;71;90.0;-13
-347.0;366.0;562;-74.0;327.0;118;-183;-41.0;-6
-351.0;257.0;38;-61.0;372.0;24;-167;218.0;-5
-368.0;254.0;33;-55.0;374.0;23;-167;198.0;-6
-382.0;252.0;47;-47.0;375.0;23;-167;180.0;-6
225.0;-70.0;-76;-546.0;277.0;27;-16;507.0;-16
225.0;478.0;-226;132.0;-376.0;-116;-52;490.0;-79
-74.0;127.0;35;-286.0;453.0;114;92;188.0;-5
-124.0;115.0;3;-186.0;62.0;129;91;155.0;-6
