InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-14.0;15;-83.0;-271.0;154.0;13.0;12.0;-66.0;371.0;-97.0;15
202.0;-52;-230.0;-183.0;-222.0;-169.0;-202.0;58.0;256.0;-24.0;-52
7.0;23;98.0;-1.0;63.0;-37.0;36.0;35.0;-75.0;6.0;23
4.0;-3;15.0;32.0;101.0;-11.0;-5.0;35.0;-60.0;43.0;-3
15.0;-6;20.0;38.0;79.0;-9.0;17.0;18.0;-79.0;2.0;-6
162.0;11;82.0;35.0;-11.0;-56.0;-369.0;-162.0;-49.0;22.0;11
90.0;-1;-190.0;13.0;-117.0;-100.0;-138.0;-213.0;-53.0;41.0;-1
177.0;6;32.0;85.0;-218.0;-83.0;10.0;-243.0;-252.0;39.0;6
-7.0;30;-91.0;26.0;43.0;17.0;-51.0;30.0;-64.0;-16.0;30
-37.0;-32;-61.0;4.0;40.0;-70.0;-61.0;57.0;-76.0;-18.0;-32
-33.0;-51;-151.0;10.0;82.0;-15.0;-125.0;86.0;-60.0;-24.0;-51
-36.0;9;-115.0;-26.0;115.0;-45.0;-89.0;52.0;-63.0;3.0;9
42.0;-2;-109.0;-1.0;78.0;-23.0;-47.0;26.0;-58.0;11.0;-2
-9.0;-4;-103.0;-9.0;58.0;-30.0;-55.0;60.0;-20.0;-2.0;-4
15.0;7;-147.0;-44.0;15.0;-61.0;-89.0;-28.0;-19.0;44.0;7
20.0;4;280.0;-7.0;-18.0;23.0;-7.0;8.0;-6.0;-27.0;4
44.0;45;-63.0;-16.0;-5.0;20.0;-32.0;-4.0;27.0;-4.0;45
9.0;-26;-8.0;191.0;375.0;-66.0;-35.0;71.0;-212.0;43.0;-26
2.0;1;-44.0;56.0;41.0;0.0;-39.0;39.0;-49.0;28.0;1
31.0;-16;-41.0;36.0;61.0;-36.0;-59.0;37.0;-81.0;32.0;-16
18.0;12;-60.0;35.0;57.0;24.0;-39.0;24.0;-91.0;6.0;12
124.0;4;-139.0;-66.0;-35.0;-90.0;-77.0;-108.0;-131.0;-5.0;4
97.0;4;-107.0;-78.0;-123.0;-70.0;-57.0;-41.0;-7.0;-26.0;4
119.0;-16;93.0;-68.0;30.0;25.0;168.0;-28.0;1.0;47.0;-16
110.0;-11;112.0;-68.0;56.0;-11.0;49.0;-58.0;-4.0;36.0;-11
117.0;16;178.0;-51.0;54.0;9.0;35.0;-37.0;-29.0;13.0;16
114.0;29;280.0;-49.0;8.0;22.0;63.0;-84.0;36.0;19.0;29
105.0;21;-30.0;-58.0;-9.0;-6.0;79.0;-76.0;42.0;21.0;21
88.0;14;-55.0;-106.0;0.0;-42.0;17.0;-23.0;94.0;32.0;14
67.0;5;160.0;-68.0;21.0;-49.0;12.0;-2.0;119.0;25.0;5
91.0;-7;-24.0;-145.0;46.0;-240.0;-243.0;-50.0;52.0;97.0;-7
61.0;-114;-53.0;-17.0;81.0;-61.0;-208.0;138.0;63.0;-100.0;-114
-24.0;-66;-210.0;33.0;183.0;-116.0;-396.0;143.0;138.0;-57.0;-66
-23.0;-26;-160.0;21.0;14.0;39.0;56.0;27.0;-48.0;-39.0;-26
-25.0;-42;-15.0;10.0;-2.0;27.0;95.0;33.0;-7.0;-27.0;-42
5.0;2;-149.0;26.0;-12.0;44.0;131.0;22.0;9.0;-43.0;2
-6.0;-31;-156.0;40.0;-90.0;-122.0;-23.0;-150.0;-162.0;1.0;-31
-4.0;-12;-161.0;52.0;-83.0;-113.0;-89.0;-84.0;-125.0;-26.0;-12
14.0;0;-165.0;73.0;-66.0;-95.0;-116.0;-50.0;-33.0;-9.0;0
-21.0;0;-182.0;109.0;-21.0;-123.0;-182.0;-45.0;-14.0;-35.0;0
-71.0;-7;-272.0;139.0;52.0;-134.0;-205.0;-21.0;-34.0;-35.0;-7
-84.0;-15;-228.0;134.0;92.0;-115.0;-268.0;85.0;24.0;-43.0;-15
-30.0;1;-158.0;113.0;175.0;-159.0;-227.0;109.0;104.0;-24.0;1
-8.0;8;-191.0;114.0;160.0;-150.0;-306.0;95.0;94.0;-67.0;8
25.0;-12;-283.0;118.0;144.0;-191.0;-350.0;24.0;33.0;-44.0;-12
87.0;7;-289.0;95.0;188.0;-198.0;-385.0;-62.0;-37.0;-98.0;7
12.0;3;-27.0;-17.0;41.0;45.0;87.0;18.0;9.0;-32.0;3
17.0;-14;46.0;8.0;11.0;44.0;-78.0;25.0;2.0;-18.0;-14
-12.0;3;122.0;14.0;20.0;-6.0;-163.0;-10.0;-3.0;2.0;3
1.0;-16;118.0;-42.0;10.0;-45.0;-146.0;47.0;35.0;3.0;-16
-12.0;0;56.0;-11.0;3.0;-10.0;-33.0;8.0;21.0;3.0;0
25.0;-7;67.0;5.0;2.0;21.0;95.0;-15.0;6.0;-13.0;-7
-118.0;83;-74.0;68.0;-8.0;-346.0;90.0;60.0;-225.0;-145.0;83
28.0;-10;34.0;25.0;-3.0;43.0;37.0;-21.0;-7.0;-26.0;-10
81.0;14;121.0;46.0;191.0;-10.0;89.0;-134.0;-130.0;17.0;14
5.0;48;279.0;8.0;175.0;-19.0;46.0;-29.0;-109.0;-15.0;48
51.0;0;-169.0;-57.0;254.0;-28.0;-77.0;-238.0;-164.0;55.0;0
4.0;16;397.0;4.0;29.0;-15.0;-75.0;47.0;-36.0;-22.0;16
-23.0;-21;280.0;2.0;39.0;-31.0;-27.0;-6.0;-8.0;-17.0;-21
-19.0;-17;319.0;-23.0;10.0;-16.0;-36.0;38.0;-8.0;4.0;-17
57.0;-25;-110.0;-12.0;326.0;3.0;-67.0;12.0;-160.0;69.0;-25
44.0;27;-264.0;-61.0;-4.0;105.0;-335.0;38.0;-19.0;111.0;27
23.0;-54;-158.0;-43.0;-86.0;64.0;-313.0;84.0;24.0;118.0;-54
-62.0;87;86.0;-37.0;-155.0;120.0;-166.0;141.0;83.0;106.0;87
15.0;4;-74.0;29.0;100.0;-39.0;-15.0;-23.0;-84.0;-9.0;4
55.0;-8;110.0;39.0;51.0;-9.0;55.0;-51.0;4.0;-11.0;-8
154.0;23;6.0;53.0;58.0;20.0;27.0;-113.0;-30.0;-15.0;23
-93.0;3;-304.0;38.0;32.0;81.0;-107.0;48.0;-166.0;-40.0;3
10.0;4;179.0;-13.0;-1.0;-39.0;-28.0;13.0;12.0;12.0;4
-47.0;26;-21.0;-31.0;99.0;-66.0;-79.0;55.0;79.0;-94.0;26
11.0;-6;-213.0;1.0;126.0;-69.0;118.0;29.0;50.0;-70.0;-6
-11.0;-27;-10.0;25.0;109.0;-84.0;136.0;-19.0;62.0;-70.0;-27
26.0;-11;-130.0;-37.0;105.0;-165.0;55.0;-37.0;28.0;-81.0;-11
47.0;27;195.0;-43.0;143.0;-298.0;-12.0;-37.0;60.0;-74.0;27
54.0;8;-135.0;41.0;25.0;-50.0;19.0;-109.0;-144.0;-9.0;8
-8.0;29;-123.0;-4.0;109.0;13.0;-58.0;70.0;-10.0;-41.0;29
30.0;-1;-112.0;-30.0;132.0;-6.0;-65.0;23.0;-10.0;-39.0;-1
41.0;-17;-134.0;-40.0;87.0;-18.0;-56.0;36.0;24.0;-20.0;-17
41.0;-18;223.0;-12.0;-10.0;-24.0;-7.0;0.0;-36.0;15.0;-18
31.0;-6;-96.0;-13.0;68.0;-14.0;-54.0;-4.0;20.0;-26.0;-6
-19.0;-8;-58.0;-40.0;18.0;-16.0;-41.0;44.0;18.0;-9.0;-8
75.0;-4;1.0;18.0;630.0;104.0;12.0;105.0;248.0;-42.0;-4
214.0;16;60.0;7.0;323.0;51.0;114.0;-61.0;-313.0;-45.0;16
24.0;-32;-1.0;-14.0;11.0;-7.0;-41.0;17.0;4.0;-9.0;-32
8.0;1;-29.0;-17.0;-270.0;3.0;10.0;117.0;51.0;-20.0;1
27.0;-4;-136.0;2.0;-190.0;39.0;-94.0;122.0;37.0;0.0;-4
-27.0;43;-56.0;18.0;-135.0;94.0;-78.0;152.0;57.0;-51.0;43
