InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
1338.0;-9;-55.0;-1554.0;-1360.0;263.0;431.0;-943.0;-431.0;291.0;-9
1228.0;-20;881.0;-1267.0;-1187.0;-591.0;764.0;-1134.0;-235.0;236.0;-20
638.0;-22;1089.0;-634.0;-778.0;79.0;?;-565.0;-361.0;-108.0;-22
187.0;-25;463.0;-228.0;-299.0;-52.0;?;-83.0;-238.0;-70.0;-25
-88.0;2;-528.0;60.0;41.0;-142.0;?;198.0;330.0;28.0;2
-187.0;4;-1132.0;263.0;283.0;-127.0;?;178.0;456.0;69.0;4
-239.0;-16;-913.0;432.0;485.0;-49.0;-359.0;90.0;726.0;46.0;-16
-305.0;-9;-748.0;545.0;618.0;19.0;-369.0;160.0;832.0;-12.0;-9
-346.0;-11;-1147.0;764.0;662.0;319.0;-344.0;257.0;951.0;-115.0;-11
162.0;11;82.0;35.0;-11.0;-56.0;-369.0;-162.0;-49.0;22.0;11
90.0;-1;-190.0;13.0;-117.0;-100.0;-138.0;-213.0;-53.0;41.0;-1
177.0;6;32.0;85.0;-218.0;-83.0;10.0;-243.0;-252.0;39.0;6
413.0;5;471.0;202.0;-52.0;-89.0;145.0;-251.0;-780.0;33.0;5
663.0;-14;949.0;218.0;-85.0;-81.0;?;-377.0;-1234.0;?;-14
481.0;1;1287.0;82.0;-396.0;-64.0;?;-319.0;-1419.0;?;1
222.0;29;1782.0;-87.0;-731.0;42.0;?;199.0;-1847.0;?;29
64.0;11;2155.0;-128.0;-1078.0;192.0;?;526.0;-2518.0;?;11
-30.0;-5;2716.0;-367.0;-1468.0;-56.0;?;758.0;-2854.0;?;-5
-195.0;20;3129.0;-648.0;-1905.0;-200.0;?;928.0;-3182.0;?;20
-191.0;-1;2854.0;-725.0;-2137.0;-189.0;?;1092.0;-3443.0;?;-1
-132.0;-21;2260.0;-773.0;-2366.0;-61.0;?;973.0;-3445.0;?;-21
-133.0;16;2523.0;-857.0;-2433.0;-282.0;?;872.0;-3451.0;?;16
-14.0;11;3151.0;-842.0;-2297.0;-305.0;?;734.0;-3601.0;124.0;11
-41.0;27;3350.0;-838.0;-2103.0;-318.0;?;644.0;-3656.0;70.0;27
-133.0;32;3096.0;-815.0;-1928.0;-284.0;-13.0;644.0;-3709.0;79.0;32
-463.0;-19;2889.0;-827.0;-1874.0;-179.0;57.0;684.0;-3560.0;79.0;-19
-701.0;-32;?;-991.0;-1869.0;-114.0;-166.0;915.0;-3295.0;58.0;?
-790.0;-33;?;-1172.0;-1948.0;67.0;-374.0;1020.0;-2649.0;86.0;?
-425.0;-10;?;-1378.0;-1874.0;-29.0;-593.0;992.0;-1536.0;143.0;?
93.0;-11;?;-1431.0;-1578.0;474.0;-512.0;453.0;-936.0;148.0;?
699.0;-52;?;?;-1095.0;475.0;-415.0;-239.0;-1008.0;213.0;?
964.0;-10;?;?;-697.0;283.0;468.0;-827.0;-981.0;183.0;?
667.0;20;?;?;-458.0;-23.0;952.0;-632.0;-606.0;47.0;?
240.0;?;?;?;-263.0;-204.0;727.0;-107.0;118.0;39.0;?
-165.0;?;?;?;-88.0;-137.0;148.0;159.0;480.0;20.0;?
-228.0;?;?;297.0;57.0;-128.0;-326.0;161.0;666.0;80.0;-4
58.0;?;?;374.0;206.0;-45.0;-304.0;-167.0;919.0;44.0;-31
128.0;-24;?;340.0;271.0;140.0;-182.0;-257.0;747.0;-24.0;-24
98.0;-33;?;277.0;363.0;293.0;-186.0;-138.0;339.0;-89.0;-33
122.0;33;?;212.0;368.0;207.0;-246.0;-47.0;463.0;-100.0;33
-27.0;3;?;250.0;314.0;131.0;-339.0;21.0;774.0;-119.0;3
133.0;-1;?;-114.0;21.0;-75.0;-377.0;-160.0;32.0;63.0;-1
165.0;-5;?;-19.0;9.0;-89.0;-147.0;-163.0;-8.0;47.0;-5
95.0;22;?;-16.0;-95.0;-103.0;-74.0;-142.0;29.0;28.0;22
223.0;-1;?;42.0;-117.0;-97.0;-56.0;-203.0;-206.0;23.0;-1
305.0;-21;?;112.0;-109.0;-19.0;25.0;-276.0;-581.0;-26.0;-21
479.0;-26;?;173.0;-144.0;?;173.0;-278.0;-1032.0;-18.0;-26
357.0;-34;?;28.0;-313.0;?;164.0;-133.0;-1111.0;-43.0;-34
170.0;-8;1326.0;-99.0;-554.0;?;-125.0;245.0;-1445.0;-37.0;-8
102.0;8;1810.0;-188.0;-845.0;?;-315.0;544.0;-2011.0;-56.0;8
140.0;-21;2365.0;-272.0;-1200.0;?;-396.0;691.0;-2514.0;-97.0;-21
109.0;-27;3085.0;-416.0;-1557.0;?;-356.0;721.0;-2872.0;-103.0;-27
53.0;-2;3163.0;-564.0;-1962.0;?;-206.0;713.0;-3138.0;-86.0;-2
-49.0;-9;3145.0;-669.0;-2228.0;?;-67.0;825.0;-3297.0;-58.0;-9
-111.0;-7;3122.0;-777.0;-2355.0;?;-40.0;900.0;-3494.0;-41.0;-7
-118.0;-17;3244.0;-951.0;-2461.0;?;47.0;1017.0;-3543.0;22.0;-17
-282.0;-51;3175.0;-1121.0;-2551.0;?;-27.0;980.0;-3691.0;78.0;-51
-369.0;-15;2773.0;-1143.0;-2628.0;?;-284.0;1023.0;-3602.0;78.0;-15
-382.0;18;2435.0;-1242.0;-2609.0;-330.0;-294.0;998.0;-3312.0;98.0;18
-256.0;-10;1975.0;-1329.0;-2535.0;-62.0;-455.0;813.0;-2889.0;41.0;-10
-137.0;-36;1402.0;-1506.0;-2355.0;12.0;-728.0;745.0;-2560.0;8.0;-36
71.0;-16;1362.0;-1618.0;-2176.0;252.0;-820.0;529.0;-2046.0;15.0;-16
250.0;9;945.0;-1633.0;-1903.0;299.0;-615.0;169.0;-1266.0;38.0;9
423.0;-15;-154.0;-1417.0;-1520.0;183.0;294.0;-222.0;-884.0;146.0;-15
593.0;-18;-292.0;-1044.0;-1035.0;-34.0;769.0;-612.0;-751.0;67.0;-18
466.0;-10;515.0;-519.0;-599.0;-248.0;591.0;-559.0;-325.0;29.0;-10
104.0;-8;343.0;?;-219.0;-198.0;166.0;-161.0;165.0;20.0;-8
-153.0;10;14.0;?;102.0;-164.0;-179.0;134.0;346.0;16.0;10
-195.0;1;-474.0;?;275.0;-140.0;-166.0;70.0;575.0;37.0;1
-158.0;15;-407.0;?;529.0;-94.0;-131.0;-2.0;469.0;59.0;15
?;56;-363.0;?;621.0;-10.0;-285.0;-10.0;540.0;-10.0;56
?;33;-834.0;?;648.0;50.0;-495.0;2.0;750.0;-66.0;33
?;-4;300.0;?;-286.0;-19.0;-21.0;-249.0;?;31.0;-4
?;11;443.0;-240.0;-530.0;87.0;202.0;-455.0;?;38.0;11
?;-3;688.0;-606.0;-884.0;30.0;443.0;-482.0;?;27.0;-3
?;-20;546.0;-1081.0;-1433.0;115.0;568.0;-163.0;?;44.0;-20
?;-41;215.0;-1448.0;-2068.0;59.0;501.0;379.0;-382.0;42.0;-41
?;-24;-224.0;-1725.0;?;8.0;403.0;728.0;-237.0;-87.0;-24
?;2;-648.0;-1953.0;?;-102.0;431.0;?;44.0;-25.0;2
?;32;-1365.0;-2209.0;?;-36.0;330.0;?;407.0;13.0;?
1456.0;37;-1888.0;-2437.0;?;-138.0;507.0;?;560.0;49.0;?
1806.0;19;-1863.0;-2185.0;?;-148.0;2.0;?;656.0;92.0;?
2075.0;79;-1870.0;-2014.0;-5894.0;15.0;-689.0;?;276.0;146.0;?
1747.0;81;-2399.0;-2246.0;-5501.0;-24.0;-1479.0;?;-739.0;218.0;?
1616.0;28;-2812.0;-2260.0;-5130.0;-159.0;-1389.0;?;-787.0;156.0;?
1574.0;40;-2567.0;-2045.0;-4745.0;-150.0;-1169.0;?;-152.0;157.0;?
1330.0;49;-2241.0;-1969.0;-4472.0;-104.0;-1317.0;?;295.0;128.0;?
940.0;23;-2055.0;-1951.0;-4020.0;-88.0;-1060.0;620.0;326.0;139.0;?
836.0;35;-1409.0;-1871.0;-3568.0;-129.0;-1205.0;737.0;706.0;144.0;?
709.0;66;-779.0;-1608.0;-2965.0;-160.0;-962.0;446.0;705.0;113.0;?
517.0;-27;-355.0;-1404.0;-2324.0;-185.0;-628.0;461.0;344.0;98.0;-27
472.0;-26;-175.0;-1106.0;-1841.0;-257.0;-368.0;261.0;192.0;96.0;-26
516.0;73;-264.0;-736.0;-1351.0;-230.0;-152.0;49.0;-79.0;98.0;73
352.0;19;-333.0;-431.0;-843.0;-82.0;-39.0;-230.0;-511.0;92.0;19
196.0;-11;49.0;-102.0;-359.0;41.0;375.0;-360.0;-652.0;132.0;-11
34.0;?;697.0;129.0;71.0;147.0;777.0;-478.0;-585.0;112.0;-24
-90.0;?;1065.0;289.0;474.0;201.0;1103.0;-446.0;-403.0;119.0;-21
-240.0;?;1130.0;315.0;843.0;239.0;1212.0;-320.0;?;120.0;-20
-382.0;-49;976.0;320.0;1102.0;342.0;1088.0;-162.0;?;103.0;-49
-481.0;37;634.0;321.0;1232.0;334.0;1007.0;19.0;?;132.0;37
-495.0;79;265.0;336.0;1213.0;368.0;675.0;30.0;?;108.0;79
