NMHC(GT);CO(GT);NO2(GT);NOx(GT);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);PT08.S3(NOx)
?;2.6;113.0;166.0;?;11.9;?;0.7578;1360.0;1046.0;1692.0;1268.0;?
112.0;?;?;103.0;47.7;9.4;13.3;?;1292.0;955.0;1559.0;972.0;1174.0
88.0;?;114.0;?;54.0;9.0;11.9;0.7502;1402.0;939.0;1555.0;1074.0;?
?;2.2;122.0;172.0;60.0;9.2;11.0;0.7867;1376.0;948.0;1584.0;1203.0;1092.0
?;1.6;116.0;131.0;59.6;?;11.2;0.7888;1272.0;836.0;1490.0;1110.0;1205.0
38.0;1.2;96.0;89.0;?;4.7;?;0.7848;?;750.0;1393.0;?;1337.0
31.0;1.2;77.0;62.0;56.8;3.6;11.3;?;1185.0;690.0;1333.0;733.0;1462.0
31.0;1.0;76.0;?;60.0;?;10.7;0.7702;?;672.0;1333.0;730.0;?
24.0;0.9;60.0;?;59.7;?;10.7;0.7648;?;609.0;1276.0;620.0;1579.0
19.0;0.6;-200.0;-200.0;60.2;1.7;?;?;1010.0;561.0;1235.0;501.0;1705.0
14.0;-200.0;34.0;?;60.5;1.3;10.1;0.7465;1011.0;527.0;?;445.0;1818.0
8.0;0.7;28.0;16.0;56.2;1.1;11.0;0.7366;1066.0;512.0;?;422.0;1918.0
16.0;0.7;48.0;?;58.1;1.6;10.5;?;1052.0;553.0;?;472.0;1738.0
29.0;1.1;?;98.0;59.6;3.2;?;0.7417;1144.0;667.0;1339.0;730.0;1490.0
64.0;2.0;112.0;174.0;57.4;8.0;10.8;0.7408;1333.0;900.0;1517.0;1102.0;1136.0
?;2.2;101.0;129.0;?;?;10.5;0.7691;1351.0;960.0;1583.0;1028.0;1079.0
77.0;?;98.0;112.0;?;6.3;10.8;?;1233.0;827.0;1446.0;?;1218.0
43.0;?;92.0;?;57.9;5.0;10.5;0.7352;1179.0;762.0;?;671.0;1328.0
61.0;?;95.0;104.0;66.8;?;9.5;?;1236.0;774.0;1401.0;664.0;?
?;1.9;112.0;146.0;76.4;7.3;8.3;0.8393;1286.0;869.0;?;?;?
164.0;?;128.0;207.0;81.1;11.5;8.0;0.8736;1371.0;1034.0;1730.0;1037.0;983.0
?;2.2;126.0;184.0;79.8;?;8.3;?;1310.0;933.0;1647.0;946.0;1082.0
95.0;2.2;?;193.0;71.2;8.3;9.7;0.8569;1292.0;912.0;1591.0;?;1103.0
150.0;?;?;243.0;67.6;11.2;?;?;?;1020.0;1719.0;1104.0;1008.0
307.0;4.8;151.0;?;64.2;?;10.3;0.8065;1581.0;1319.0;2083.0;1409.0;799.0
461.0;6.9;172.0;383.0;69.3;27.4;9.7;?;1776.0;1488.0;?;1704.0;702.0
401.0;6.1;165.0;351.0;67.8;?;?;0.8133;?;1404.0;2191.0;1654.0;?
197.0;3.9;136.0;240.0;64.0;12.8;9.1;0.7419;1313.0;1076.0;1707.0;1285.0;957.0
61.0;1.5;85.0;94.0;63.4;4.7;8.2;0.6905;965.0;?;1333.0;821.0;?
26.0;?;53.0;47.0;60.8;2.6;8.2;0.6657;913.0;629.0;1252.0;552.0;1565.0
55.0;1.7;?;122.0;58.5;5.9;8.3;?;1080.0;?;1375.0;816.0;1254.0
?;1.9;110.0;133.0;59.7;6.4;?;0.6308;?;?;1378.0;832.0;1247.0
?;1.4;91.0;82.0;61.8;4.1;7.1;0.6276;?;718.0;1304.0;692.0;1396.0
