NMHC(GT);CO(GT);NO2(GT);NOx(GT);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);PT08.S3(NOx)
64.0;2.0;112.0;174.0;57.4;8.0;10.8;0.7408;1333.0;900.0;1517.0;1102.0;1136.0
197.0;3.9;136.0;240.0;64.0;12.8;9.1;0.7419;1313.0;1076.0;1707.0;1285.0;957.0
333.0;4.4;149.0;274.0;53.3;20.1;12.1;0.7536;1598.0;1299.0;1941.0;1627.0;752.0
154.0;2.8;124.0;153.0;31.3;12.3;19.4;0.695;1328.0;1059.0;1600.0;1101.0;987.0
27.0;0.9;67.0;74.0;67.6;2.4;10.4;0.853;1028.0;615.0;1340.0;853.0;1384.0
66.0;1.8;88.0;108.0;61.3;7.0;13.4;0.9361;1224.0;855.0;1566.0;1149.0;998.0
107.0;2.2;89.0;228.0;70.2;9.7;11.3;0.9401;1314.0;966.0;1710.0;1235.0;897.0
214.0;2.8;110.0;156.0;31.3;14.8;23.8;0.9137;1445.0;1141.0;1824.0;1252.0;857.0
538.0;6.5;165.0;320.0;52.6;31.0;18.3;1.0945;1895.0;1573.0;2443.0;1992.0;565.0
25.0;-200.0;59.0;59.0;66.2;2.6;12.3;0.945;941.0;626.0;1373.0;840.0;1316.0
230.0;3.2;143.0;166.0;36.7;15.8;20.4;0.8704;1474.0;1173.0;1776.0;1432.0;854.0
18.0;0.5;53.0;46.0;57.4;1.9;11.9;0.7978;891.0;576.0;1289.0;733.0;1417.0
26.0;0.7;71.0;68.0;62.1;3.0;10.9;0.8113;938.0;650.0;1333.0;893.0;1251.0
-200.0;2.2;139.0;171.0;28.2;12.5;23.8;0.8219;1379.0;1068.0;1663.0;1374.0;899.0
-200.0;0.9;63.0;48.0;69.3;3.6;12.5;1.0029;999.0;688.0;1380.0;594.0;1229.0
-200.0;3.0;122.0;176.0;47.6;15.3;16.1;0.8655;1304.0;1157.0;1801.0;1171.0;793.0
-200.0;4.1;146.0;231.0;50.3;20.2;15.8;0.8989;1442.0;1301.0;1952.0;1372.0;704.0
-200.0;-200.0;55.0;44.0;54.6;2.9;13.8;0.8574;945.0;646.0;1332.0;505.0;1308.0
-200.0;2.8;107.0;175.0;58.6;10.6;15.7;1.0396;1456.0;999.0;1714.0;1202.0;835.0
19.0;0.3;22.0;13.0;80.5;0.6;8.8;0.9147;834.0;459.0;1212.0;361.0;1908.0
236.0;2.7;112.0;131.0;57.1;13.0;11.7;0.7822;1236.0;1084.0;1688.0;1059.0;854.0
375.0;3.4;110.0;239.0;59.6;16.7;9.8;0.7214;1351.0;1201.0;1828.0;1307.0;783.0
592.0;3.8;114.0;275.0;57.0;19.3;11.2;0.7544;1408.0;1278.0;1928.0;1481.0;682.0
81.0;1.3;75.0;89.0;36.8;5.3;14.2;0.5922;962.0;776.0;1279.0;550.0;1152.0
57.0;1.0;79.0;70.0;57.8;3.2;8.6;0.6488;940.0;664.0;1232.0;646.0;1290.0
155.0;1.9;94.0;93.0;40.2;6.2;14.1;0.6438;1114.0;823.0;1357.0;671.0;1068.0
21.0;0.6;59.0;39.0;46.9;1.2;11.3;0.628;864.0;516.0;1153.0;502.0;1496.0
32.0;0.7;73.0;46.0;42.9;1.7;10.5;0.5442;900.0;563.0;1130.0;618.0;1402.0
216.0;2.2;125.0;181.0;74.4;8.6;10.4;0.9384;1262.0;924.0;1576.0;1093.0;872.0
386.0;3.1;119.0;195.0;59.3;13.5;14.9;0.9974;1390.0;1100.0;1799.0;1192.0;755.0
109.0;1.5;91.0;81.0;57.0;5.5;12.6;0.8315;1060.0;787.0;1418.0;833.0;1044.0
45.0;0.9;50.0;64.0;63.7;2.9;11.0;0.8325;996.0;648.0;1340.0;852.0;1176.0
179.0;1.7;73.0;102.0;33.9;8.6;21.8;0.8771;1125.0;924.0;1542.0;790.0;937.0
-200.0;2.0;167.0;480.0;37.9;8.7;10.7;0.487;964.0;928.0;1130.0;936.0;871.0
188.0;2.0;113.0;127.0;48.0;9.9;15.8;0.8569;1186.0;976.0;1570.0;1200.0;844.0
798.0;5.0;139.0;249.0;65.3;20.7;13.6;1.0136;1569.0;1316.0;2054.0;1510.0;634.0
-200.0;-200.0;-200.0;-200.0;53.8;9.3;17.5;1.0648;1316.0;952.0;1644.0;1047.0;847.0
-200.0;-200.0;-200.0;-200.0;32.1;7.1;25.6;1.0393;1160.0;860.0;1531.0;646.0;969.0
-200.0;-200.0;-200.0;-200.0;39.3;10.0;22.1;1.0336;1258.0;977.0;1636.0;838.0;838.0
710.0;4.1;132.0;194.0;45.4;19.8;19.7;1.0312;1543.0;1290.0;2011.0;1353.0;631.0
30.0;0.3;19.0;12.0;45.4;0.7;15.7;0.8063;804.0;468.0;1166.0;320.0;1826.0
120.0;1.2;69.0;65.0;47.7;5.9;16.4;0.8819;1045.0;808.0;1421.0;589.0;1038.0
301.0;2.6;125.0;166.0;26.7;14.2;20.4;0.6323;1176.0;1123.0;1609.0;1068.0;816.0
70.0;1.0;51.0;47.0;47.9;3.9;13.0;0.7116;938.0;706.0;1320.0;642.0;1177.0
383.0;3.1;129.0;192.0;34.6;14.0;19.6;0.7807;1292.0;1116.0;1676.0;1293.0;746.0
251.0;2.6;105.0;186.0;51.4;9.9;15.3;0.8886;1150.0;973.0;1590.0;1188.0;827.0
706.0;6.0;140.0;307.0;78.0;19.9;13.8;1.2229;1535.0;1295.0;2039.0;1380.0;627.0
-200.0;-200.0;-200.0;-200.0;80.8;8.8;12.8;1.1863;1163.0;930.0;1691.0;985.0;849.0
-200.0;-200.0;-200.0;-200.0;56.2;6.3;16.0;1.0164;1027.0;827.0;1529.0;742.0;942.0
-200.0;-200.0;-200.0;-200.0;71.9;1.9;13.8;1.1312;892.0;579.0;1396.0;441.0;1309.0
-200.0;-200.0;-200.0;-200.0;77.2;6.8;14.5;1.2695;1219.0;849.0;1664.0;912.0;901.0
-200.0;-200.0;-200.0;-200.0;73.3;3.4;13.8;1.1518;917.0;677.0;1494.0;747.0;1103.0
-200.0;-200.0;-200.0;-200.0;57.9;18.7;16.5;1.0826;1325.0;1260.0;1969.0;1303.0;652.0
-200.0;-200.0;-200.0;-200.0;45.5;7.5;18.5;0.9606;1018.0;879.0;1574.0;685.0;950.0
-200.0;-200.0;-200.0;-200.0;34.8;22.4;22.0;0.908;1387.0;1361.0;1932.0;1505.0;701.0
-200.0;-200.0;-200.0;-200.0;53.0;2.8;14.6;0.8775;848.0;642.0;1325.0;760.0;1202.0
639.0;3.8;169.0;240.0;25.7;22.0;26.9;0.8942;1458.0;1350.0;1947.0;1731.0;677.0
192.0;1.7;89.0;91.0;36.0;9.0;25.6;1.1629;1223.0;938.0;1610.0;880.0;884.0
283.0;2.8;123.0;147.0;38.1;15.7;24.9;1.1838;1497.0;1171.0;1899.0;1248.0;725.0
145.0;1.9;94.0;128.0;35.9;7.9;19.6;0.81;1075.0;896.0;1487.0;936.0;938.0
475.0;3.5;135.0;250.0;47.8;18.0;18.6;1.0143;1408.0;1241.0;1886.0;1711.0;648.0
116.0;1.7;76.0;91.0;78.6;7.6;15.7;1.3943;1179.0;884.0;1696.0;1086.0;830.0
365.0;4.0;114.0;210.0;60.8;18.0;20.9;1.4852;1524.0;1239.0;2139.0;1404.0;644.0
454.0;4.5;110.0;215.0;54.3;19.2;21.0;1.3353;1487.0;1274.0;2133.0;1471.0;641.0
-200.0;2.0;100.0;109.0;55.5;9.4;17.8;1.1174;1085.0;954.0;1656.0;871.0;866.0
-200.0;3.7;129.0;190.0;58.5;13.3;17.6;1.1645;1385.0;1094.0;1769.0;1175.0;765.0
-200.0;2.3;99.0;105.0;59.3;8.4;17.2;1.1551;1167.0;914.0;1599.0;1126.0;876.0
-200.0;2.3;118.0;171.0;42.6;10.2;19.4;0.9485;1137.0;985.0;1607.0;1045.0;858.0
-200.0;1.5;74.0;81.0;19.7;11.2;30.9;0.8649;1058.0;1023.0;1580.0;795.0;896.0
-200.0;0.4;-200.0;-200.0;81.0;1.5;15.6;1.4302;873.0;545.0;1471.0;497.0;1308.0
-200.0;2.3;100.0;132.0;47.7;12.3;21.4;1.2047;1131.0;1059.0;1784.0;978.0;772.0
-200.0;2.6;97.0;140.0;57.1;12.9;19.9;1.3158;1197.0;1082.0;1851.0;971.0;753.0
