NMHC(GT);CO(GT);NO2(GT);NOx(GT);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);PT08.S3(NOx)
-200.0;1.8;129.0;130.0;13.8;13.2;42.8;1.1681;1085.0;1091.0;1638.0;1010.0;723.0
-200.0;2.1;120.0;120.0;16.7;11.9;36.5;1.0045;1003.0;1047.0;1578.0;782.0;769.0
-200.0;1.5;95.0;117.0;36.8;7.5;22.5;0.988;904.0;877.0;1488.0;781.0;890.0
-200.0;1.6;102.0;172.0;33.0;7.4;25.7;1.0763;957.0;875.0;1525.0;871.0;891.0
-200.0;1.5;95.0;91.0;49.5;9.6;22.2;1.3081;1016.0;963.0;1661.0;811.0;776.0
-200.0;1.7;137.0;149.0;20.1;9.6;32.9;0.9902;1002.0;964.0;1546.0;786.0;828.0
-200.0;3.3;-200.0;-200.0;30.8;15.3;27.4;1.1112;1172.0;1159.0;1653.0;1290.0;597.0
-200.0;1.8;130.0;166.0;24.7;9.4;30.5;1.0592;1036.0;955.0;1527.0;840.0;829.0
-200.0;1.7;89.0;86.0;56.4;9.0;26.6;1.9349;1066.0;940.0;1744.0;978.0;683.0
-200.0;1.4;108.0;98.0;15.7;10.7;41.1;1.2071;1126.0;1004.0;1609.0;926.0;788.0
-200.0;1.7;-200.0;-200.0;38.3;8.0;26.3;1.2932;1058.0;898.0;1470.0;977.0;749.0
-200.0;0.9;60.0;66.0;55.2;6.4;24.4;1.6604;948.0;828.0;1711.0;994.0;858.0
-200.0;1.3;73.0;80.0;26.4;6.1;34.0;1.3781;1010.0;816.0;1567.0;741.0;955.0
-200.0;2.0;94.0;95.0;48.1;10.9;23.0;1.3322;1035.0;1011.0;1752.0;1039.0;750.0
-200.0;1.3;74.0;93.0;40.8;7.1;27.0;1.4286;1020.0;860.0;1649.0;875.0;864.0
-200.0;0.7;63.0;51.0;46.5;5.0;21.3;1.1608;865.0;764.0;1430.0;826.0;917.0
-200.0;1.6;95.0;92.0;46.3;9.5;21.8;1.1913;966.0;959.0;1686.0;852.0;838.0
-200.0;1.6;98.0;109.0;35.9;8.6;29.3;1.4411;1095.0;923.0;1736.0;999.0;843.0
-200.0;-200.0;-200.0;-200.0;50.4;8.3;27.5;1.823;1013.0;913.0;1685.0;785.0;717.0
-200.0;2.1;114.0;124.0;44.4;10.4;23.0;1.2354;1029.0;993.0;1728.0;969.0;816.0
-200.0;1.9;107.0;110.0;38.6;11.7;26.5;1.3154;1065.0;1038.0;1763.0;1026.0;805.0
-200.0;-200.0;-200.0;-200.0;36.8;11.2;27.3;1.3189;1040.0;1022.0;1624.0;998.0;713.0
-200.0;1.6;121.0;126.0;21.8;8.3;32.9;1.0714;973.0;911.0;1441.0;891.0;800.0
-200.0;1.6;118.0;109.0;19.5;9.1;36.3;1.1539;1036.0;943.0;1509.0;770.0;770.0
-200.0;-200.0;106.0;97.0;14.4;10.2;42.7;1.2092;1105.0;984.0;1532.0;868.0;767.0
-200.0;1.9;96.0;189.0;55.4;9.5;23.7;1.6031;1046.0;960.0;1637.0;899.0;671.0
-200.0;1.1;73.0;75.0;49.3;6.0;20.5;1.173;1110.0;814.0;1571.0;854.0;948.0
-200.0;0.8;73.0;48.0;53.0;5.8;18.0;1.0832;1046.0;803.0;1490.0;823.0;900.0
-200.0;0.9;-200.0;-200.0;64.4;5.4;21.0;1.5828;1061.0;785.0;1447.0;935.0;766.0
-200.0;1.7;93.0;131.0;45.0;7.9;19.5;1.0114;1056.0;894.0;1576.0;771.0;891.0
-200.0;2.2;112.0;136.0;47.2;9.4;16.7;0.892;1074.0;954.0;1570.0;956.0;846.0
-200.0;1.6;72.0;239.0;67.7;8.1;21.2;1.6848;1105.0;905.0;1576.0;950.0;734.0
-200.0;2.2;96.0;117.0;62.7;10.5;13.9;0.9905;1016.0;995.0;1642.0;854.0;857.0
-200.0;1.2;58.0;143.0;61.6;5.1;24.3;1.8468;1074.0;767.0;1489.0;796.0;814.0
