PLC_PRG.Gripper;MotorData.Motor_Pos3reached;MotorData.Motor_Pos2reached;NVL_Recv_Storage.GL_LightBarrier;NVL_Send_Storage.ActivateStorage;NVL_Recv_Storage.GL_I_Slider_OUT;NVL_Recv_Storage.GL_I_Slider_IN;NVL_Recv_Storage.GL_I_ProcessStarted
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
1;0;0;1;0;0;1;0
