MotorData.ActPosition;MotorData.Motor_Pos1reached;MotorData.ActSpeed;MotorData.IsForce;MotorData.ActCurrent;NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall;PLC_PRG.MaterialIsMetal;MotorData.Motor_Pos4reached;MotorData.IsAcceleration
260014;0;0;4;28;1;0;0;0;0
260014;0;0;5;27;1;0;0;0;0
260014;0;0;6;29;1;0;0;0;0
260014;0;0;6;25;1;0;0;0;0
260014;0;0;6;26;1;0;0;0;0
260014;0;0;4;29;1;0;0;0;0
260014;0;0;6;30;1;0;0;0;0
260014;0;0;6;26;1;0;0;0;0
260014;0;0;5;26;1;0;0;0;0
260014;0;0;7;26;1;0;0;0;0
260014;0;0;6;29;1;0;0;0;0
260014;0;0;4;29;1;0;0;0;0
260014;0;0;7;27;1;0;0;0;0
260014;0;0;7;28;1;0;0;0;0
260014;0;0;7;28;1;0;0;0;0
260014;0;0;6;26;1;0;0;0;0
260014;0;0;6;30;1;0;0;0;0
260014;0;0;6;30;1;0;0;0;0
260014;0;0;5;28;1;0;0;0;0
260014;0;0;5;28;1;0;0;0;0
260014;0;0;6;30;1;0;0;0;0
260014;0;0;6;28;1;0;0;0;0
260014;0;0;6;27;1;0;0;0;0
260014;0;0;5;29;1;0;0;0;0
260014;0;0;7;26;1;0;0;0;0
260014;0;0;6;30;1;0;0;0;0
260014;0;0;5;26;1;0;0;0;0
260014;0;0;7;29;1;0;0;0;0
260014;0;0;7;26;1;0;0;0;0
260014;0;0;6;30;1;0;0;0;0
260014;0;0;6;30;1;0;0;0;0
260014;0;0;6;28;1;0;0;0;0
260014;0;0;5;28;1;0;0;0;0
260014;0;0;5;29;1;0;0;0;0
260014;0;0;6;30;1;0;0;0;0
260014;0;0;5;28;1;0;0;0;0
260014;0;0;5;28;1;0;0;0;0
260014;0;0;7;26;1;0;0;0;0
260014;0;0;7;26;1;0;0;0;0
260014;0;0;6;27;1;0;0;0;0
260014;0;0;4;28;1;0;0;0;0
260014;0;0;4;28;1;0;0;0;0
260014;0;0;6;30;1;0;0;0;0
260014;0;0;5;25;1;0;0;0;0
260014;0;0;5;30;1;0;0;0;0
260014;0;0;5;30;1;0;0;0;0
260014;0;0;4;27;1;0;0;0;0
260014;0;0;5;29;1;0;0;0;0
260014;0;0;2;20;1;0;0;0;0
260014;0;0;7;28;1;0;0;0;0
260014;0;0;5;30;1;0;0;0;0
260014;0;0;5;24;1;0;0;0;0
260014;0;0;7;30;1;0;0;0;0
260014;0;0;3;28;1;0;0;0;0
260014;0;0;5;24;1;0;0;0;0
260014;0;0;3;28;1;0;0;0;0
260014;0;0;5;24;1;0;0;0;0
260014;0;0;7;25;1;0;0;0;0
260014;0;0;4;16;1;0;0;0;0
260014;0;0;7;30;1;0;0;0;0
260014;0;0;3;26;1;0;0;0;0
260014;0;0;3;26;1;0;0;0;0
260014;0;0;3;28;1;0;0;0;0
260014;0;0;3;26;1;0;0;0;0
260014;0;0;7;30;1;0;0;0;0
260014;0;0;3;29;1;0;0;0;0
260014;0;0;-2;-13;1;0;0;0;0
260014;0;0;7;35;1;0;0;0;0
260014;0;0;7;44;1;0;0;0;0
260014;0;0;5;31;1;0;0;0;0
260014;0;0;5;31;1;0;0;0;0
260014;0;0;6;33;1;0;0;0;0
260014;0;0;5;31;1;0;0;0;0
260014;0;0;5;31;1;0;0;0;0
260014;0;0;7;30;1;0;0;0;0
260014;0;0;6;31;1;0;0;0;0
260014;0;0;6;31;1;0;0;0;0
260014;0;0;5;31;1;0;0;0;0
260014;0;0;6;31;1;0;0;0;0
260014;0;0;7;30;1;0;0;0;0
260014;0;0;6;20;1;0;0;0;0
260014;0;0;7;30;1;0;1;0;0
260014;0;0;6;31;1;0;0;0;0
260014;0;0;9;26;1;0;0;0;0
389992;0;0;78;356;1;0;0;1;0
260014;0;0;7;31;1;0;0;0;0
260014;0;0;7;31;1;0;0;0;0
336806;0;-80359;-82;-716;1;0;0;0;0
260014;0;0;3;30;1;0;0;0;0
260014;0;0;2;8;1;0;0;0;0
225910;0;-79083;-86;-270;1;0;0;0;-1015
260014;0;0;4;35;1;0;0;0;0
260014;0;0;4;31;1;0;0;0;0
140012;0;0;-33;-153;1;0;0;0;0
260014;0;0;2;26;1;0;0;0;0
260014;0;0;7;31;1;0;0;0;0
260014;0;0;3;30;1;0;0;0;0
90335;0;-79460;-51;-127;1;0;0;0;0
256998;0;81780;-13;560;1;0;0;0;1015
22011;1;0;-40;-182;1;0;0;0;0
