MotorData.ActPosition;MotorData.Motor_Pos1reached;MotorData.ActSpeed;MotorData.IsForce;MotorData.ActCurrent;NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall;PLC_PRG.MaterialIsMetal;MotorData.Motor_Pos4reached;MotorData.IsAcceleration
268975;?;0;-1;-5;1;0;0;0;0
268975;?;0;-1;0;1;0;0;?;0
268975;?;0;-3;-5;1;0;0;0;0
268975;?;0;4;?;1;0;0;0;0
?;0;0;?;0;1;0;0;0;0
268975;0;0;0;0;?;0;0;?;0
268975;0;0;?;-9;?;?;0;0;0
268975;0;?;0;0;?;0;0;0;0
268975;?;0;3;?;1;0;0;?;0
268975;0;0;-1;0;1;0;0;0;0
268975;?;0;-1;0;1;0;?;?;0
268975;?;?;?;0;1;0;0;?;0
268975;0;0;?;0;1;?;0;?;0
268975;0;0;0;-5;1;?;0;?;?
268975;?;0;0;12;1;0;0;?;0
268975;0;0;?;-9;1;0;?;0;0
268975;0;0;?;-9;1;?;0;0;0
268975;0;?;?;3;1;0;0;0;0
268975;0;0;-1;-18;1;0;?;?;0
268975;0;0;-3;7;1;0;0;?;?
268975;0;0;?;?;1;0;0;0;0
268975;0;?;0;?;1;?;0;0;0
268975;0;0;-1;-5;1;0;0;0;?
?;0;0;0;0;?;0;?;0;0
268975;0;0;0;0;?;0;0;0;0
268975;0;?;0;-5;1;0;0;0;0
?;0;0;0;-5;1;0;0;0;0
?;0;?;0;20;?;0;0;0;0
268975;0;?;2;7;1;0;0;?;0
268975;0;?;?;-9;1;0;0;0;0
268975;?;0;0;-5;1;?;0;0;0
268975;0;0;0;-5;1;0;0;?;0
268975;?;0;?;?;1;0;0;0;0
?;?;0;-1;?;1;?;0;0;0
268975;?;0;2;?;1;0;0;?;0
268975;0;0;0;12;1;?;0;0;0
268975;0;0;0;12;1;0;0;0;?
?;?;0;0;12;?;0;?;0;0
?;0;0;-1;3;1;0;0;?;0
268975;0;0;5;?;?;0;?;0;0
268975;0;?;5;-9;?;0;0;?;0
268975;0;0;5;-9;1;0;0;0;0
268975;?;0;0;?;?;0;0;0;?
?;0;0;?;0;1;0;0;?;0
268975;?;0;-1;?;1;0;?;0;0
268975;0;0;?;0;1;0;0;0;0
?;0;0;0;0;1;0;0;0;0
268975;0;0;?;-9;1;0;?;0;?
268975;0;0;0;7;1;0;0;0;0
?;0;0;4;7;1;0;?;?;0
?;0;0;-1;20;1;0;0;0;0
268975;?;0;-1;?;1;0;?;0;0
?;0;0;0;0;?;?;0;0;0
?;0;?;0;0;1;0;0;0;0
268975;0;0;2;7;1;?;0;?;0
268975;?;?;?;?;1;0;?;0;?
268975;0;0;?;-9;1;0;?;?;0
268975;0;?;2;-9;1;?;?;0;?
268975;0;0;0;12;1;0;0;0;?
268975;0;0;?;12;1;0;0;0;0
268975;?;0;?;0;1;0;0;?;0
?;0;0;?;0;1;0;0;0;?
268975;?;0;-1;?;1;0;0;0;0
268975;0;0;?;0;1;?;?;0;0
268975;0;0;?;0;1;?;0;?;0
268975;0;0;?;?;1;0;0;0;0
268975;?;?;-3;7;1;0;0;?;0
268975;?;0;-3;7;1;0;0;?;?
268975;0;0;1;0;?;0;0;0;0
268975;?;0;?;7;1;?;0;0;0
268975;0;0;0;0;1;0;0;0;0
268975;0;0;0;0;1;?;0;0;?
268975;?;0;0;0;1;?;0;0;0
268975;?;?;3;-14;1;?;0;0;0
268975;0;?;0;7;1;0;?;?;0
268975;0;?;0;?;1;0;?;0;0
268975;?;0;?;?;?;0;0;0;?
268975;0;0;3;7;1;0;0;0;0
268975;0;0;-1;0;1;0;?;0;0
268975;0;0;0;?;1;0;0;0;?
268975;0;0;-1;7;1;?;0;0;0
268975;0;0;?;7;1;?;0;0;0
268975;0;0;-1;7;1;0;0;0;?
268975;0;0;-1;3;1;?;0;0;0
268975;0;0;-3;0;1;0;0;0;0
268975;0;0;?;16;1;0;0;?;0
268975;0;0;?;12;1;0;?;0;?
268975;0;?;1;7;1;0;0;?;0
268975;0;0;1;?;1;?;0;?;0
?;0;0;4;-5;1;0;0;0;?
?;0;0;4;-5;1;?;0;?;?
268975;0;0;2;12;1;?;0;0;0
268975;0;0;0;?;1;0;0;?;0
268975;0;0;-5;12;1;0;?;0;0
?;?;0;-5;12;1;0;?;0;?
?;?;0;0;3;1;0;0;0;0
268975;0;0;0;-5;1;?;0;0;0
268975;0;?;?;-14;1;0;0;0;0
268975;0;0;0;-14;1;0;0;0;0
268975;?;0;5;0;1;0;?;0;0
268975;0;0;-3;16;1;0;0;?;0
268975;?;?;2;3;1;0;0;0;?
?;?;0;0;3;1;0;?;0;0
?;0;0;0;3;1;0;0;0;0
268975;0;0;0;3;1;0;0;0;0
268975;0;0;-1;-5;1;0;0;0;0
268975;0;0;0;0;1;0;?;0;?
268975;0;?;2;7;?;0;0;0;0
?;0;0;0;?;?;0;0;0;0
268975;0;0;0;7;1;0;0;0;0
268975;?;0;1;3;1;0;0;0;0
268975;0;0;?;-5;?;0;0;0;0
268975;0;0;-1;3;?;0;0;?;0
268975;0;0;0;-9;1;0;0;0;0
268975;?;0;0;-9;?;0;0;0;0
268975;0;0;0;12;?;0;?;0;0
268975;0;0;0;7;1;0;0;0;0
268975;0;0;?;12;1;0;0;0;0
268975;?;0;?;12;1;?;?;0;0
268975;?;0;-1;12;1;0;0;0;0
268975;0;?;0;?;1;?;0;0;0
268975;0;?;1;0;1;0;0;0;0
268975;0;?;?;-9;1;?;0;0;?
268975;0;0;0;?;?;?;0;0;0
268975;0;?;0;12;1;0;0;0;0
268975;?;0;2;7;1;?;0;?;0
268975;0;0;0;-5;1;0;?;0;0
?;?;0;-1;12;1;?;0;?;?
268975;0;0;?;3;1;0;0;0;0
268975;0;0;2;3;1;0;?;0;0
268975;?;0;-3;0;1;0;0;?;0
268975;0;0;1;?;1;0;0;?;0
268975;?;?;1;7;1;?;0;0;0
268975;0;0;2;?;1;0;0;0;0
?;0;0;2;-5;1;0;0;?;0
268975;0;0;1;-5;1;0;0;0;0
268975;?;0;-1;?;?;?;0;0;0
268975;?;0;-1;-9;1;0;0;?;0
268975;0;0;0;?;1;0;0;0;?
268975;0;0;0;-14;1;0;0;?;0
268975;0;?;0;-5;1;0;0;0;?
268975;0;0;-1;0;1;0;0;0;0
268975;0;0;2;?;1;0;?;0;0
?;0;?;0;25;1;0;0;0;0
?;0;0;0;?;1;?;0;0;0
268975;0;0;-1;16;?;0;0;0;0
?;0;?;?;16;1;0;0;0;?
?;0;0;?;0;?;0;0;0;0
?;0;?;1;7;1;?;0;0;0
268975;0;0;-1;0;1;?;0;?;0
268975;0;?;?;12;1;?;0;0;0
268975;0;0;0;12;1;0;0;0;0
268975;0;0;?;0;1;0;?;0;0
268975;0;0;2;0;?;?;0;0;0
268975;0;0;?;7;1;0;?;?;0
268975;?;0;?;0;1;0;0;0;0
268975;0;0;0;0;?;0;?;0;0
268975;0;?;0;12;1;?;0;0;0
268975;0;0;-3;?;1;0;0;0;0
?;0;0;-3;?;1;0;?;?;0
