adbr;bfo1;cfo1;bfo2;bso3;cso1
1.0;10.744219936960084;20.45626084430472;45.48381373442056;0.3272219120775689;72.10291149484188
1.0;10.755461614073228;20.418974160485217;45.55845164954923;?;72.18979423317748
1.0;10.765141789822792;20.38302099473008;45.6329073335203;0.3286410983425498;72.2758223523451
1.0;10.778402966163892;20.348265597830704;45.7071812302645;0.3293495684596054;72.36108568852252
1.0;?;20.314723312856653;45.781273782631146;0.3300572909507941;72.44566781165688
1.0;10.80070243897296;20.2823639572772;45.85518543239072;0.3307642666037791;72.52964554082291
1.0;10.81206627108766;20.2511404383348;45.92891662023754;0.3314704962056323;?
1.0;10.82314579300583;20.22102370546488;46.00246778579239;0.3321759805427905;72.6960591334488
1.0;10.835374596354924;20.1919469066674;46.07583936760507;0.3328807204010195;72.7786119218912
1.0;?;20.163900683979183;46.14903180315709;0.3335847165653857;72.86079388915587
1.0;10.857720410227364;20.136855767631985;46.2220455288642;0.3342879698202322;72.94264430408754
?;10.868698481953734;20.110780289149886;46.29488098007904;0.3349904809491599;?
1.0;10.87806702739126;?;46.36753859109368;0.3356922507350127;73.10546967327737
1.0;10.888917410141849;20.061491589342424;46.44001879514227;?;73.18648586676439
?;10.90024060923722;20.03815963036641;46.51232202440356;0.3370935694050134;73.2672535432333
1.0;10.91159172229742;20.01565541901303;46.58444871000347;0.3377931198509656;73.34777633002174
1.0;10.922938210965803;19.9939483435049;?;0.3384919320774373;73.42805177694328
1.0;?;19.97304156768949;46.72817416947424;0.3391900068633464;73.5080718358716
1.0;10.937605684892144;19.95305234310112;46.799773800355965;0.3398873449868088;73.58782338150104
1.0;10.937184228215488;19.9340801737062;46.87119860160317;0.3405839472251361;73.66728876545965
?;10.938031052790963;19.916028011842563;46.8425707690812;0.3411787237542154;73.74631756270436
1.0;10.93970836969438;19.89879285533481;46.81401226648848;0.3415961479103258;73.82462446676345
1.0;10.940580657540494;19.882326778576623;46.785522924939286;0.3418691383301837;73.90191302189595
?;10.938482046266248;19.866647998090723;46.75710257595927;0.3420245164347817;73.97787863804864
1.0;10.940193861164442;19.851599215340915;46.728751051484494;0.3420841358182345;74.05221168488865
1.0;10.939727197220815;19.83719154408435;46.70046818386047;0.3420658024263996;74.1246005653364
1.0;10.938484626867108;19.823402690443576;46.6722538058411;0.3419840248300425;74.19473478331402
1.0;10.937312600592406;19.810191355018617;46.64410775058772;0.3418506260671034;74.26230795888199
1.0;10.93543781780652;19.79754056028284;46.61602985166808;0.3416752385255678;74.32702075888729
1.0;?;19.78540313686596;46.58801994305537;0.3414657097077685;74.38858372227216
?;10.932701748258134;19.7737500363804;46.56007785912726;0.3412284330497392;?
1.0;10.929969993116822;19.76258921728148;46.53220343466485;0.3409686174139011;74.50116743421896
1.0;10.924856664831026;19.75195730870698;46.5043965048517;0.3406905066249;74.55168181891621
1.0;10.920069064469724;19.741818785294075;46.47665690527296;0.3403975583104925;74.59803806458773
1.0;?;19.73215601903048;?;0.3400925895918959;74.64003257295619
?;10.911379597511036;19.72290671922304;?;0.3397778956739343;74.67748480538441
1.0;10.902785940946154;19.7141818379401;46.39384044979597;0.3394553463595439;74.7102386990422
1.0;10.891393524113928;?;46.36636853500158;0.3391264653012769;74.73816383383006
1.0;10.879778521310085;19.69843830555186;46.3389631343554;0.3387924941238219;74.76115634524545
